metric_family,metric,distance_kind,n_treatments,mean_value,median_value,run_name
distribution_distance,mean_send_field_distance,mean_wasserstein_1d,10,2.748,2.785,baseline_gpt_5_mini
distribution_distance,return_pct,wasserstein_1d,10,12.598000000000004,13.43,baseline_gpt_5_mini
distribution_distance,send_if_act,wasserstein_1d,5,2.8,2.84,baseline_gpt_5_mini
distribution_distance,send_if_act_after_check,wasserstein_1d,4,2.635,2.58,baseline_gpt_5_mini
distribution_distance,send_if_act_fast,wasserstein_1d,1,3.58,3.58,baseline_gpt_5_mini
distribution_distance,send_if_act_slow,wasserstein_1d,1,3.28,3.28,baseline_gpt_5_mini
distribution_distance,send_if_act_without_check,wasserstein_1d,4,2.6450000000000005,2.46,baseline_gpt_5_mini
distribution_distance,send_if_no_act,wasserstein_1d,5,2.9440000000000004,3.0200000000000005,baseline_gpt_5_mini
distribution_distance,send_if_no_act_after_check,wasserstein_1d,4,2.22,2.09,baseline_gpt_5_mini
distribution_distance,send_if_no_act_fast,wasserstein_1d,1,2.9,2.9,baseline_gpt_5_mini
distribution_distance,send_if_no_act_slow,wasserstein_1d,1,2.06,2.06,baseline_gpt_5_mini
distribution_distance,send_if_no_act_without_check,wasserstein_1d,4,2.665,2.54,baseline_gpt_5_mini
distribution_distance,joint_pattern_distribution,total_variation,10,0.508,0.6599999999999999,baseline_gpt_5_mini
distribution_distance,mean_send_field_distance,mean_wasserstein_1d,10,1.935,1.9625000000000004,twin_sampled_seed_0_gpt_5_mini
distribution_distance,return_pct,wasserstein_1d,10,6.182,5.880000000000001,twin_sampled_seed_0_gpt_5_mini
distribution_distance,send_if_act,wasserstein_1d,5,1.86,1.9000000000000004,twin_sampled_seed_0_gpt_5_mini
distribution_distance,send_if_act_after_check,wasserstein_1d,4,1.975,1.88,twin_sampled_seed_0_gpt_5_mini
distribution_distance,send_if_act_fast,wasserstein_1d,1,2.0,2.0,twin_sampled_seed_0_gpt_5_mini
distribution_distance,send_if_act_slow,wasserstein_1d,1,1.88,1.88,twin_sampled_seed_0_gpt_5_mini
distribution_distance,send_if_act_without_check,wasserstein_1d,4,2.11,2.0,twin_sampled_seed_0_gpt_5_mini
distribution_distance,send_if_no_act,wasserstein_1d,5,2.08,2.06,twin_sampled_seed_0_gpt_5_mini
distribution_distance,send_if_no_act_after_check,wasserstein_1d,4,1.64,1.7300000000000002,twin_sampled_seed_0_gpt_5_mini
distribution_distance,send_if_no_act_fast,wasserstein_1d,1,1.6,1.6,twin_sampled_seed_0_gpt_5_mini
distribution_distance,send_if_no_act_slow,wasserstein_1d,1,1.26,1.26,twin_sampled_seed_0_gpt_5_mini
distribution_distance,send_if_no_act_without_check,wasserstein_1d,4,2.09,2.25,twin_sampled_seed_0_gpt_5_mini
distribution_distance,joint_pattern_distribution,total_variation,10,0.204,0.21,twin_sampled_seed_0_gpt_5_mini
