experiment_id,config_hash,game_id,round,agent_id,avatar_name,contribution,punishments_sent,punishments_received,rewards_sent,rewards_received,round_payoff,cumulative_wallet,public_fund,timestamp
exp_026_treatment,db9d1242,exp_026_treatment_game1,1,agent_0,DOG,20,13,3,0,0,117.6,117.6,3032.3999999999996,2026-01-02T02:09:37.439763
exp_026_treatment,db9d1242,exp_026_treatment_game1,1,agent_1,CHICKEN,20,0,1,0,0,158.6,158.6,3032.3999999999996,2026-01-02T02:09:37.439887
exp_026_treatment,db9d1242,exp_026_treatment_game1,1,agent_2,CAT,20,0,7,0,0,152.6,152.6,3032.3999999999996,2026-01-02T02:09:37.439917
exp_026_treatment,db9d1242,exp_026_treatment_game1,1,agent_3,FISH,20,0,0,0,0,159.6,159.6,3032.3999999999996,2026-01-02T02:09:37.439944
exp_026_treatment,db9d1242,exp_026_treatment_game1,1,agent_4,BIRD,20,0,4,0,0,155.6,155.6,3032.3999999999996,2026-01-02T02:09:37.439969
exp_026_treatment,db9d1242,exp_026_treatment_game1,1,agent_5,RABBIT,20,4,4,0,0,143.6,143.6,3032.3999999999996,2026-01-02T02:09:37.439994
exp_026_treatment,db9d1242,exp_026_treatment_game1,1,agent_6,TURTLE,20,0,4,0,0,155.6,155.6,3032.3999999999996,2026-01-02T02:09:37.440018
exp_026_treatment,db9d1242,exp_026_treatment_game1,1,agent_7,HAMSTER,20,15,0,0,0,114.6,114.6,3032.3999999999996,2026-01-02T02:09:37.440043
exp_026_treatment,db9d1242,exp_026_treatment_game1,1,agent_8,FROG,20,0,5,0,0,154.6,154.6,3032.3999999999996,2026-01-02T02:09:37.440068
exp_026_treatment,db9d1242,exp_026_treatment_game1,1,agent_9,MOUSE,20,0,0,0,0,159.6,159.6,3032.3999999999996,2026-01-02T02:09:37.440092
exp_026_treatment,db9d1242,exp_026_treatment_game1,1,agent_10,SNAKE,20,4,8,0,0,139.6,139.6,3032.3999999999996,2026-01-02T02:09:37.440117
exp_026_treatment,db9d1242,exp_026_treatment_game1,1,agent_11,BEAR,20,6,7,0,0,134.6,134.6,3032.3999999999996,2026-01-02T02:09:37.440142
exp_026_treatment,db9d1242,exp_026_treatment_game1,1,agent_12,LION,20,6,9,0,0,132.6,132.6,3032.3999999999996,2026-01-02T02:09:37.440167
exp_026_treatment,db9d1242,exp_026_treatment_game1,1,agent_13,TIGER,20,6,4,0,0,137.6,137.6,3032.3999999999996,2026-01-02T02:09:37.440194
exp_026_treatment,db9d1242,exp_026_treatment_game1,1,agent_14,ELEPHANT,20,0,0,0,0,159.6,159.6,3032.3999999999996,2026-01-02T02:09:37.440220
exp_026_treatment,db9d1242,exp_026_treatment_game1,1,agent_15,MONKEY,20,0,1,0,0,158.6,158.6,3032.3999999999996,2026-01-02T02:09:37.440245
exp_026_treatment,db9d1242,exp_026_treatment_game1,1,agent_16,PANDA,20,6,0,0,0,141.6,141.6,3032.3999999999996,2026-01-02T02:09:37.440269
exp_026_treatment,db9d1242,exp_026_treatment_game1,1,agent_17,KOALA,20,0,1,0,0,158.6,158.6,3032.3999999999996,2026-01-02T02:09:37.440293
exp_026_treatment,db9d1242,exp_026_treatment_game1,1,agent_18,WOLF,20,0,2,0,0,157.6,157.6,3032.3999999999996,2026-01-02T02:09:37.440318
