custom_id,estimated_input_chars,estimated_input_tokens_char4
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_01_m7xia7__game_1__p001__g001,5113,1278
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_02_m7xiz2__game_1__p001__g002,5474,1368
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_03_m8aexq__game_1__p001__g003,5528,1382
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_05_m7xjzy__game_1__p001__g004,5472,1368
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_07_m8ag8i__game_1__p001__g005,5636,1409
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_12_m8agmu__game_1__p001__g006,5597,1399
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_14_m8agmu__game_1__p001__g007,5591,1398
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_15_m8agmu__game_1__p001__g008,5654,1414
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_04_m8aexq__game_2_alt_profile__p001__g009,5378,1344
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_05_m7xjzy__game_2_alt_profile__p001__g010,5480,1370
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_05_m8aexq__game_2_alt_profile__p001__g011,5611,1403
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_12_m8agmu__game_2_alt_profile__p001__g012,5820,1455
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_14_m8agmu__game_2_alt_profile__p001__g013,5574,1394
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p001__g014,5403,1351
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_18_m8agzl__game_2_alt_profile__p001__g015,5335,1334
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip2__cohort_20_m8agzl__game_2_alt_profile__p001__g016,5379,1345
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__cohort_01_m8aiq8__game_1__p001__g017,5539,1385
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__cohort_05_m8aiq8__game_1__p001__g018,5496,1374
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__g11_m5wp7b__game_1__p001__g019,5926,1482
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__g17_m5wp8w__game_1__p001__g020,5598,1400
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__g20_m5wq93__game_1__p001__g021,5669,1417
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__g6_m5wp77__game_1__p001__g022,5661,1415
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__g7_m5wp78__game_1__p001__g023,5975,1494
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__g9_m5wp79__game_1__p001__g024,5562,1390
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__cohort_01_m8aiq8__game_2_alt_profile__p001__g025,5328,1332
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__cohort_02_m8aiq8__game_2_alt_profile__p001__g026,5514,1378
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__cohort_03_m8aiq8__game_2_alt_profile__p001__g027,5392,1348
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__cohort_06_m8ak4g__game_2_alt_profile__p001__g028,5622,1406
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__g12_m5wp8p__game_2_alt_profile__p001__g029,5414,1354
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__g13_m5wp8q__game_2_alt_profile__p001__g030,6026,1506
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__g3_m5wp6q__game_2_alt_profile__p001__g031,5864,1466
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip3__g7_m5wp78__game_2_alt_profile__p001__g032,6076,1519
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_02_m89542__game_1__p001__g033,5582,1396
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_04_m8aboy__game_1__p001__g034,5725,1431
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_05_m7xlsd__game_1__p001__g035,5644,1411
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_05_m89542__game_1__p001__g036,5818,1454
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_05_m898xg__game_1__p001__g037,5813,1453
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_06_m89b9z__game_1__p001__g038,5638,1410
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_06_m8acrp__game_1__p001__g039,5987,1497
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_07_m8ad4g__game_1__p001__g040,6200,1550
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_01_m898xg__game_2_alt_profile__p001__g041,5445,1361
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_02_m7xl5i__game_2_alt_profile__p001__g042,5899,1475
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_02_m89542__game_2_alt_profile__p001__g043,5594,1398
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_02_m8aboy__game_2_alt_profile__p001__g044,5672,1418
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_03_m898xg__game_2_alt_profile__p001__g045,5836,1459
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_04_m89542__game_2_alt_profile__p001__g046,5934,1484
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_05_m7xlsd__game_2_alt_profile__p001__g047,5795,1449
personahub_persona_jsonl_chip_match__pid_personahub_persona_cdf111837413__record_chip4__cohort_05_m898xg__game_2_alt_profile__p001__g048,6178,1544
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_01_m7xia7__game_1__p002__g001,5106,1276
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_02_m7xiz2__game_1__p002__g002,5467,1367
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_03_m8aexq__game_1__p002__g003,5521,1380
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_05_m7xjzy__game_1__p002__g004,5465,1366
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_07_m8ag8i__game_1__p002__g005,5629,1407
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_12_m8agmu__game_1__p002__g006,5590,1398
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_14_m8agmu__game_1__p002__g007,5584,1396
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_15_m8agmu__game_1__p002__g008,5647,1412
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_04_m8aexq__game_2_alt_profile__p002__g009,5371,1343
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_05_m7xjzy__game_2_alt_profile__p002__g010,5473,1368
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_05_m8aexq__game_2_alt_profile__p002__g011,5604,1401
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_12_m8agmu__game_2_alt_profile__p002__g012,5813,1453
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_14_m8agmu__game_2_alt_profile__p002__g013,5567,1392
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p002__g014,5396,1349
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_18_m8agzl__game_2_alt_profile__p002__g015,5328,1332
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip2__cohort_20_m8agzl__game_2_alt_profile__p002__g016,5372,1343
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip3__cohort_01_m8aiq8__game_1__p002__g017,5532,1383
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip3__cohort_05_m8aiq8__game_1__p002__g018,5489,1372
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip3__g11_m5wp7b__game_1__p002__g019,5919,1480
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip3__g17_m5wp8w__game_1__p002__g020,5591,1398
personahub_persona_jsonl_chip_match__pid_personahub_persona_2d8c7964a45f__record_chip3__g20_m5wq93__game_1__p002__g021,5662,1416
