custom_id,record_id,unit_id,treatment_name,variant,model,deception_condition,participant_label
minority_game_bret_njzas__00okp6aa,00okp6aa,00okp6aa,DECEPTION_0,twin_sampled_seed_0,gpt-5.1,0,5b5c40135653550001d9d2cf
minority_game_bret_njzas__01ccqf0z,01ccqf0z,01ccqf0z,DECEPTION_0,twin_sampled_seed_0,gpt-5.1,0,5b472672d4c93b00019bbc49
minority_game_bret_njzas__01ubxp0s,01ubxp0s,01ubxp0s,DECEPTION_0,twin_sampled_seed_0,gpt-5.1,0,5be6e95fec5bb900014e9f70
minority_game_bret_njzas__02tv1qz6,02tv1qz6,02tv1qz6,DECEPTION_0,twin_sampled_seed_0,gpt-5.1,0,60b8b31eb3143c92b950deba
minority_game_bret_njzas__0559yfs3,0559yfs3,0559yfs3,DECEPTION_0,twin_sampled_seed_0,gpt-5.1,0,59e7eb5d62637600014a7db2
minority_game_bret_njzas__06k1m1d7,06k1m1d7,06k1m1d7,DECEPTION_0,twin_sampled_seed_0,gpt-5.1,0,5718a9c4dd9ef10013df01f0
minority_game_bret_njzas__06mfopjs,06mfopjs,06mfopjs,DECEPTION_0,twin_sampled_seed_0,gpt-5.1,0,613fb7b55c6b448b10303169
minority_game_bret_njzas__09rqx4uq,09rqx4uq,09rqx4uq,DECEPTION_0,twin_sampled_seed_0,gpt-5.1,0,5cb4e2e8dde4050015779d17
minority_game_bret_njzas__09x7uvd0,09x7uvd0,09x7uvd0,DECEPTION_0,twin_sampled_seed_0,gpt-5.1,0,5c5cb335c378220001e5ed9b
minority_game_bret_njzas__0bbscwqf,0bbscwqf,0bbscwqf,DECEPTION_0,twin_sampled_seed_0,gpt-5.1,0,558996f2fdf99b7ae47f5ed2
minority_game_bret_njzas__0bhpk52r,0bhpk52r,0bhpk52r,DECEPTION_0,twin_sampled_seed_0,gpt-5.1,0,61671675737af5033ff16c47
minority_game_bret_njzas__0i1ucuab,0i1ucuab,0i1ucuab,DECEPTION_0,twin_sampled_seed_0,gpt-5.1,0,5dbdda11d54c4930595eb98c
minority_game_bret_njzas__0ki3gzxu,0ki3gzxu,0ki3gzxu,DECEPTION_0,twin_sampled_seed_0,gpt-5.1,0,58ff31a1d10e2b000108579e
