custom_id,estimated_input_chars,estimated_input_tokens_char4
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_01_m7xia7__game_1__p001__g001,5504,1376
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_02_m7xiz2__game_1__p001__g002,5865,1466
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_03_m8aexq__game_1__p001__g003,5919,1480
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_05_m7xjzy__game_1__p001__g004,5863,1466
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_07_m8ag8i__game_1__p001__g005,6027,1507
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_12_m8agmu__game_1__p001__g006,5988,1497
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_14_m8agmu__game_1__p001__g007,5982,1496
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_15_m8agmu__game_1__p001__g008,6045,1511
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_04_m8aexq__game_2_alt_profile__p001__g009,5769,1442
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_05_m7xjzy__game_2_alt_profile__p001__g010,5871,1468
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_05_m8aexq__game_2_alt_profile__p001__g011,6002,1500
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_12_m8agmu__game_2_alt_profile__p001__g012,6211,1553
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_14_m8agmu__game_2_alt_profile__p001__g013,5965,1491
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p001__g014,5794,1448
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_18_m8agzl__game_2_alt_profile__p001__g015,5726,1432
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_20_m8agzl__game_2_alt_profile__p001__g016,5770,1442
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__cohort_01_m8aiq8__game_1__p001__g017,5930,1482
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__cohort_05_m8aiq8__game_1__p001__g018,5887,1472
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__g11_m5wp7b__game_1__p001__g019,6317,1579
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__g17_m5wp8w__game_1__p001__g020,5989,1497
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__g20_m5wq93__game_1__p001__g021,6060,1515
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__g6_m5wp77__game_1__p001__g022,6052,1513
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__g7_m5wp78__game_1__p001__g023,6366,1592
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__g9_m5wp79__game_1__p001__g024,5953,1488
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__cohort_01_m8aiq8__game_2_alt_profile__p001__g025,5719,1430
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__cohort_02_m8aiq8__game_2_alt_profile__p001__g026,5905,1476
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__cohort_03_m8aiq8__game_2_alt_profile__p001__g027,5783,1446
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__cohort_06_m8ak4g__game_2_alt_profile__p001__g028,6013,1503
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__g12_m5wp8p__game_2_alt_profile__p001__g029,5805,1451
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__g13_m5wp8q__game_2_alt_profile__p001__g030,6417,1604
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__g3_m5wp6q__game_2_alt_profile__p001__g031,6255,1564
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__g7_m5wp78__game_2_alt_profile__p001__g032,6467,1617
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip4__cohort_02_m89542__game_1__p001__g033,5973,1493
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip4__cohort_04_m8aboy__game_1__p001__g034,6116,1529
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip4__cohort_05_m7xlsd__game_1__p001__g035,6035,1509
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip4__cohort_05_m89542__game_1__p001__g036,6209,1552
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip4__cohort_05_m898xg__game_1__p001__g037,6204,1551
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip4__cohort_06_m89b9z__game_1__p001__g038,6029,1507
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip4__cohort_06_m8acrp__game_1__p001__g039,6378,1594
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip4__cohort_07_m8ad4g__game_1__p001__g040,6591,1648
