custom_id,input_tokens_tiktoken
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_01_m7xia7__game_1__p001__g001,1476
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_02_m7xiz2__game_1__p001__g002,1639
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_03_m8aexq__game_1__p001__g003,1608
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_05_m7xjzy__game_1__p001__g004,1641
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_07_m8ag8i__game_1__p001__g005,1694
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_12_m8agmu__game_1__p001__g006,1635
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_14_m8agmu__game_1__p001__g007,1701
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_15_m8agmu__game_1__p001__g008,1633
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_04_m8aexq__game_2_alt_profile__p001__g009,1580
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_05_m7xjzy__game_2_alt_profile__p001__g010,1639
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_05_m8aexq__game_2_alt_profile__p001__g011,1657
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_12_m8agmu__game_2_alt_profile__p001__g012,1728
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_14_m8agmu__game_2_alt_profile__p001__g013,1712
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p001__g014,1539
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_18_m8agzl__game_2_alt_profile__p001__g015,1525
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip2__cohort_20_m8agzl__game_2_alt_profile__p001__g016,1564
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__cohort_01_m8aiq8__game_1__p001__g017,1614
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__cohort_05_m8aiq8__game_1__p001__g018,1603
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__g11_m5wp7b__game_1__p001__g019,1825
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__g17_m5wp8w__game_1__p001__g020,1661
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__g20_m5wq93__game_1__p001__g021,1671
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__g6_m5wp77__game_1__p001__g022,1708
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__g7_m5wp78__game_1__p001__g023,1782
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__g9_m5wp79__game_1__p001__g024,1581
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__cohort_01_m8aiq8__game_2_alt_profile__p001__g025,1527
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__cohort_02_m8aiq8__game_2_alt_profile__p001__g026,1640
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__cohort_03_m8aiq8__game_2_alt_profile__p001__g027,1560
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__cohort_06_m8ak4g__game_2_alt_profile__p001__g028,1645
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__g12_m5wp8p__game_2_alt_profile__p001__g029,1592
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__g13_m5wp8q__game_2_alt_profile__p001__g030,1790
personahub_elite_chip_match__pid_personahub_elite_4fb9d72b2cd3__record_chip3__g3_m5wp6q__game_2_alt_profile__p001__g031,1723
