unit_id,profile_id,summary,source_row_id,matching_age_bracket,matching_sex,matching_education
E1__A__1044,two_stage_trust_punishment_y2hgu_demo_profile_00001,"34-year-old, male.",two_stage_demo_source_11121,30-49,male,
E1__A__106,two_stage_trust_punishment_y2hgu_demo_profile_00002,"32-year-old, male.",two_stage_demo_source_08328,30-49,male,
E1__A__1183,two_stage_trust_punishment_y2hgu_demo_profile_00003,"40-year-old, male.",two_stage_demo_source_06683,30-49,male,
E1__A__1189,two_stage_trust_punishment_y2hgu_demo_profile_00004,"34-year-old, female.",two_stage_demo_source_03527,30-49,female,
E1__A__1223,two_stage_trust_punishment_y2hgu_demo_profile_00005,"58-year-old, female.",two_stage_demo_source_04025,50-64,female,
E1__A__1239,two_stage_trust_punishment_y2hgu_demo_profile_00006,"37-year-old, female.",two_stage_demo_source_00536,30-49,female,
E1__A__1270,two_stage_trust_punishment_y2hgu_demo_profile_00007,"44-year-old, male.",two_stage_demo_source_00984,30-49,male,
E1__A__1278,two_stage_trust_punishment_y2hgu_demo_profile_00008,"48-year-old, female.",two_stage_demo_source_00217,30-49,female,
E1__A__1295,two_stage_trust_punishment_y2hgu_demo_profile_00009,"26-year-old, male.",two_stage_demo_source_02292,18-29,male,
E1__A__1296,two_stage_trust_punishment_y2hgu_demo_profile_00010,"53-year-old, female.",two_stage_demo_source_10632,50-64,female,
E1__A__1309,two_stage_trust_punishment_y2hgu_demo_profile_00011,"36-year-old, male.",two_stage_demo_source_08490,30-49,male,
E1__A__1322,two_stage_trust_punishment_y2hgu_demo_profile_00012,"38-year-old, female.",two_stage_demo_source_11933,30-49,female,
E1__A__1385,two_stage_trust_punishment_y2hgu_demo_profile_00013,"20-year-old, male.",two_stage_demo_source_06584,18-29,male,
E1__A__1386,two_stage_trust_punishment_y2hgu_demo_profile_00014,"41-year-old, female.",two_stage_demo_source_07931,30-49,female,
E1__A__1459,two_stage_trust_punishment_y2hgu_demo_profile_00015,"27-year-old, female.",two_stage_demo_source_12691,18-29,female,
E1__A__1466,two_stage_trust_punishment_y2hgu_demo_profile_00016,"39-year-old, male.",two_stage_demo_source_09537,30-49,male,
