treatment_name,experiment_code,role,visibility,schema_type,metric,generated_value,human_value,abs_error,generated_n,human_n
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,check_rate,1.0,0.8,0.19999999999999996,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,act_rate,1.0,0.82,0.18000000000000005,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,mean_return_pct,50.0,38.38,11.619999999999997,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_checked_act,1.0,0.72,0.28,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_checked_no_act,0.0,0.08,0.08,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_unchecked_act,0.0,0.1,0.1,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_unchecked_no_act,0.0,0.1,0.1,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,check_rate,1.0,0.62,0.38,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,act_rate,1.0,0.9,0.09999999999999998,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,mean_return_pct,50.8,41.74,9.059999999999995,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_checked_act,1.0,0.6,0.4,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_checked_no_act,0.0,0.02,0.02,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_unchecked_act,0.0,0.3,0.3,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_unchecked_no_act,0.0,0.08,0.08,50,50
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,mean_send_if_act,7.7,5.76,1.9400000000000004,50,50
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,mean_send_if_no_act,2.88,3.26,0.3799999999999999,50,50
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,mean_action_premium,4.82,2.5,2.3200000000000003,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_send_if_act_without_check,8.18,7.0,1.1799999999999997,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_send_if_act_after_check,7.02,6.68,0.33999999999999986,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_send_if_no_act_without_check,3.24,3.58,0.33999999999999986,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_send_if_no_act_after_check,1.4,3.3,1.9,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_action_premium_without_check,4.94,3.42,1.5200000000000005,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_action_premium_after_check,5.62,3.38,2.24,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_process_premium_if_act,1.16,0.32,0.8399999999999999,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_process_premium_if_no_act,1.84,0.28,1.56,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,check_rate,1.0,0.74,0.26,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,act_rate,1.0,0.3,0.7,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,mean_return_pct,50.4,44.02,6.3799999999999955,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,pattern_checked_act,1.0,0.26,0.74,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,pattern_checked_no_act,0.0,0.48,0.48,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,pattern_unchecked_act,0.0,0.04,0.04,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,pattern_unchecked_no_act,0.0,0.22,0.22,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,check_rate,1.0,0.62,0.38,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,act_rate,1.0,0.38,0.62,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,mean_return_pct,51.4,41.64,9.759999999999998,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,pattern_checked_act,1.0,0.3,0.7,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,pattern_checked_no_act,0.0,0.32,0.32,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,pattern_unchecked_act,0.0,0.08,0.08,50,50
