custom_id,parse_success,parse_errors,validation_errors,text,parsed_target,record_id,unit_id,treatment_name,variant,model,experiment_code,role,visibility,schema_type,action_context,deliberation_dimension,data_source,check,act,decision_time_bucket,return_pct,send_if_act_without_check,send_if_act_after_check,send_if_no_act_without_check,send_if_no_act_after_check,send_if_act_fast,send_if_no_act_fast,send_if_act_slow,send_if_no_act_slow,send_if_act,send_if_no_act,process_label,process_binary,act_binary,pattern_label,action_premium,action_premium_without_check,action_premium_after_check,action_premium_fast,action_premium_slow,process_premium_if_act,process_premium_if_no_act
two_stage_trust_punishment_y2hgu__e1_a_106,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__106,E1__A__106,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1183,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1183,E1__A__1183,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1239,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1239,E1__A__1239,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1278,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1278,E1__A__1278,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1296,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1296,E1__A__1296,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1322,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1322,E1__A__1322,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1385,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1385,E1__A__1385,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1466,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1466,E1__A__1466,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1571,True,[],[],"{""check"":""YES"",""act"":""YES"",""return_pct"":50}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1571,E1__A__1571,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
two_stage_trust_punishment_y2hgu__e1_a_1611,True,[],[],"{
  ""check"": ""YES"",
  ""act"": ""YES"",
  ""return_pct"": 50
}","{'check': 'YES', 'act': 'YES', 'return_pct': 50}",E1__A__1611,E1__A__1611,E1_ROLE_A_HIDDEN,baseline,gpt-5.1,E1,A,hidden,role_a_check,help,cost,generated,YES,YES,,50.0,,,,,,,,,,,YES,1.0,1.0,checked_act,,,,,,,
