custom_id,game_id,treatment_name,chat_enabled,punishment_enabled,reward_enabled,num_players,num_rounds,model_label,mean_contribution_rate,punish_actor_round_rate,reward_actor_round_rate,punish_targets_per_actor_round,reward_targets_per_actor_round,actor_rounds,mean_total_contribution_rate,first_round_total_contribution_rate,total_contribution_rate_sd,final_total_contribution_rate,mean_round_normalized_efficiency,first_round_normalized_efficiency,final_round_normalized_efficiency,mean_within_round_contribution_rate_var,messages_per_round,rounds_with_chat_rate,observed_rounds,total_contribution_rate_decay_slope,round_normalized_efficiency_decay_slope,total_contribution_rate_rmse_to_treatment_mean,round_normalized_efficiency_rmse_to_treatment_mean
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep1,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.5166666666666667,0.0,0.0,0.0,0.0,60,0.5166666666666667,1.0,0.38042374035044424,0.0,0.5176282051282052,1.0,0.0,0.10500000000000002,5.0,1.0,6,-1.1,-1.1030219780219779,0.4381751110954833,0.4959711166979499
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep2,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.6833333333333333,0.0,0.0,0.0,0.0,60,0.6833333333333332,1.0,0.3531603350069515,0.0,0.6842948717948718,1.0,0.0,0.09166666666666667,4.0,1.0,6,-0.9571428571428573,-0.9574175824175826,0.36777260262667527,0.40389969723897956
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep3,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.43333333333333335,0.0,0.0,0.0,0.0,60,0.43333333333333335,0.8,0.33499585403736304,0.0,0.4326923076923077,0.7980769230769231,0.0,0.13333333333333333,4.666666666666667,1.0,6,-0.942857142857143,-0.9395604395604397,0.44302957662137743,0.5049420913840937
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep4,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.65,0.0,0.0,0.0,0.0,60,0.65,0.8,0.304138126514911,0.0,0.6490384615384616,0.7980769230769231,0.0,0.13500000000000004,4.666666666666667,1.0,6,-0.7000000000000001,-0.701923076923077,0.32084555852930796,0.3571445686338029
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep5,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.7666666666666667,0.0,0.0,0.0,0.0,60,0.7666666666666667,0.9,0.30368111930480995,0.1,0.7676282051282052,0.9038461538461539,0.09615384615384616,0.08666666666666667,4.666666666666667,1.0,6,-0.6285714285714286,-0.6332417582417582,0.32026785985735934,0.33607285618210175
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep6,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.5166666666666667,0.0,0.0,0.0,0.0,60,0.5166666666666667,0.8,0.32360813064912664,0.0,0.5176282051282052,0.7980769230769231,0.0,0.14500000000000002,4.666666666666667,1.0,6,-0.9,-0.8997252747252747,0.38674475052366675,0.4427942363564028
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep7,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.5833333333333334,0.0,0.0,0.0,0.0,60,0.5833333333333334,0.8,0.32360813064912664,0.0,0.5833333333333334,0.7980769230769231,0.0,0.13833333333333334,6.833333333333333,1.0,6,-0.842857142857143,-0.8434065934065935,0.3582845215103626,0.40656330420598025
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep8,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.4,0.0,0.0,0.0,0.0,60,0.39999999999999997,0.7,0.23804761428476165,0.0,0.4006410256410256,0.7019230769230769,0.0,0.18333333333333335,5.0,1.0,6,-0.6857142857142857,-0.6840659340659341,0.3983033719813168,0.46394567005209236
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep9,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.5,0.0,0.0,0.0,0.0,60,0.5,0.8,0.28284271247461906,0.0,0.4983974358974359,0.7980769230769231,0.0,0.17,5.0,1.0,6,-0.8000000000000002,-0.7980769230769231,0.3617309495127435,0.4219652513389752
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep10,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.5,0.0,0.0,0.0,0.0,60,0.5,0.7,0.27688746209726917,0.0,0.5,0.7019230769230769,0.0,0.17333333333333334,3.8333333333333335,1.0,6,-0.7428571428571429,-0.7445054945054946,0.35683436117738504,0.4154422909840533
trajectory_completion_compact__VALIDATION_0_T__qyhbsXkjZiMc28EAG__k0__rep12,qyhbsXkjZiMc28EAG,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.8666666666666667,0.11666666666666667,0.0,0.13333333333333333,0.0,60,0.8666666666666667,0.9,0.16996731711975951,0.5,0.8634615384615385,0.8961538461538462,0.49230769230769234,0.08666666666666667,3.8333333333333335,1.0,6,-0.31428571428571433,-0.31813186813186817,0.18972881313528,0.1709705898295956
trajectory_completion_compact__VALIDATION_0_T__qyhbsXkjZiMc28EAG__k0__rep11,qyhbsXkjZiMc28EAG,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.8833333333333333,0.06666666666666667,0.0,0.08333333333333333,0.0,60,0.8833333333333333,0.8,0.12133516482134196,0.7,0.8798076923076922,0.7903846153846154,0.7019230769230769,0.08833333333333333,3.1666666666666665,1.0,6,-0.15714285714285722,-0.1546703296703297,0.14987685583984622,0.1367324201930559
trajectory_completion_compact__VALIDATION_0_T__qyhbsXkjZiMc28EAG__k0__rep10,qyhbsXkjZiMc28EAG,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.9333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.0,60,0.9333333333333332,0.8,0.07453559924999298,0.9,0.9291666666666667,0.7865384615384615,0.8923076923076924,0.05666666666666667,3.3333333333333335,1.0,6,0.05714285714285714,0.06071428571428577,0.14002904571849767,0.13641023719548806
trajectory_completion_compact__VALIDATION_0_T__qyhbsXkjZiMc28EAG__k0__rep9,qyhbsXkjZiMc28EAG,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.9666666666666667,0.08333333333333333,0.0,0.08333333333333333,0.0,60,0.9666666666666667,1.0,0.07453559924999298,0.8,0.9631410256410257,1.0,0.7788461538461539,0.026666666666666672,3.3333333333333335,1.0,6,-0.14285714285714282,-0.15796703296703296,0.17042553224178245,0.1625382910345841
trajectory_completion_compact__VALIDATION_0_T__qyhbsXkjZiMc28EAG__k0__rep8,qyhbsXkjZiMc28EAG,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.85,0.13333333333333333,0.0,0.13333333333333333,0.0,60,0.85,0.7,0.11180339887498951,0.9,0.8467948717948718,0.7019230769230769,0.8961538461538462,0.115,4.0,1.0,6,0.24285714285714297,0.24175824175824187,0.10975611714055568,0.10387272741004418
trajectory_completion_compact__VALIDATION_0_T__qyhbsXkjZiMc28EAG__k0__rep7,qyhbsXkjZiMc28EAG,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.9,0.16666666666666666,0.0,0.16666666666666666,0.0,60,0.9,0.9,0.10000000000000002,0.7,0.8945512820512821,0.8961538461538462,0.6903846153846154,0.08,3.0,1.0,6,-0.17142857142857149,-0.17939560439560445,0.1393108623219399,0.12403143572895786
trajectory_completion_compact__VALIDATION_0_T__qyhbsXkjZiMc28EAG__k0__rep4,qyhbsXkjZiMc28EAG,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.9,0.11666666666666667,0.0,0.13333333333333333,0.0,60,0.9,0.8,0.08164965809277258,0.8,0.8955128205128206,0.7980769230769231,0.7865384615384615,0.08333333333333336,3.0,1.0,6,0.0,-0.009890109890109937,0.12108734859807659,0.10759286959881091
trajectory_completion_compact__VALIDATION_0_T__qyhbsXkjZiMc28EAG__k0__rep5,qyhbsXkjZiMc28EAG,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.8833333333333333,0.0,0.0,0.0,0.0,60,0.8833333333333333,0.7,0.1343709624716425,0.7,0.8846153846153846,0.7019230769230769,0.7019230769230769,0.085,5.833333333333333,1.0,6,0.0142857142857143,0.013736263736263727,0.15809470615415594,0.14110824771880204
trajectory_completion_compact__VALIDATION_0_T__qyhbsXkjZiMc28EAG__k0__rep3,qyhbsXkjZiMc28EAG,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.95,0.08333333333333333,0.0,0.08333333333333333,0.0,60,0.9500000000000001,0.9,0.04999999999999999,0.9,0.9487179487179488,0.9,0.8961538461538462,0.045000000000000005,3.5,1.0,6,0.01428571428571428,0.012087912087912094,0.14210754166447156,0.1377774881080001
trajectory_completion_compact__VALIDATION_0_T__qyhbsXkjZiMc28EAG__k0__rep2,qyhbsXkjZiMc28EAG,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.9333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.0,60,0.9333333333333332,0.8,0.07453559924999298,0.9,0.9272435897435898,0.7788461538461539,0.8923076923076924,0.05666666666666667,2.3333333333333335,1.0,6,0.0857142857142857,0.09642857142857147,0.13892261036103684,0.13305480169481487
trajectory_completion_compact__VALIDATION_0_T__qyhbsXkjZiMc28EAG__k0__rep1,qyhbsXkjZiMc28EAG,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.8666666666666667,0.15,0.0,0.21666666666666667,0.0,60,0.8666666666666667,0.8,0.11055415967851333,0.7,0.8554487179487179,0.775,0.6865384615384615,0.10333333333333333,4.666666666666667,1.0,6,-0.17142857142857149,-0.17335164835164835,0.13457793305213972,0.12624940012563693
trajectory_completion_compact__VALIDATION_0_T__qyhbsXkjZiMc28EAG__k0__rep6,qyhbsXkjZiMc28EAG,VALIDATION_0_T,True,True,False,10,6,gpt_5_1_k0,0.8833333333333333,0.15,0.0,0.16666666666666666,0.0,60,0.8833333333333333,0.8,0.10671873729054748,0.7,0.8782051282051282,0.7865384615384615,0.6942307692307692,0.09166666666666667,3.3333333333333335,1.0,6,-0.10000000000000006,-0.09505494505494505,0.1360604815237967,0.11975478640367762
trajectory_completion_compact__VALIDATION_10_C__bZbAH4FHLEBMsmH25__k0__rep7,bZbAH4FHLEBMsmH25,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.5055555555555555,0.0,0.0,0.0,0.0,18,0.5055555555555555,0.5833333333333334,0.2373984513246833,0.0,0.5087390761548064,0.5805243445692884,0.0,0.007499999999999999,4.333333333333333,1.0,6,-0.4952380952380953,-0.4788657035848046,0.2569249241834405,0.38286795811090424
trajectory_completion_compact__VALIDATION_10_C__bZbAH4FHLEBMsmH25__k0__rep10,bZbAH4FHLEBMsmH25,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.7166666666666667,0.0,0.0,0.0,0.0,18,0.7166666666666667,0.8166666666666667,0.17976321874848264,0.3333333333333333,0.7240948813982522,0.8239700374531834,0.35580524344569286,0.005185185185185185,5.833333333333333,1.0,6,-0.4238095238095238,-0.40128410914927765,0.127152758814247,0.22273334209508988
trajectory_completion_compact__VALIDATION_10_C__bZbAH4FHLEBMsmH25__k0__rep9,bZbAH4FHLEBMsmH25,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.8333333333333334,0.0,0.0,0.0,0.0,18,0.8333333333333334,0.9,0.2581988897471611,0.26666666666666666,0.8426966292134831,0.8988764044943819,0.26217228464419473,0.006666666666666665,6.0,1.0,6,-0.5142857142857143,-0.5136436597110753,0.23959118344627203,0.24985713189269623
trajectory_completion_compact__VALIDATION_10_C__bZbAH4FHLEBMsmH25__k0__rep8,bZbAH4FHLEBMsmH25,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.7388888888888889,0.0,0.0,0.0,0.0,18,0.7388888888888889,0.9,0.2375933864482566,0.23333333333333334,0.7428214731585517,0.8988764044943819,0.24344569288389512,0.010092592592592592,5.333333333333333,1.0,6,-0.5476190476190476,-0.5403959336543606,0.2010303321502614,0.28382484111012196
trajectory_completion_compact__VALIDATION_10_C__bZbAH4FHLEBMsmH25__k0__rep6,bZbAH4FHLEBMsmH25,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.09722222222222222,0.0,0.0,0.0,0.0,18,0.09722222222222221,0.3333333333333333,0.12034543901352483,0.0,0.10611735330836454,0.35580524344569286,0.0,0.00787037037037037,2.8333333333333335,1.0,6,-0.3166666666666667,-0.3263777421080792,0.6168552639531145,0.7545280826567429
trajectory_completion_compact__VALIDATION_10_C__bZbAH4FHLEBMsmH25__k0__rep1,bZbAH4FHLEBMsmH25,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.6361111111111111,0.0,0.0,0.0,0.0,18,0.6361111111111111,0.7,0.2772912405734545,0.05,0.6335830212234707,0.6741573033707865,0.05617977528089887,0.0033333333333333344,6.0,1.0,6,-0.569047619047619,-0.5484216158373462,0.21882736727079327,0.3137936268019638
trajectory_completion_compact__VALIDATION_10_C__bZbAH4FHLEBMsmH25__k0__rep4,bZbAH4FHLEBMsmH25,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.7861111111111111,0.0,0.0,0.0,0.0,18,0.7861111111111111,0.8666666666666667,0.19659524754689442,0.35,0.7865168539325843,0.8801498127340823,0.33707865168539325,0.0010185185185185184,5.333333333333333,1.0,6,-0.40714285714285714,-0.4333868378812199,0.17056890103415687,0.22780274734662517
trajectory_completion_compact__VALIDATION_10_C__bZbAH4FHLEBMsmH25__k0__rep3,bZbAH4FHLEBMsmH25,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.7444444444444445,0.0,0.0,0.0,0.0,18,0.7444444444444445,0.9,0.3371540293488613,0.0,0.7365792759051185,0.8988764044943819,0.0,0.003518518518518518,3.1666666666666665,1.0,6,-0.7238095238095238,-0.7276618512573568,0.2851433200391742,0.33880962513796054
trajectory_completion_compact__VALIDATION_10_C__bZbAH4FHLEBMsmH25__k0__rep2,bZbAH4FHLEBMsmH25,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.6861111111111111,0.0,0.0,0.0,0.0,18,0.686111111111111,0.9166666666666666,0.31643510051747764,0.06666666666666667,0.6991260923845193,0.9363295880149812,0.09363295880149812,0.0039814814814814825,6.0,1.0,6,-0.8214285714285714,-0.8186195826645265,0.2581473344745134,0.34553539015191337
trajectory_completion_compact__VALIDATION_10_C__bZbAH4FHLEBMsmH25__k0__rep5,bZbAH4FHLEBMsmH25,VALIDATION_10_C,True,False,False,3,6,gpt_5_1_k0,0.7805555555555556,0.0,0.0,0.0,0.0,18,0.7805555555555556,1.0,0.36342209245442225,0.0,0.7896379525593007,1.0112359550561796,0.0,0.004907407407407408,5.333333333333333,1.0,6,-0.830952380952381,-0.8480470840021399,0.31663194254060506,0.3565176510965832
trajectory_completion_compact__VALIDATION_10_T__XcwKJ8eiRs6TmysXX__k0__rep10,XcwKJ8eiRs6TmysXX,VALIDATION_10_T,True,True,False,3,6,gpt_5_1_k0,0.9305555555555556,0.1111111111111111,0.0,0.1111111111111111,0.0,18,0.9305555555555555,1.0,0.07479395565464587,0.8333333333333334,0.8489388264669162,1.0112359550561796,0.8614232209737827,0.016388888888888887,3.8333333333333335,1.0,6,-0.13095238095238096,-0.03210272873194213,0.2541643897894373,0.28535198325240874
trajectory_completion_compact__VALIDATION_10_T__XcwKJ8eiRs6TmysXX__k0__rep9,XcwKJ8eiRs6TmysXX,VALIDATION_10_T,True,True,False,3,6,gpt_5_1_k0,0.7722222222222223,0.1111111111111111,0.0,0.1111111111111111,0.0,18,0.7722222222222221,0.7,0.09702360664762767,0.7166666666666667,0.6710362047440698,0.6741573033707865,0.7116104868913857,0.04814814814814814,3.0,1.0,6,0.1333333333333334,0.23274478330658102,0.11286463540864305,0.17504609846437102
trajectory_completion_compact__VALIDATION_10_T__XcwKJ8eiRs6TmysXX__k0__rep8,XcwKJ8eiRs6TmysXX,VALIDATION_10_T,True,True,False,3,6,gpt_5_1_k0,0.9611111111111111,0.05555555555555555,0.0,0.05555555555555555,0.0,18,0.9611111111111111,0.9,0.04479032082388082,1.0,0.9207240948813981,0.8988764044943819,1.0112359550561796,0.004814814814814815,3.3333333333333335,1.0,6,0.07142857142857141,0.02942750133761366,0.2694945543323924,0.3748825129923954
trajectory_completion_compact__VALIDATION_10_T__XcwKJ8eiRs6TmysXX__k0__rep7,XcwKJ8eiRs6TmysXX,VALIDATION_10_T,True,True,False,3,6,gpt_5_1_k0,0.8083333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,18,0.8083333333333332,0.8833333333333333,0.1928706148537772,0.43333333333333335,0.6554307116104868,0.5617977528089887,0.4119850187265917,0.0262037037037037,3.0,1.0,6,-0.43571428571428583,-0.32102728731942215,0.2476510014486485,0.2852385185346012
