treatment_name,experiment_code,role,visibility,schema_type,metric,generated_value,human_value,abs_error,generated_n,human_n
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,check_rate,1.0,0.8,0.19999999999999996,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,act_rate,1.0,0.82,0.18000000000000005,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,mean_return_pct,49.8,38.38,11.419999999999995,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_checked_act,1.0,0.72,0.28,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_checked_no_act,0.0,0.08,0.08,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_unchecked_act,0.0,0.1,0.1,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_unchecked_no_act,0.0,0.1,0.1,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,check_rate,0.9,0.62,0.28,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,act_rate,0.98,0.9,0.07999999999999996,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,mean_return_pct,50.1,41.74,8.36,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_checked_act,0.88,0.6,0.28,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_checked_no_act,0.02,0.02,0.0,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_unchecked_act,0.1,0.3,0.19999999999999998,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_unchecked_no_act,0.0,0.08,0.08,50,50
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,mean_send_if_act,6.28,5.76,0.5200000000000005,50,50
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,mean_send_if_no_act,3.16,3.26,0.09999999999999964,50,50
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,mean_action_premium,3.12,2.5,0.6200000000000001,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_send_if_act_without_check,7.76,7.0,0.7599999999999998,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_send_if_act_after_check,7.06,6.68,0.3799999999999999,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_send_if_no_act_without_check,2.22,3.58,1.3599999999999999,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_send_if_no_act_after_check,1.7,3.3,1.5999999999999999,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_action_premium_without_check,5.54,3.42,2.12,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_action_premium_after_check,5.36,3.38,1.9800000000000004,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_process_premium_if_act,0.7,0.32,0.37999999999999995,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_process_premium_if_no_act,0.52,0.28,0.24,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,check_rate,1.0,0.74,0.26,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,act_rate,1.0,0.3,0.7,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,mean_return_pct,51.4,44.02,7.3799999999999955,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,pattern_checked_act,1.0,0.26,0.74,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,pattern_checked_no_act,0.0,0.48,0.48,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,pattern_unchecked_act,0.0,0.04,0.04,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,pattern_unchecked_no_act,0.0,0.22,0.22,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,check_rate,1.0,0.62,0.38,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,act_rate,1.0,0.38,0.62,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,mean_return_pct,53.3,41.64,11.659999999999997,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,pattern_checked_act,1.0,0.3,0.7,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,pattern_checked_no_act,0.0,0.32,0.32,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,pattern_unchecked_act,0.0,0.08,0.08,50,50
