treatment_name,score,model_name,metric_family,metric,metric_label
VALIDATION_0_C,0.3691666666666667,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_0_T,0.14183006535947712,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_10_C,0.4138888888888889,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_10_T,0.2025,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_11_C,0.3408176892551893,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_11_T,0.2733044733044733,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_12_C,0.43139730639730645,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_12_T,0.08234126984126984,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_13_C,0.44560004456327984,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_13_T,0.43106630909939736,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_14_C,0.41265939733593243,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_14_T,0.4133688862307283,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_15_C,0.2604562104562105,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_15_T,0.2735958485958486,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_16_C,0.5305,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_16_T,0.13528846153846155,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_17_C,0.44181856155540367,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_17_T,0.06184915932214642,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_18_C,0.23731884057971014,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_18_T,0.18432971014492755,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_19_C,0.2765164576802508,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_19_T,0.3855258620689655,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_1_C,0.5683593749999998,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_1_T,0.20503472222222222,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_2_C,0.15791666666666665,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_2_T,0.1319318181818182,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_3_C,0.1092355175688509,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_3_T,0.3443386752136752,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_4_C,0.030357142857142867,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_4_T,0.06547619047619048,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_5_C,0.25,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_5_T,0.19204545454545455,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_6_C,0.4972021901709402,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_6_T,0.21927986186348863,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_7_C,0.6240256633318835,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_7_T,0.2193534828658184,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_8_C,0.2590277777777778,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_8_T,0.15454545454545454,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_9_C,0.2428417508417508,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_9_T,0.274884506440062,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_0_C,0.36416666666666664,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_0_T,0.07238562091503269,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_10_C,0.4063888888888889,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_10_T,0.1325,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_11_C,0.3196638431013431,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_11_T,0.23846431346431346,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_12_C,0.43486952861952866,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_12_T,0.07308201058201057,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_13_C,0.39973607397504457,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_13_T,0.3754012021475257,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_14_C,0.3165255441845354,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_14_T,0.317535552897395,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_15_C,0.15306360306360306,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_15_T,0.12707570207570207,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_16_C,0.5651666666666667,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_16_T,0.05778846153846155,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_17_C,0.4413400926558821,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_17_T,0.04148035652044018,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_18_C,0.2626811594202898,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_18_T,0.16041666666666665,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_19_C,0.18854231974921629,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_19_T,0.35328448275862073,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_1_C,0.5128906249999999,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_1_T,0.19535590277777778,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_2_C,0.10361111111111113,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_2_T,0.07420454545454544,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_3_C,0.13184947768281102,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_3_T,0.19881517094017095,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_4_C,0.023214285714285725,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_4_T,0.04166666666666667,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_5_C,0.14814814814814814,gpt-5-mini demo-only,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
