metric_family,metric,metric_label,draw_index,score
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,0,0.2667125715492446
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,1,0.2677258770539834
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,2,0.268359386211089
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,3,0.26650516223823734
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,4,0.26861553343212713
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,5,0.270893009312231
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,6,0.26830208818565965
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,7,0.2699122145572517
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,8,0.2640661343472165
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,9,0.2638110787175473
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,10,0.2689421611498342
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,11,0.2666755613186355
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,12,0.270156022982343
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,13,0.2686640830618199
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,14,0.26748598510764754
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,15,0.2657913179339434
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,16,0.2673712812622995
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,17,0.2658572945022336
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,18,0.2667439350511701
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,19,0.2666060014649841
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,20,0.2674341534035883
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,21,0.2688387776931628
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,22,0.2625743497036012
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,23,0.2643779142756516
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,24,0.26940197826434054
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,25,0.271045110361205
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,26,0.26884933632168223
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,27,0.2684050375078054
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,28,0.263715521132033
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,29,0.2670299503297208
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,30,0.26157679898896447
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,31,0.2704648598103184
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,32,0.2656541168936287
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,33,0.2637566860037152
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,34,0.2657853141663926
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,35,0.26712031361352173
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,36,0.26460748869455664
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,37,0.26700121655471687
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,38,0.2658478159852972
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,39,0.2633140509273954
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,40,0.26833285204876633
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,41,0.26363874301542134
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,42,0.26307435276527213
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,43,0.26762899171886806
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,44,0.26381674504373914
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,45,0.26998458271788695
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,46,0.26692750428409345
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,47,0.26691251954365935
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,48,0.26685602953050763
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,49,0.26512215864522876
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,50,0.26401966370178476
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,51,0.26591301372701825
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,52,0.2690085308900483
player_within_config_wd,player_mean_contribution_rate,Player mean contrib,53,0.26532599256252254
