custom_id,input_tokens_tiktoken
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_5mhtM66ewYHNxSp4q__p001__g001,1112
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_2TquMDieEiixty8AN__p001__g002,2012
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_65crAkEscRbHNJXbW__p001__g003,926
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_3EG5RaDj4z7hkT2JD__p001__g004,1083
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_PmcxhmDRj2tN3cECC__p001__g005,6187
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_925LF9k9CXpz8KjQm__p001__g006,8048
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_ASQtYBWx6cGN27KxL__p001__g007,1586
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_DYFJDsdGg8bppBJ7P__p001__g008,2063
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_CbDvrXGkphmfGtH3G__p001__g009,4117
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_FvbM5EM5aB5pcjLpA__p001__g010,3227
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_C5Cd8Yq5dDbdycXKB__p001__g011,2299
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_AyQkFs97hRTki5zWR__p001__g012,2765
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_7oRFMBwqmesGX7t3H__p001__g013,7272
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_fMhhGrfpZH9ign2AK__p001__g014,3505
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_i7C4Y4NiesraiSwwb__p001__g015,2273
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_7tfDsTHHnxsgrhE3d__p001__g016,2956
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_r7Bk7fEwX3HSRrXMZ__p001__g017,1681
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_7FQezekfKk3zctLN8__p001__g018,4800
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_2khRAszouj8vP8ZfP__p001__g019,1866
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_CoHyYysb84APn5gDE__p001__g020,1936
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_2KKC9nMd8nRXfgH5G__p001__g021,2434
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_PrfKWppTZdvPhe4oN__p001__g022,3011
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_6Pxb9DsQpyk22cJNr__p001__g023,1260
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_Fm7uYc98E2b6kcoDE__p001__g024,1497
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_9oyspxPncwXdAkruR__p001__g025,1295
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_2TDnnb4wn9rwy3CYZ__p001__g026,1715
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_7ywewvEuctuz4Rq8j__p001__g027,2863
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_AJ4ikZuWJeJcEXhgZ__p001__g028,2416
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_3v9ji6wNY7sXHe8cM__p001__g029,2408
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_8GneB6qmtDLSnbcJT__p001__g030,1713
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_6sSM4xSyZQkaxyHav__p001__g031,1445
concordia_compact_pgg_match__pid_concordia_c5fea4304e42__game_3EQGxadfbmAKaACgZ__p001__g032,1300
