experiment_id,config_hash,game_id,round,actor_id,actor_name,target_id,target_name,type,units_decided,units_actual,was_scaled,cost,impact,timestamp
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_0,DOG,agent_1,CHICKEN,punishment,1,0,True,0,0,2026-01-02T01:19:00.960286
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_0,DOG,agent_1,CHICKEN,reward,1,0,True,0,0.0,2026-01-02T01:19:00.960448
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_0,DOG,agent_2,CAT,punishment,2,0,True,0,0,2026-01-02T01:19:00.960496
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_0,DOG,agent_2,CAT,reward,2,0,True,0,0.0,2026-01-02T01:19:00.960521
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_0,DOG,agent_3,FISH,punishment,3,1,True,1,3,2026-01-02T01:19:00.960543
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_0,DOG,agent_3,FISH,reward,3,1,True,3,1.38,2026-01-02T01:19:00.960564
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_0,DOG,agent_4,BIRD,punishment,4,1,True,1,3,2026-01-02T01:19:00.960594
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_0,DOG,agent_4,BIRD,reward,4,1,True,3,1.38,2026-01-02T01:19:00.960614
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_0,DOG,agent_5,RABBIT,punishment,5,1,True,1,3,2026-01-02T01:19:00.960638
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_0,DOG,agent_5,RABBIT,reward,5,1,True,3,1.38,2026-01-02T01:19:00.960657
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_0,DOG,agent_6,TURTLE,punishment,6,2,True,2,6,2026-01-02T01:19:00.960678
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_0,DOG,agent_6,TURTLE,reward,6,2,True,6,2.76,2026-01-02T01:19:00.960700
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_0,DOG,agent_7,HAMSTER,punishment,7,2,True,2,6,2026-01-02T01:19:00.960721
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_0,DOG,agent_7,HAMSTER,reward,7,2,True,6,2.76,2026-01-02T01:19:00.960741
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_1,CHICKEN,agent_0,DOG,punishment,3,2,True,2,6,2026-01-02T01:19:07.921904
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_1,CHICKEN,agent_0,DOG,reward,3,2,True,6,2.76,2026-01-02T01:19:07.922114
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_1,CHICKEN,agent_3,FISH,punishment,2,1,True,1,3,2026-01-02T01:19:07.922146
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_1,CHICKEN,agent_3,FISH,reward,2,1,True,3,1.38,2026-01-02T01:19:07.922169
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_1,CHICKEN,agent_6,TURTLE,punishment,2,1,True,1,3,2026-01-02T01:19:07.922192
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_1,CHICKEN,agent_6,TURTLE,reward,2,1,True,3,1.38,2026-01-02T01:19:07.922213
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_2,CAT,agent_3,FISH,punishment,3,2,True,2,6,2026-01-02T01:19:13.851280
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_2,CAT,agent_3,FISH,reward,3,2,True,6,2.76,2026-01-02T01:19:13.851449
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_2,CAT,agent_7,HAMSTER,punishment,3,2,True,2,6,2026-01-02T01:19:13.851506
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_2,CAT,agent_7,HAMSTER,reward,3,2,True,6,2.76,2026-01-02T01:19:13.851536
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_3,FISH,agent_4,BIRD,punishment,1,1,False,1,3,2026-01-02T01:19:20.107483
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_3,FISH,agent_4,BIRD,reward,1,1,False,3,1.38,2026-01-02T01:19:20.107665
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_4,BIRD,agent_0,DOG,punishment,1,1,False,1,3,2026-01-02T01:19:24.628837
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_4,BIRD,agent_0,DOG,reward,1,1,False,3,1.38,2026-01-02T01:19:24.628885
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_4,BIRD,agent_3,FISH,punishment,2,2,False,2,6,2026-01-02T01:19:24.628918
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_4,BIRD,agent_3,FISH,reward,2,2,False,6,2.76,2026-01-02T01:19:24.628938
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_4,BIRD,agent_6,TURTLE,punishment,1,1,False,1,3,2026-01-02T01:19:24.628957
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_4,BIRD,agent_6,TURTLE,reward,1,1,False,3,1.38,2026-01-02T01:19:24.628995
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_7,HAMSTER,agent_1,CHICKEN,punishment,5,3,True,3,9,2026-01-02T01:19:41.409932
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_7,HAMSTER,agent_1,CHICKEN,reward,5,3,True,9,4.14,2026-01-02T01:19:41.410150
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_7,HAMSTER,agent_4,BIRD,punishment,2,1,True,1,3,2026-01-02T01:19:41.410281
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_7,HAMSTER,agent_4,BIRD,reward,2,1,True,3,1.38,2026-01-02T01:19:41.410312
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_7,HAMSTER,agent_6,TURTLE,punishment,2,1,True,1,3,2026-01-02T01:19:41.410335
exp_014_treatment,848fcfba,exp_014_treatment_game1,1,agent_7,HAMSTER,agent_6,TURTLE,reward,2,1,True,3,1.38,2026-01-02T01:19:41.410355
