custom_id,record_id,unit_id,treatment_name,variant,model,chip_family,chip_family_display,cohort_name,stage_name,stage_code,experiment_name,players_json,chip_definitions_json,participant_chip_values_json,initial_chip_holdings_json,turn_order_json,round_turn_orders_json
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,baseline,gpt-5.1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,"[""buffalo-green-2230"", ""bear-green-5745"", ""goose-green-3433""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""BLUE"", ""name"": ""blue"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""goose-green-3433"": {""BLUE"": 0.1, ""GREEN"": 0.5, ""RED"": 0.1}, ""buffalo-green-2230"": {""GREEN"": 0.5, ""RED"": 0.1, ""BLUE"": 0.7}, ""bear-green-5745"": {""GREEN"": 0.5, ""RED"": 0.6, ""BLUE"": 1.0}}","{""buffalo-green-2230"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}, ""bear-green-5745"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}, ""goose-green-3433"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}}","[""buffalo-green-2230"", ""bear-green-5745"", ""goose-green-3433""]","[[""buffalo-green-2230"", ""bear-green-5745"", ""goose-green-3433""], [""buffalo-green-2230"", ""bear-green-5745"", ""goose-green-3433""], [""buffalo-green-2230"", ""bear-green-5745"", ""goose-green-3433""]]"
chip_bargain__chip3_cohort_02_m8aiq8_game_1,chip3__cohort_02_m8aiq8__game_1,chip3__cohort_02_m8aiq8__game_1,CHIP3__GAME_1,baseline,gpt-5.1,chip3,3-Chip Bargaining,Cohort 02-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,"[""otter-blue-7516"", ""peacock-red-3668"", ""cat-orange-2462""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""BLUE"", ""name"": ""blue"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""otter-blue-7516"": {""GREEN"": 0.5, ""BLUE"": 0.4, ""RED"": 1.0}, ""peacock-red-3668"": {""RED"": 1.0, ""GREEN"": 0.5, ""BLUE"": 0.5}, ""cat-orange-2462"": {""BLUE"": 0.7, ""RED"": 1.0, ""GREEN"": 0.5}}","{""otter-blue-7516"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}, ""peacock-red-3668"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}, ""cat-orange-2462"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}}","[""otter-blue-7516"", ""peacock-red-3668"", ""cat-orange-2462""]","[[""otter-blue-7516"", ""peacock-red-3668"", ""cat-orange-2462""], [""otter-blue-7516"", ""peacock-red-3668"", ""cat-orange-2462""], [""peacock-red-3668"", ""otter-blue-7516"", ""cat-orange-2462""]]"
chip_bargain__chip3_cohort_03_m8aiq8_game_1,chip3__cohort_03_m8aiq8__game_1,chip3__cohort_03_m8aiq8__game_1,CHIP3__GAME_1,baseline,gpt-5.1,chip3,3-Chip Bargaining,Cohort 03-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,"[""badger-red-5032"", ""camel-yellow-5577"", ""squid-yellow-9545""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""BLUE"", ""name"": ""blue"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""badger-red-5032"": {""RED"": 0.8, ""BLUE"": 0.8, ""GREEN"": 0.5}, ""camel-yellow-5577"": {""GREEN"": 0.5, ""RED"": 0.6, ""BLUE"": 0.4}, ""squid-yellow-9545"": {""GREEN"": 0.5, ""RED"": 0.2, ""BLUE"": 0.6}}","{""badger-red-5032"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}, ""camel-yellow-5577"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}, ""squid-yellow-9545"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}}","[""badger-red-5032"", ""camel-yellow-5577"", ""squid-yellow-9545""]","[[""badger-red-5032"", ""camel-yellow-5577"", ""squid-yellow-9545""], [""badger-red-5032"", ""camel-yellow-5577"", ""squid-yellow-9545""], [""badger-red-5032"", ""camel-yellow-5577"", ""squid-yellow-9545""]]"
chip_bargain__chip3_cohort_04_m8aiq8_game_1,chip3__cohort_04_m8aiq8__game_1,chip3__cohort_04_m8aiq8__game_1,CHIP3__GAME_1,baseline,gpt-5.1,chip3,3-Chip Bargaining,Cohort 04-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,"[""dog-blue-6080"", ""butterfly-blue-3807"", ""ram-purple-9443""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""BLUE"", ""name"": ""blue"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""ram-purple-9443"": {""GREEN"": 0.5, ""BLUE"": 0.1, ""RED"": 0.4}, ""butterfly-blue-3807"": {""BLUE"": 0.9, ""GREEN"": 0.5, ""RED"": 0.6}, ""dog-blue-6080"": {""BLUE"": 0.2, ""GREEN"": 0.5, ""RED"": 1.0}}","{""dog-blue-6080"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}, ""butterfly-blue-3807"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}, ""ram-purple-9443"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}}","[""dog-blue-6080"", ""butterfly-blue-3807"", ""ram-purple-9443""]","[[""dog-blue-6080"", ""butterfly-blue-3807"", ""ram-purple-9443""], [""dog-blue-6080"", ""butterfly-blue-3807"", ""ram-purple-9443""], [""dog-blue-6080"", ""butterfly-blue-3807"", ""ram-purple-9443""]]"
chip_bargain__chip3_cohort_05_m8aiq8_game_1,chip3__cohort_05_m8aiq8__game_1,chip3__cohort_05_m8aiq8__game_1,CHIP3__GAME_1,baseline,gpt-5.1,chip3,3-Chip Bargaining,Cohort 05-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,"[""alligator-blue-3197"", ""lion-orange-6194"", ""iguana-orange-3232""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""BLUE"", ""name"": ""blue"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""lion-orange-6194"": {""GREEN"": 0.5, ""RED"": 0.4, ""BLUE"": 1.0}, ""iguana-orange-3232"": {""GREEN"": 0.5, ""BLUE"": 0.4, ""RED"": 0.8}, ""alligator-blue-3197"": {""GREEN"": 0.5, ""RED"": 0.3, ""BLUE"": 0.6}}","{""alligator-blue-3197"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}, ""lion-orange-6194"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}, ""iguana-orange-3232"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}}","[""alligator-blue-3197"", ""lion-orange-6194"", ""iguana-orange-3232""]","[[""alligator-blue-3197"", ""lion-orange-6194"", ""iguana-orange-3232""], [""alligator-blue-3197"", ""lion-orange-6194"", ""iguana-orange-3232""], [""alligator-blue-3197"", ""lion-orange-6194"", ""iguana-orange-3232""]]"
chip_bargain__chip3_cohort_06_m8ak4g_game_1,chip3__cohort_06_m8ak4g__game_1,chip3__cohort_06_m8ak4g__game_1,CHIP3__GAME_1,baseline,gpt-5.1,chip3,3-Chip Bargaining,Cohort 06-m8ak4g,First negotiation game-negotiation1,GAME_1,🔵 3p2,"[""whale-red-86"", ""dolphin-orange-3122"", ""duck-orange-4971""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""BLUE"", ""name"": ""blue"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""duck-orange-4971"": {""BLUE"": 0.6, ""RED"": 1.0, ""GREEN"": 0.5}, ""dolphin-orange-3122"": {""RED"": 0.6, ""GREEN"": 0.5, ""BLUE"": 0.8}, ""whale-red-86"": {""GREEN"": 0.5, ""BLUE"": 0.4, ""RED"": 1.0}}","{""whale-red-86"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}, ""dolphin-orange-3122"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}, ""duck-orange-4971"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}}","[""whale-red-86"", ""dolphin-orange-3122"", ""duck-orange-4971""]","[[""whale-red-86"", ""dolphin-orange-3122"", ""duck-orange-4971""], [""whale-red-86"", ""dolphin-orange-3122"", ""duck-orange-4971""], [""whale-red-86"", ""dolphin-orange-3122"", ""duck-orange-4971""]]"
chip_bargain__chip3_cohort_07_m8ak4j_game_1,chip3__cohort_07_m8ak4j__game_1,chip3__cohort_07_m8ak4j__game_1,CHIP3__GAME_1,baseline,gpt-5.1,chip3,3-Chip Bargaining,Cohort 07-m8ak4j,First negotiation game-negotiation1,GAME_1,🔵 3p2,"[""turtle-yellow-8674"", ""gorilla-purple-9767"", ""zebra-blue-1097""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""BLUE"", ""name"": ""blue"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""gorilla-purple-9767"": {""BLUE"": 0.7, ""GREEN"": 0.5, ""RED"": 1.0}, ""turtle-yellow-8674"": {""GREEN"": 0.5, ""RED"": 0.9, ""BLUE"": 1.0}, ""zebra-blue-1097"": {""RED"": 0.6, ""BLUE"": 0.5, ""GREEN"": 0.5}}","{""turtle-yellow-8674"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}, ""gorilla-purple-9767"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}, ""zebra-blue-1097"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}}","[""turtle-yellow-8674"", ""gorilla-purple-9767"", ""zebra-blue-1097""]","[[""turtle-yellow-8674"", ""gorilla-purple-9767"", ""zebra-blue-1097""], [""turtle-yellow-8674"", ""gorilla-purple-9767"", ""zebra-blue-1097""], [""turtle-yellow-8674"", ""gorilla-purple-9767"", ""zebra-blue-1097""]]"
chip_bargain__chip3_g11_m5wp7b_game_1,chip3__g11_m5wp7b__game_1,chip3__g11_m5wp7b__game_1,CHIP3__GAME_1,baseline,gpt-5.1,chip3,3-Chip Bargaining,g11-m5wp7b,First negotiation game-negotiation1,GAME_1,🔵 3p1 (N= 54),"[""cat-green-4185"", ""iguana-yellow-3262"", ""zebra-pink-2457""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""BLUE"", ""name"": ""blue"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""cat-green-4185"": {""BLUE"": 0.6000000000000001, ""GREEN"": 0.5, ""RED"": 0.9}, ""zebra-pink-2457"": {""BLUE"": 1.0, ""GREEN"": 0.5, ""RED"": 0.4}, ""iguana-yellow-3262"": {""BLUE"": 0.30000000000000004, ""GREEN"": 0.5, ""RED"": 0.8}}","{""cat-green-4185"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}, ""iguana-yellow-3262"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}, ""zebra-pink-2457"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}}","[""cat-green-4185"", ""iguana-yellow-3262"", ""zebra-pink-2457""]","[[""cat-green-4185"", ""iguana-yellow-3262"", ""zebra-pink-2457""], [""cat-green-4185"", ""iguana-yellow-3262"", ""zebra-pink-2457""], [""cat-green-4185"", ""iguana-yellow-3262"", ""zebra-pink-2457""]]"
chip_bargain__chip3_g12_m5wp8p_game_1,chip3__g12_m5wp8p__game_1,chip3__g12_m5wp8p__game_1,CHIP3__GAME_1,baseline,gpt-5.1,chip3,3-Chip Bargaining,g12-m5wp8p,First negotiation game-negotiation1,GAME_1,🔵 3p1 (N= 54),"[""bear-purple-7271"", ""peacock-red-7768"", ""swan-purple-1670""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""BLUE"", ""name"": ""blue"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""swan-purple-1670"": {""GREEN"": 0.5, ""RED"": 0.5, ""BLUE"": 0.8}, ""bear-purple-7271"": {""RED"": 0.8, ""GREEN"": 0.5, ""BLUE"": 0.8}, ""peacock-red-7768"": {""BLUE"": 0.7000000000000001, ""RED"": 0.8, ""GREEN"": 0.5}}","{""bear-purple-7271"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}, ""peacock-red-7768"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}, ""swan-purple-1670"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}}","[""bear-purple-7271"", ""peacock-red-7768"", ""swan-purple-1670""]","[[""bear-purple-7271"", ""peacock-red-7768"", ""swan-purple-1670""], [""bear-purple-7271"", ""peacock-red-7768"", ""swan-purple-1670""], [""bear-purple-7271"", ""peacock-red-7768"", ""swan-purple-1670""]]"
chip_bargain__chip3_g13_m5wp8q_game_1,chip3__g13_m5wp8q__game_1,chip3__g13_m5wp8q__game_1,CHIP3__GAME_1,baseline,gpt-5.1,chip3,3-Chip Bargaining,g13-m5wp8q,First negotiation game-negotiation1,GAME_1,🔵 3p1 (N= 54),"[""gorilla-yellow-5964"", ""camel-red-6481"", ""monkey-yellow-524""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""BLUE"", ""name"": ""blue"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""monkey-yellow-524"": {""RED"": 0.2, ""GREEN"": 0.5, ""BLUE"": 0.9}, ""gorilla-yellow-5964"": {""BLUE"": 0.30000000000000004, ""RED"": 0.30000000000000004, ""GREEN"": 0.5}, ""camel-red-6481"": {""GREEN"": 0.5, ""BLUE"": 0.8, ""RED"": 0.5}}","{""gorilla-yellow-5964"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}, ""camel-red-6481"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}, ""monkey-yellow-524"": {""RED"": 10, ""BLUE"": 10, ""GREEN"": 10}}","[""gorilla-yellow-5964"", ""camel-red-6481"", ""monkey-yellow-524""]","[[""gorilla-yellow-5964"", ""camel-red-6481"", ""monkey-yellow-524""], [""gorilla-yellow-5964"", ""camel-red-6481"", ""monkey-yellow-524""], [""camel-red-6481"", ""gorilla-yellow-5964"", ""monkey-yellow-524""]]"
