record_id,unit_id,treatment_name,experiment_code,role,visibility,schema_type,action_context,deliberation_dimension,gold_target_json
E1__A__106,E1__A__106,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__1183,E1__A__1183,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__1239,E1__A__1239,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__1278,E1__A__1278,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 40}"
E1__A__1296,E1__A__1296,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""YES"", ""return_pct"": 10}"
E1__A__1322,E1__A__1322,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__1385,E1__A__1385,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 0}"
E1__A__1466,E1__A__1466,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 100}"
E1__A__1571,E1__A__1571,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__1611,E1__A__1611,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__1625,E1__A__1625,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""NO"", ""return_pct"": 10}"
E1__A__1700,E1__A__1700,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""NO"", ""return_pct"": 4}"
E1__A__174,E1__A__174,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""NO"", ""return_pct"": 0}"
E1__A__1744,E1__A__1744,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__1884,E1__A__1884,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__1897,E1__A__1897,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 30}"
E1__A__1903,E1__A__1903,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__198,E1__A__198,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""NO"", ""return_pct"": 12}"
E1__A__1998,E1__A__1998,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 50}"
E1__A__2056,E1__A__2056,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""YES"", ""return_pct"": 29}"
E1__A__2066,E1__A__2066,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""NO"", ""act"": ""NO"", ""return_pct"": 0}"
E1__A__2089,E1__A__2089,E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,help,cost,"{""check"": ""YES"", ""act"": ""NO"", ""return_pct"": 28}"
