custom_id,game_id,treatment_name,chat_enabled,punishment_enabled,reward_enabled,num_players,num_rounds,model_label,mean_contribution_rate,punish_actor_round_rate,reward_actor_round_rate,punish_targets_per_actor_round,reward_targets_per_actor_round,actor_rounds,mean_total_contribution_rate,first_round_total_contribution_rate,total_contribution_rate_sd,final_total_contribution_rate,mean_round_normalized_efficiency,first_round_normalized_efficiency,final_round_normalized_efficiency,mean_within_round_contribution_rate_var,messages_per_round,rounds_with_chat_rate,observed_rounds,total_contribution_rate_decay_slope,round_normalized_efficiency_decay_slope,total_contribution_rate_rmse_to_treatment_mean,round_normalized_efficiency_rmse_to_treatment_mean
trajectory_completion_compact__VALIDATION_0_C__tjEFcmYxtEBx3PZzY__k0__rep1,tjEFcmYxtEBx3PZzY,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.6833333333333333,0.0,0.0,0.0,0.0,60,0.6833333333333332,1.0,0.21147629234082532,0.4,0.6842948717948718,1.0,0.40384615384615385,0.17166666666666666,3.6666666666666665,1.0,6,-0.6142857142857143,-0.614010989010989,0.22607197768553766,0.2718823223171953
trajectory_completion_compact__VALIDATION_0_C__F9zgaNoZPFFagrLwk__k0__rep1,F9zgaNoZPFFagrLwk,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.8666666666666667,0.0,0.0,0.0,0.0,60,0.8666666666666667,1.0,0.13743685418725535,0.6,0.8669871794871794,1.0,0.5961538461538461,0.09666666666666668,4.5,1.0,6,-0.37142857142857144,-0.37499999999999994,0.21836348863471725,0.20649090321854963
trajectory_completion_compact__VALIDATION_0_C__4HwmGmWXPq5jBJust__k0__rep1,4HwmGmWXPq5jBJust,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.65,0.0,0.0,0.0,0.0,60,0.65,0.9,0.2565800719723442,0.2,0.6506410256410257,0.9038461538461539,0.20192307692307693,0.16166666666666668,4.0,1.0,6,-0.6714285714285715,-0.6703296703296704,0.27631373443133617,0.3197373354493464
trajectory_completion_compact__VALIDATION_0_C__eKvYkv4QEg8DiocsW__k0__rep1,eKvYkv4QEg8DiocsW,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.9166666666666666,0.0,0.0,0.0,0.0,60,0.9166666666666666,0.9,0.1067187372905475,0.7,0.9182692307692308,0.9038461538461539,0.7019230769230769,0.065,4.333333333333333,1.0,6,-0.12857142857142864,-0.13049450549450556,0.2366377568849466,0.19548611549348335
trajectory_completion_compact__VALIDATION_0_C__pYDEzMS4KKQzGsFQW__k0__rep1,pYDEzMS4KKQzGsFQW,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.5333333333333333,0.0,0.0,0.0,0.0,60,0.5333333333333333,0.9,0.2560381915956203,0.2,0.5336538461538461,0.9038461538461539,0.20192307692307693,0.18333333333333335,5.0,1.0,6,-0.7428571428571429,-0.7431318681318683,0.3213357858110397,0.3832782386291733
trajectory_completion_compact__VALIDATION_0_C__DLhhTyaSmN26NPemM__k0__rep1,DLhhTyaSmN26NPemM,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.5166666666666667,0.0,0.0,0.0,0.0,60,0.5166666666666667,0.7,0.1771690968789108,0.2,0.5176282051282052,0.7019230769230769,0.20192307692307693,0.21833333333333335,4.0,1.0,6,-0.5,-0.49862637362637363,0.27035166094576096,0.3333839759571152
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep1,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.5833333333333334,0.0,0.0,0.0,0.0,60,0.5833333333333334,0.8,0.1343709624716425,0.4,0.5833333333333334,0.7980769230769231,0.40384615384615385,0.225,3.8333333333333335,1.0,6,-0.35714285714285715,-0.35439560439560447,0.19147870547454035,0.2547362303347997
trajectory_completion_compact__VALIDATION_0_C__AaPW26f94YzzFxPLk__k0__rep1,AaPW26f94YzzFxPLk,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.6166666666666667,0.0,0.0,0.0,0.0,60,0.6166666666666667,0.7,0.1771690968789108,0.4,0.6185897435897436,0.7019230769230769,0.40384615384615385,0.20500000000000004,3.6666666666666665,1.0,6,-0.04285714285714278,-0.03846153846153841,0.20045601305205155,0.23552853139832156
trajectory_completion_compact__VALIDATION_0_C__kkGkkWk4kCvb4t5fK__k0__rep1,kkGkkWk4kCvb4t5fK,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.4166666666666667,0.0,0.0,0.0,0.0,60,0.4166666666666667,0.7,0.19507833184532708,0.2,0.4166666666666667,0.7019230769230769,0.20192307692307693,0.205,4.0,1.0,6,-0.5571428571428572,-0.5549450549450549,0.3587752084603413,0.42706191156688356
trajectory_completion_compact__VALIDATION_0_C__K3BKmGpJcMFNK3TJz__k0__rep1,K3BKmGpJcMFNK3TJz,VALIDATION_0_C,True,False,False,10,6,gpt_5_1_k0,0.75,0.0,0.0,0.0,0.0,60,0.75,0.8,0.17078251276599332,0.4,0.7516025641025642,0.7980769230769231,0.40384615384615385,0.15833333333333333,3.5,1.0,6,-0.3,-0.29807692307692313,0.18211011682552336,0.1930739477294633
