custom_id,treatment_name,metric,generated_value,human_mean,human_std,human_median,human_q25,human_q75,human_min,human_max,human_game_count,abs_diff_from_human_mean,z_score,abs_z_score,percentile_within_humans,within_human_range,within_human_iqr,chat_enabled,punishment_enabled,reward_enabled,metric_scope
trajectory_completion_compact__VALIDATION_0_C__K3BKmGpJcMFNK3TJz__k0__rep1,VALIDATION_0_C,final_round_normalized_efficiency,0.40384615384615385,0.8245013538135808,0.2731795634738752,0.8381456910387042,0.5355409995147987,0.9962121212121212,0.5,1.3131313131313131,10,0.42065519996742695,-1.5398487156878968,1.5398487156878968,0.0,0,0,True,False,False,all
trajectory_completion_compact__VALIDATION_0_C__tjEFcmYxtEBx3PZzY__k0__rep1,VALIDATION_0_C,final_round_normalized_efficiency,0.40384615384615385,0.8245013538135808,0.2731795634738752,0.8381456910387042,0.5355409995147987,0.9962121212121212,0.5,1.3131313131313131,10,0.42065519996742695,-1.5398487156878968,1.5398487156878968,0.0,0,0,True,False,False,all
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep1,VALIDATION_0_C,final_round_normalized_efficiency,0.40384615384615385,0.8245013538135808,0.2731795634738752,0.8381456910387042,0.5355409995147987,0.9962121212121212,0.5,1.3131313131313131,10,0.42065519996742695,-1.5398487156878968,1.5398487156878968,0.0,0,0,True,False,False,all
trajectory_completion_compact__VALIDATION_0_C__DLhhTyaSmN26NPemM__k0__rep1,VALIDATION_0_C,final_round_normalized_efficiency,0.20192307692307693,0.8245013538135808,0.2731795634738752,0.8381456910387042,0.5355409995147987,0.9962121212121212,0.5,1.3131313131313131,10,0.6225782768905039,-2.2790075105674683,2.2790075105674683,0.0,0,0,True,False,False,all
trajectory_completion_compact__VALIDATION_0_C__eKvYkv4QEg8DiocsW__k0__rep1,VALIDATION_0_C,final_round_normalized_efficiency,0.7019230769230769,0.8245013538135808,0.2731795634738752,0.8381456910387042,0.5355409995147987,0.9962121212121212,0.5,1.3131313131313131,10,0.12257827689050393,-0.4487095422942441,0.4487095422942441,0.4,1,1,True,False,False,all
trajectory_completion_compact__VALIDATION_0_C__4HwmGmWXPq5jBJust__k0__rep1,VALIDATION_0_C,final_round_normalized_efficiency,0.20192307692307693,0.8245013538135808,0.2731795634738752,0.8381456910387042,0.5355409995147987,0.9962121212121212,0.5,1.3131313131313131,10,0.6225782768905039,-2.2790075105674683,2.2790075105674683,0.0,0,0,True,False,False,all
trajectory_completion_compact__VALIDATION_0_C__kkGkkWk4kCvb4t5fK__k0__rep1,VALIDATION_0_C,final_round_normalized_efficiency,0.20192307692307693,0.8245013538135808,0.2731795634738752,0.8381456910387042,0.5355409995147987,0.9962121212121212,0.5,1.3131313131313131,10,0.6225782768905039,-2.2790075105674683,2.2790075105674683,0.0,0,0,True,False,False,all
trajectory_completion_compact__VALIDATION_0_C__F9zgaNoZPFFagrLwk__k0__rep1,VALIDATION_0_C,final_round_normalized_efficiency,0.5961538461538461,0.8245013538135808,0.2731795634738752,0.8381456910387042,0.5355409995147987,0.9962121212121212,0.5,1.3131313131313131,10,0.22834750765973466,-0.8358879586597336,0.8358879586597336,0.3,1,1,True,False,False,all
trajectory_completion_compact__VALIDATION_0_C__AaPW26f94YzzFxPLk__k0__rep1,VALIDATION_0_C,final_round_normalized_efficiency,0.40384615384615385,0.8245013538135808,0.2731795634738752,0.8381456910387042,0.5355409995147987,0.9962121212121212,0.5,1.3131313131313131,10,0.42065519996742695,-1.5398487156878968,1.5398487156878968,0.0,0,0,True,False,False,all
trajectory_completion_compact__VALIDATION_0_C__pYDEzMS4KKQzGsFQW__k0__rep1,VALIDATION_0_C,final_round_normalized_efficiency,0.20192307692307693,0.8245013538135808,0.2731795634738752,0.8381456910387042,0.5355409995147987,0.9962121212121212,0.5,1.3131313131313131,10,0.6225782768905039,-2.2790075105674683,2.2790075105674683,0.0,0,0,True,False,False,all
trajectory_completion_compact__VALIDATION_0_T__qyhbsXkjZiMc28EAG__k0__rep1,VALIDATION_0_T,final_round_normalized_efficiency,0.9,0.7977787122710706,0.28614540806108135,0.8490384615384616,0.7326264831723348,1.0,0.01730769230769231,1.1159631246967492,12,0.10222128772892947,0.3572354643800855,0.3572354643800855,0.5416666666666666,1,1,True,True,False,all
trajectory_completion_compact__VALIDATION_0_T__ud4ZZqSEuLCbTJhY5__k0__rep1,VALIDATION_0_T,final_round_normalized_efficiency,0.6942307692307692,0.7977787122710706,0.28614540806108135,0.8490384615384616,0.7326264831723348,1.0,0.01730769230769231,1.1159631246967492,12,0.10354794304030135,-0.36187176212940564,0.36187176212940564,0.16666666666666666,1,0,True,True,False,all
trajectory_completion_compact__VALIDATION_0_T__h8kYzB9zLiEGyJaS7__k0__rep1,VALIDATION_0_T,final_round_normalized_efficiency,0.7903846153846154,0.7977787122710706,0.28614540806108135,0.8490384615384616,0.7326264831723348,1.0,0.01730769230769231,1.1159631246967492,12,0.007394096886455204,-0.025840347872634183,0.025840347872634183,0.375,1,1,True,True,False,all
trajectory_completion_compact__VALIDATION_0_T__5bJPLPSiwHm63WZS4__k0__rep1,VALIDATION_0_T,final_round_normalized_efficiency,0.7788461538461539,0.7977787122710706,0.28614540806108135,0.8490384615384616,0.7326264831723348,1.0,0.01730769230769231,1.1159631246967492,12,0.0189325584249167,-0.06616411758344662,0.06616411758344662,0.3333333333333333,1,1,True,True,False,all
trajectory_completion_compact__VALIDATION_0_T__24hqfcDGXxLrMr7JY__k0__rep1,VALIDATION_0_T,final_round_normalized_efficiency,0.7826923076923077,0.7977787122710706,0.28614540806108135,0.8490384615384616,0.7326264831723348,1.0,0.01730769230769231,1.1159631246967492,12,0.015086404578762869,-0.05272286101317581,0.05272286101317581,0.3333333333333333,1,1,True,True,False,all
trajectory_completion_compact__VALIDATION_0_T__9aygFvfvCRquDLWYn__k0__rep1,VALIDATION_0_T,final_round_normalized_efficiency,0.7980769230769231,0.7977787122710706,0.28614540806108135,0.8490384615384616,0.7326264831723348,1.0,0.01730769230769231,1.1159631246967492,12,0.0002982108058525723,0.0010421652679078305,0.0010421652679078305,0.4583333333333333,1,1,True,True,False,all
trajectory_completion_compact__VALIDATION_0_T__hvxgwX3y76vGYtkqS__k0__rep1,VALIDATION_0_T,final_round_normalized_efficiency,0.7903846153846154,0.7977787122710706,0.28614540806108135,0.8490384615384616,0.7326264831723348,1.0,0.01730769230769231,1.1159631246967492,12,0.007394096886455204,-0.025840347872634183,0.025840347872634183,0.375,1,1,True,True,False,all
trajectory_completion_compact__VALIDATION_0_T__2TquMDieEiixty8AN__k0__rep1,VALIDATION_0_T,final_round_normalized_efficiency,0.7634615384615384,0.7977787122710706,0.28614540806108135,0.8490384615384616,0.7326264831723348,1.0,0.01730769230769231,1.1159631246967492,12,0.03431717380953214,-0.11992914386453025,0.11992914386453025,0.3333333333333333,1,1,True,True,False,all
trajectory_completion_compact__VALIDATION_0_T__zBbM66zutHe6rm6h4__k0__rep1,VALIDATION_0_T,final_round_normalized_efficiency,0.775,0.7977787122710706,0.28614540806108135,0.8490384615384616,0.7326264831723348,1.0,0.01730769230769231,1.1159631246967492,12,0.022778712271070534,-0.07960537415371743,0.07960537415371743,0.3333333333333333,1,1,True,True,False,all
trajectory_completion_compact__VALIDATION_0_T__RGrXtztJwJyh5AzfS__k0__rep1,VALIDATION_0_T,final_round_normalized_efficiency,0.7865384615384615,0.7977787122710706,0.28614540806108135,0.8490384615384616,0.7326264831723348,1.0,0.01730769230769231,1.1159631246967492,12,0.011240250732609036,-0.039281604442904995,0.039281604442904995,0.3333333333333333,1,1,True,True,False,all
