simbench_row_id,statement,trait,polarity,gold_mean_response,twin_raw_mean_response,twin_minus_gold_mean_response,tvd
simbenchpop_003373,I get chores done right away.,big_five_conscientiousness,positive,2.67304387673273,3.8344754205924456,1.1614315438597158,0.39140229684535566
simbenchpop_003423,I have little to say.,big_five_extraversion,negative,2.3425363730095086,3.112288068604641,0.7697516955951325,0.316930773186563
simbenchpop_003464,I often forget to put things back in their proper place.,big_five_conscientiousness,negative,2.8545079619658607,2.1655245794075544,-0.6889833825583063,0.27443586311869744
simbenchpop_003487,I start conversations.,big_five_extraversion,positive,3.4664910069882002,2.887711931395359,-0.5787790755928413,0.23765479655693755
simbenchpop_003471,I seldom feel blue.,big_five_neuroticism,negative,2.6749914079505097,3.253018258765887,0.5780268508153772,0.21830658201443204
simbenchpop_003350,I feel comfortable around people.,big_five_extraversion,positive,3.4490777866880515,2.887711931395359,-0.5613658552926926,0.22058525823639683
simbenchpop_003330,I do not have a good imagination.,big_five_openness,negative,1.7755756673158438,2.309578905605054,0.5340032382892104,0.3386539012026778
simbenchpop_003483,I spend time reflecting on things.,big_five_openness,positive,4.191430862641769,3.690421094394946,-0.5010097682468233,0.25410813421906
simbenchpop_003367,I follow a schedule.,big_five_conscientiousness,positive,3.3703746133577726,3.8344754205924456,0.46410080723467306,0.1583584337765619
simbenchpop_003313,I am quiet around strangers.,big_five_extraversion,negative,3.5645549318364074,3.112288068604641,-0.45226686323176635,0.2014463440115663
simbenchpop_003403,I have a vivid imagination.,big_five_openness,positive,4.141940657578187,3.690421094394946,-0.4515195631832416,0.25216060300128007
simbenchpop_003509,I use difficult words.,big_five_openness,positive,3.2664680948562266,3.690421094394946,0.42395299953871923,0.16662802679088667
simbenchpop_003266,I am always prepared.,big_five_conscientiousness,positive,3.4157406346660557,3.8344754205924456,0.4187347859263899,0.14243450205471514
simbenchpop_003347,I don't talk a lot.,big_five_extraversion,negative,2.709932409210677,3.112288068604641,0.4023556593939639,0.1646796562201292
simbenchpop_003445,I make a mess of things.,big_five_conscientiousness,negative,2.5603161874212397,2.1655245794075544,-0.3947916080136853,0.14223286162940885
simbenchpop_003281,I am full of ideas.,big_five_openness,positive,4.07652652079276,3.690421094394946,-0.38610542639781453,0.19140539416865143
simbenchpop_003309,I am quick to understand things.,big_five_openness,positive,4.0608317103906515,3.690421094394946,-0.3704106159957057,0.16283249456822402
simbenchpop_003377,I get irritated easily.,big_five_neuroticism,positive,3.084316645663879,2.7469817412341127,-0.33733490442976644,0.1504866713717467
simbenchpop_003335,I don't like to draw attention to myself.,big_five_extraversion,negative,3.4471302554702716,3.112288068604641,-0.3348421868656306,0.13887529326890485
simbenchpop_003329,I change my mood a lot.,big_five_neuroticism,positive,3.029327528926567,2.7469817412341127,-0.2823457876924542,0.1178368833089675
simbenchpop_003490,I sympathize with others' feelings.,big_five_agreeableness,positive,4.0638102875472555,3.817143299557653,-0.2466669879896024,0.1835293856024142
simbenchpop_003324,I am the life of the party.,big_five_extraversion,positive,2.6513919120174134,2.887711931395359,0.23632001937794556,0.10553951599428844
simbenchpop_003413,I have excellent ideas.,big_five_openness,positive,3.925993813724367,3.690421094394946,-0.23557271932942125,0.09707467580318796
simbenchpop_003467,I pay attention to details.,big_five_conscientiousness,positive,4.037575896437163,3.8344754205924456,-0.20310047584471747,0.10390260693500183
simbenchpop_003289,I am interested in people.,big_five_agreeableness,positive,3.9830450223393283,3.817143299557653,-0.16590172278167525,0.14045457749151952
simbenchpop_003358,I feel little concern for others.,big_five_agreeableness,negative,2.02485966319166,2.182856700442346,0.15799703725068603,0.29922986286912623
simbenchpop_003340,I don't mind being the center of attention.,big_five_extraversion,positive,3.0313896208042164,2.887711931395359,-0.1436776894088574,0.1805963039153353
simbenchpop_003389,I get upset easily.,big_five_neuroticism,positive,2.881773399014778,2.7469817412341127,-0.13479165778066537,0.0886849105374996
simbenchpop_003454,I make people feel at ease.,big_five_agreeableness,positive,3.6834688967808455,3.817143299557653,0.13367440277680753,0.06477824227734821
simbenchpop_003303,I am not really interested in others.,big_five_agreeableness,negative,2.054301752778096,2.182856700442346,0.12855494766425002,0.1506446870185133
simbenchpop_003419,I have frequent mood swings.,big_five_neuroticism,positive,2.621262458471761,2.7469817412341127,0.12571928276235145,0.12330244875022411
simbenchpop_003297,I am not interested in other people's problems.,big_five_agreeableness,negative,2.1155917058082254,2.182856700442346,0.06726499463412061,0.14617682128360662
simbenchpop_003498,I take time out for others.,big_five_agreeableness,positive,3.8728376675449656,3.817143299557653,-0.05569436798731253,0.06266367638632145
simbenchpop_003441,I like order.,big_five_conscientiousness,positive,3.7826784282277464,3.8344754205924456,0.05179699236469926,0.04042803445464035
simbenchpop_003504,I talk to a lot of different people at parties.,big_five_extraversion,positive,2.9294306335204494,2.887711931395359,-0.041718702125090434,0.23157579755721866
simbenchpop_003459,I often feel blue.,big_five_neuroticism,positive,2.705922786115248,2.7469817412341127,0.04105895511886448,0.11791809773636232
simbenchpop_003392,I have a rich vocabulary.,big_five_openness,positive,3.722075839156833,3.690421094394946,-0.03165474476188734,0.09614775249808775
simbenchpop_003270,I am easily disturbed.,big_five_neuroticism,positive,2.7722534081796315,2.7469817412341127,-0.025271666945518856,0.0591282602911942
simbenchpop_003430,I keep in the background.,big_five_extraversion,negative,3.0911902852560433,3.112288068604641,0.021097783348597687,0.06882153216401096
simbenchpop_003316,I am relaxed most of the time.,big_five_neuroticism,negative,3.236796883950052,3.253018258765887,0.016221374815835077,0.006845688003031154
