unit_id,twin_pid,headline,summary,background_summary,age_bracket,sex_assigned_at_birth,education_harmonized,match_level,reuse_count_before,reuse_count_after
E1__A__1044,1751,"More intuitive, inequality-tolerant, resource-protective","Strongest supported tendencies are more intuitive, inequality-tolerant, and resource-protective. Cooperative self-report is stronger than direct allocation behavior. Fairness-enforcement signals are relatively weak.",Age: 30-49; Sex assigned at birth: Female; Completed education: College graduate/some postgrad.,30-49,female,college/postsecondary,full_pool_unadjusted,0,1
E1__A__106,1311,"Reflective, structure-seeking, inequality-tolerant","Strongest supported tendencies are reflective, structure-seeking, and inequality-tolerant. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.",Age: 30-49; Sex assigned at birth: Female; Completed education: College graduate/some postgrad.,30-49,female,college/postsecondary,full_pool_unadjusted,0,1
E1__A__1183,1052,"Inequality-tolerant, patient, empathic","Strongest supported tendencies are inequality-tolerant, patient, and empathic. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.",Age: 50-64; Sex assigned at birth: Female; Completed education: College graduate/some postgrad.,50-64,female,college/postsecondary,full_pool_unadjusted,0,1
E1__A__1189,556,"Structure-seeking, patient, more intuitive","Strongest supported tendencies are structure-seeking, patient, and more intuitive. Social evidence is mixed between self-report and direct allocation tasks.",Age: 30-49; Sex assigned at birth: Female; Completed education: High school graduate.,30-49,female,high school,full_pool_unadjusted,0,1
E1__A__1223,634,"Inequality-tolerant, reflective, empathic","Strongest supported tendencies are inequality-tolerant, reflective, and empathic. Cooperative self-report and direct allocation behavior point in the same general direction. Fairness-enforcement signals are relatively weak.",Age: 18-29; Sex assigned at birth: Male; Completed education: High school graduate.,18-29,male,high school,full_pool_unadjusted,0,1
E1__A__1239,85,"Behaviorally stable, cooperation-oriented, strong logical reasoner","Strongest supported tendencies are behaviorally stable, cooperation-oriented, and strong logical reasoner. Cooperative self-report and direct allocation behavior point in the same general direction.",Age: 50-64; Sex assigned at birth: Male; Completed education: College graduate/some postgrad.,50-64,male,college/postsecondary,full_pool_unadjusted,0,1
E1__A__1270,155,"Empathic, strong logical reasoner, inequality-tolerant","Strongest supported tendencies are empathic, strong logical reasoner, and inequality-tolerant. Cooperative self-report and direct allocation behavior point in the same general direction. Fairness-enforcement signals are relatively weak.",Age: 18-29; Sex assigned at birth: Female; Completed education: High school graduate.,18-29,female,high school,full_pool_unadjusted,0,1
E1__A__1278,35,"Strong logical reasoner, patient, inequality-tolerant","Strongest supported tendencies are strong logical reasoner, patient, and inequality-tolerant. Cooperative self-report and direct allocation behavior point in the same general direction. Fairness-enforcement signals are relatively weak.",Age: 30-49; Sex assigned at birth: Female; Completed education: Postgraduate.,30-49,female,postgraduate,full_pool_unadjusted,0,1
E1__A__1295,361,"Strong logical reasoner, empathic, cooperation-oriented","Strongest supported tendencies are strong logical reasoner, empathic, and cooperation-oriented. Social evidence is mixed between self-report and direct allocation tasks.","Age: 50-64; Sex assigned at birth: Female; Completed education: Some college, no degree.",50-64,female,high school,full_pool_unadjusted,0,1
E1__A__1296,1674,"Reflective, guarded against exploitation, structure-seeking","Strongest supported tendencies are reflective, guarded against exploitation, and structure-seeking. Social evidence is mixed between self-report and direct allocation tasks.",Age: 50-64; Sex assigned at birth: Male; Completed education: College graduate/some postgrad.,50-64,male,college/postsecondary,full_pool_unadjusted,0,1
E1__A__1309,1337,"Strong logical reasoner, inequality-tolerant, patient","Strongest supported tendencies are strong logical reasoner, inequality-tolerant, and patient. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.",Age: 30-49; Sex assigned at birth: Female; Completed education: College graduate/some postgrad.,30-49,female,college/postsecondary,full_pool_unadjusted,0,1
E1__A__1322,1879,"Patient, behaviorally stable, inequality-tolerant","Strongest supported tendencies are patient, behaviorally stable, and inequality-tolerant. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.",Age: 50-64; Sex assigned at birth: Female; Completed education: Associate's degree.,50-64,female,college/postsecondary,full_pool_unadjusted,0,1
E1__A__1385,1037,"Cooperation-oriented, patient, generosity-forward","Strongest supported tendencies are cooperation-oriented, patient, and generosity-forward. Cooperative self-report and direct allocation behavior point in the same general direction.","Age: 18-29; Sex assigned at birth: Female; Completed education: Some college, no degree.",18-29,female,high school,full_pool_unadjusted,0,1
E1__A__1386,1249,"Empathic, cooperation-oriented, patient","Strongest supported tendencies are empathic, cooperation-oriented, and patient. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.",Age: 50-64; Sex assigned at birth: Female; Completed education: High school graduate.,50-64,female,high school,full_pool_unadjusted,0,1
E1__A__1459,1998,"Cooperation-oriented, structure-seeking, strong logical reasoner","Strongest supported tendencies are cooperation-oriented, structure-seeking, and strong logical reasoner. Cooperative self-report and direct allocation behavior point in the same general direction. Fairness-enforcement signals are relatively weak.",Age: 50-64; Sex assigned at birth: Female; Completed education: College graduate/some postgrad.,50-64,female,college/postsecondary,full_pool_unadjusted,0,1
E1__A__1466,1502,"Behaviorally stable, structure-seeking, cooperation-oriented","Strongest supported tendencies are behaviorally stable, structure-seeking, and cooperation-oriented. Social evidence is mixed between self-report and direct allocation tasks.",Age: 30-49; Sex assigned at birth: Male; Completed education: High school graduate.,30-49,male,high school,full_pool_unadjusted,0,1
E1__A__1560,1302,"More intuitive, structure-seeking, behaviorally stable","Strongest supported tendencies are more intuitive, structure-seeking, and behaviorally stable. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.",Age: 30-49; Sex assigned at birth: Male; Completed education: College graduate/some postgrad.,30-49,male,college/postsecondary,full_pool_unadjusted,0,1
E1__A__1571,1119,"Empathic, cooperation-oriented, inequality-tolerant","Strongest supported tendencies are empathic, cooperation-oriented, and inequality-tolerant. Cooperative self-report and direct allocation behavior point in the same general direction. Fairness-enforcement signals are relatively weak.",Age: 30-49; Sex assigned at birth: Male; Completed education: High school graduate.,30-49,male,high school,full_pool_unadjusted,0,1
E1__A__1611,1153,"Empathic, reflective, socially adaptive","Strongest supported tendencies are empathic, reflective, and socially adaptive. Social evidence is mixed between self-report and direct allocation tasks.",Age: 30-49; Sex assigned at birth: Female; Completed education: College graduate/some postgrad.,30-49,female,college/postsecondary,full_pool_unadjusted,0,1
E1__A__1621,1925,"Cooperation-oriented, behaviorally stable, moderately empathic","Strongest supported tendencies are cooperation-oriented, behaviorally stable, and moderately empathic. Social evidence is mixed between self-report and direct allocation tasks.","Age: 50-64; Sex assigned at birth: Female; Completed education: Some college, no degree.",50-64,female,high school,full_pool_unadjusted,0,1
E1__A__1625,571,"Reflective, less socially expressive, more behaviorally variable","Strongest supported tendencies are reflective, less socially expressive, and more behaviorally variable. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.",Age: 50-64; Sex assigned at birth: Male; Completed education: College graduate/some postgrad.,50-64,male,college/postsecondary,full_pool_unadjusted,0,1
E1__A__1633,1680,"Behaviorally stable, reflective, cooperation-oriented","Strongest supported tendencies are behaviorally stable, reflective, and cooperation-oriented. Social evidence is mixed between self-report and direct allocation tasks.","Age: 50-64; Sex assigned at birth: Male; Completed education: Some college, no degree.",50-64,male,high school,full_pool_unadjusted,0,1
E1__A__1700,1381,"Empathic, strong logical reasoner, socially adaptive","Strongest supported tendencies are empathic, strong logical reasoner, and socially adaptive. Social evidence is mixed between self-report and direct allocation tasks.",Age: 18-29; Sex assigned at birth: Female; Completed education: College graduate/some postgrad.,18-29,female,college/postsecondary,full_pool_unadjusted,0,1
E1__A__1716,6,"Behaviorally stable, patient, cooperation-oriented","Strongest supported tendencies are behaviorally stable, patient, and cooperation-oriented. Social evidence is mixed between self-report and direct allocation tasks.","Age: 50-64; Sex assigned at birth: Male; Completed education: Some college, no degree.",50-64,male,high school,full_pool_unadjusted,0,1
E1__A__174,812,"Inequality-tolerant, less guarded, more intuitive","Strongest supported tendencies are inequality-tolerant, less guarded, and more intuitive. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.",Age: 18-29; Sex assigned at birth: Male; Completed education: High school graduate.,18-29,male,high school,full_pool_unadjusted,0,1
E1__A__1744,1765,"Strong logical reasoner, resource-protective, behaviorally stable","Strongest supported tendencies are strong logical reasoner, resource-protective, and behaviorally stable. Social evidence is mixed between self-report and direct allocation tasks.",Age: 30-49; Sex assigned at birth: Female; Completed education: College graduate/some postgrad.,30-49,female,college/postsecondary,full_pool_unadjusted,0,1
E1__A__1758,1141,"Strong logical reasoner, patient, less guarded","Strongest supported tendencies are strong logical reasoner, patient, and less guarded. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.",Age: 18-29; Sex assigned at birth: Male; Completed education: College graduate/some postgrad.,18-29,male,college/postsecondary,full_pool_unadjusted,0,1
E1__A__1759,70,"Empathic, socially adaptive, structure-seeking","Strongest supported tendencies are empathic, socially adaptive, and structure-seeking. Social evidence is mixed between self-report and direct allocation tasks.","Age: 50-64; Sex assigned at birth: Male; Completed education: Some college, no degree.",50-64,male,high school,full_pool_unadjusted,0,1
E1__A__1884,1575,"More intuitive, patient, less socially expressive","Strongest supported tendencies are more intuitive, patient, and less socially expressive. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.","Age: 18-29; Sex assigned at birth: Male; Completed education: Some college, no degree.",18-29,male,high school,full_pool_unadjusted,0,1
E1__A__1893,1502,"Behaviorally stable, structure-seeking, cooperation-oriented","Strongest supported tendencies are behaviorally stable, structure-seeking, and cooperation-oriented. Social evidence is mixed between self-report and direct allocation tasks.",Age: 30-49; Sex assigned at birth: Male; Completed education: High school graduate.,30-49,male,high school,full_pool_unadjusted,1,2
E1__A__1897,1743,"Reflective, empathic, inequality-tolerant","Strongest supported tendencies are reflective, empathic, and inequality-tolerant. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.",Age: 30-49; Sex assigned at birth: Male; Completed education: College graduate/some postgrad.,30-49,male,college/postsecondary,full_pool_unadjusted,0,1
E1__A__1901,362,"Empathic, behaviorally stable, strong logical reasoner","Strongest supported tendencies are empathic, behaviorally stable, and strong logical reasoner. Cooperative self-report is stronger than direct allocation behavior.",Age: 50-64; Sex assigned at birth: Female; Completed education: College graduate/some postgrad.,50-64,female,college/postsecondary,full_pool_unadjusted,0,1
E1__A__1903,184,"Generosity-forward, cooperation-oriented, empathic","Strongest supported tendencies are generosity-forward, cooperation-oriented, and empathic. Cooperative self-report and direct allocation behavior point in the same general direction. Fairness-enforcement signals are relatively weak.","Age: 65+; Sex assigned at birth: Female; Completed education: Some college, no degree.",65+,female,high school,full_pool_unadjusted,0,1
E1__A__1905,1777,"Inequality-tolerant, patient, less guarded","Strongest supported tendencies are inequality-tolerant, patient, and less guarded. Cooperative self-report and direct allocation behavior point in the same general direction. Fairness-enforcement signals are relatively weak.","Age: 30-49; Sex assigned at birth: Male; Completed education: Some college, no degree.",30-49,male,high school,full_pool_unadjusted,0,1
E1__A__198,46,"Reflective, resource-protective, less cooperation-oriented","Strongest supported tendencies are reflective, resource-protective, and less cooperation-oriented. Both self-report and direct allocation behavior lean resource-protective rather than generous.",Age: 30-49; Sex assigned at birth: Male; Completed education: College graduate/some postgrad.,30-49,male,college/postsecondary,full_pool_unadjusted,0,1
E1__A__1998,1115,"More intuitive, generosity-forward, cooperation-oriented","Strongest supported tendencies are more intuitive, generosity-forward, and cooperation-oriented. Cooperative self-report and direct allocation behavior point in the same general direction. Fairness-enforcement signals are relatively weak.","Age: 30-49; Sex assigned at birth: Female; Completed education: Some college, no degree.",30-49,female,high school,full_pool_unadjusted,0,1
E1__A__2050,166,"Reflective, structure-seeking, patient","Strongest supported tendencies are reflective, structure-seeking, and patient. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.","Age: 65+; Sex assigned at birth: Male; Completed education: Some college, no degree.",65+,male,high school,full_pool_unadjusted,0,1
E1__A__2056,617,"Strong logical reasoner, inequality-tolerant, cooperation-oriented","Strongest supported tendencies are strong logical reasoner, inequality-tolerant, and cooperation-oriented. Cooperative self-report and direct allocation behavior point in the same general direction. Fairness-enforcement signals are relatively weak.",Age: 30-49; Sex assigned at birth: Male; Completed education: Associate's degree.,30-49,male,college/postsecondary,full_pool_unadjusted,0,1
E1__A__2066,991,"Strong logical reasoner, cooperation-oriented, less guarded","Strongest supported tendencies are strong logical reasoner, cooperation-oriented, and less guarded. Cooperative self-report and direct allocation behavior point in the same general direction. Fairness-enforcement signals are relatively weak.",Age: 30-49; Sex assigned at birth: Male; Completed education: Postgraduate.,30-49,male,postgraduate,full_pool_unadjusted,0,1
E1__A__2068,870,"More intuitive, patient, structure-seeking","Strongest supported tendencies are more intuitive, patient, and structure-seeking. Cooperative self-report and direct allocation behavior point in the same general direction.",Age: 50-64; Sex assigned at birth: Female; Completed education: College graduate/some postgrad.,50-64,female,college/postsecondary,full_pool_unadjusted,0,1
E1__A__2089,830,"Strong logical reasoner, cooperation-oriented, less guarded","Strongest supported tendencies are strong logical reasoner, cooperation-oriented, and less guarded. Cooperative self-report and direct allocation behavior point in the same general direction. Fairness-enforcement signals are relatively weak.",Age: 30-49; Sex assigned at birth: Male; Completed education: College graduate/some postgrad.,30-49,male,college/postsecondary,full_pool_unadjusted,0,1
E1__A__2095,59,"Strong logical reasoner, behaviorally stable, empathic","Strongest supported tendencies are strong logical reasoner, behaviorally stable, and empathic. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.",Age: 30-49; Sex assigned at birth: Male; Completed education: College graduate/some postgrad.,30-49,male,college/postsecondary,full_pool_unadjusted,0,1
E1__A__2106,12,"Behaviorally stable, cooperation-oriented, reflective","Strongest supported tendencies are behaviorally stable, cooperation-oriented, and reflective. Cooperative self-report and direct allocation behavior point in the same general direction.",Age: 50-64; Sex assigned at birth: Male; Completed education: Postgraduate.,50-64,male,postgraduate,full_pool_unadjusted,0,1
E1__A__2177,256,"Structure-seeking, guarded against exploitation, empathic","Strongest supported tendencies are structure-seeking, guarded against exploitation, and empathic. Cooperative self-report is stronger than direct allocation behavior.",Age: 30-49; Sex assigned at birth: Female; Completed education: Postgraduate.,30-49,female,postgraduate,full_pool_unadjusted,0,1
E1__A__2191,18,"Reflective, behaviorally stable, empathic","Strongest supported tendencies are reflective, behaviorally stable, and empathic. Cooperative self-report and direct allocation behavior point in the same general direction. Fairness-enforcement signals are relatively weak.",Age: 65+; Sex assigned at birth: Male; Completed education: College graduate/some postgrad.,65+,male,college/postsecondary,full_pool_unadjusted,0,1
E1__A__2195,1381,"Empathic, strong logical reasoner, socially adaptive","Strongest supported tendencies are empathic, strong logical reasoner, and socially adaptive. Social evidence is mixed between self-report and direct allocation tasks.",Age: 18-29; Sex assigned at birth: Female; Completed education: College graduate/some postgrad.,18-29,female,college/postsecondary,full_pool_unadjusted,1,2
E1__A__2201,1082,"Resource-protective, structure-seeking, short-horizon","Strongest supported tendencies are resource-protective, structure-seeking, and short-horizon. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.",Age: 30-49; Sex assigned at birth: Female; Completed education: High school graduate.,30-49,female,high school,full_pool_unadjusted,0,1
E1__A__2214,1332,"Cooperation-oriented, more intuitive, empathic","Strongest supported tendencies are cooperation-oriented, more intuitive, and empathic. Cooperative self-report and direct allocation behavior point in the same general direction.",Age: 30-49; Sex assigned at birth: Male; Completed education: High school graduate.,30-49,male,high school,full_pool_unadjusted,0,1
E1__A__2243,530,"Reflective, inequality-tolerant, cooperation-oriented","Strongest supported tendencies are reflective, inequality-tolerant, and cooperation-oriented. Cooperative self-report and direct allocation behavior point in the same general direction. Fairness-enforcement signals are relatively weak.",Age: 65+; Sex assigned at birth: Male; Completed education: High school graduate.,65+,male,high school,full_pool_unadjusted,0,1
E1__A__2322,1267,"Structure-seeking, short-horizon, cooperation-oriented","Strongest supported tendencies are structure-seeking, short-horizon, and cooperation-oriented. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.","Age: 65+; Sex assigned at birth: Male; Completed education: Some college, no degree.",65+,male,high school,full_pool_unadjusted,0,1
E1__A__2331,1573,"Empathic, generosity-forward, structure-seeking","Strongest supported tendencies are empathic, generosity-forward, and structure-seeking. Cooperative self-report and direct allocation behavior point in the same general direction. Fairness-enforcement signals are relatively weak.","Age: 18-29; Sex assigned at birth: Female; Completed education: Some college, no degree.",18-29,female,high school,full_pool_unadjusted,0,1
E1__A__2372,790,"Behaviorally stable, cooperation-oriented, short-horizon","Strongest supported tendencies are behaviorally stable, cooperation-oriented, and short-horizon. Cooperative self-report and direct allocation behavior point in the same general direction.",Age: 50-64; Sex assigned at birth: Female; Completed education: High school graduate.,50-64,female,high school,full_pool_unadjusted,0,1
E1__A__238,949,"Strong logical reasoner, inequality-tolerant, structure-seeking","Strongest supported tendencies are strong logical reasoner, inequality-tolerant, and structure-seeking. Cooperative self-report and direct allocation behavior point in the same general direction. Fairness-enforcement signals are relatively weak.",Age: 50-64; Sex assigned at birth: Male; Completed education: College graduate/some postgrad.,50-64,male,college/postsecondary,full_pool_unadjusted,0,1
E1__A__2411,2053,"Reflective, behaviorally stable, cooperation-oriented","Strongest supported tendencies are reflective, behaviorally stable, and cooperation-oriented. Cooperative self-report and direct allocation behavior point in the same general direction. Fairness-enforcement signals are relatively weak.",Age: 65+; Sex assigned at birth: Male; Completed education: College graduate/some postgrad.,65+,male,college/postsecondary,full_pool_unadjusted,0,1
E1__A__2414,1657,"Inequality-tolerant, behaviorally stable, patient","Strongest supported tendencies are inequality-tolerant, behaviorally stable, and patient. Cooperative self-report and direct allocation behavior point in the same general direction. Fairness-enforcement signals are relatively weak.",Age: 30-49; Sex assigned at birth: Male; Completed education: College graduate/some postgrad.,30-49,male,college/postsecondary,full_pool_unadjusted,0,1
E1__A__2417,2019,"Inequality-tolerant, empathic, strong logical reasoner","Strongest supported tendencies are inequality-tolerant, empathic, and strong logical reasoner. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.","Age: 50-64; Sex assigned at birth: Female; Completed education: Some college, no degree.",50-64,female,high school,full_pool_unadjusted,0,1
E1__A__2447,782,"Behaviorally stable, patient, socially adaptive","Strongest supported tendencies are behaviorally stable, patient, and socially adaptive. Social evidence is mixed between self-report and direct allocation tasks.",Age: 30-49; Sex assigned at birth: Female; Completed education: Postgraduate.,30-49,female,postgraduate,full_pool_unadjusted,0,1
E1__A__2448,1411,"Behaviorally stable, empathic, cooperation-oriented","Strongest supported tendencies are behaviorally stable, empathic, and cooperation-oriented. Social evidence is mixed between self-report and direct allocation tasks.",Age: 65+; Sex assigned at birth: Female; Completed education: Associate's degree.,65+,female,college/postsecondary,full_pool_unadjusted,0,1
E1__A__2457,1956,"Strong logical reasoner, structure-seeking, patient","Strongest supported tendencies are strong logical reasoner, structure-seeking, and patient. Social evidence is mixed between self-report and direct allocation tasks.",Age: 18-29; Sex assigned at birth: Female; Completed education: College graduate/some postgrad.,18-29,female,college/postsecondary,full_pool_unadjusted,0,1
E1__A__2459,1339,"More intuitive, inequality-tolerant, behaviorally stable","Strongest supported tendencies are more intuitive, inequality-tolerant, and behaviorally stable. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.",Age: 50-64; Sex assigned at birth: Female; Completed education: Associate's degree.,50-64,female,college/postsecondary,full_pool_unadjusted,0,1
E1__A__247,1730,"Inequality-tolerant, empathic, structure-seeking","Strongest supported tendencies are inequality-tolerant, empathic, and structure-seeking. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.",Age: 30-49; Sex assigned at birth: Female; Completed education: College graduate/some postgrad.,30-49,female,college/postsecondary,full_pool_unadjusted,0,1
