custom_id,record_id,unit_id,treatment_name,variant,model,TreatmentCode,Treatment,PersonalizedTreatment,num_scenarios,scenario_manifest_json
multi_game_llm_fvk2c__1081,1081,1081,ODP,twin_sampled_unadjusted_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]"
multi_game_llm_fvk2c__1095,1095,1095,ODP,twin_sampled_unadjusted_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]"
multi_game_llm_fvk2c__1124,1124,1124,ODP,twin_sampled_unadjusted_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]"
multi_game_llm_fvk2c__1266,1266,1266,ODP,twin_sampled_unadjusted_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]"
multi_game_llm_fvk2c__1291,1291,1291,ODP,twin_sampled_unadjusted_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]"
multi_game_llm_fvk2c__1406,1406,1406,ODP,twin_sampled_unadjusted_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]"
multi_game_llm_fvk2c__1421,1421,1421,ODP,twin_sampled_unadjusted_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]"
multi_game_llm_fvk2c__143,143,143,ODP,twin_sampled_unadjusted_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]"
multi_game_llm_fvk2c__1505,1505,1505,ODP,twin_sampled_unadjusted_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]"
multi_game_llm_fvk2c__153,153,153,ODP,twin_sampled_unadjusted_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]"
multi_game_llm_fvk2c__1608,1608,1608,ODP,twin_sampled_unadjusted_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]"
multi_game_llm_fvk2c__1661,1661,1661,ODP,twin_sampled_unadjusted_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]"
multi_game_llm_fvk2c__1817,1817,1817,ODP,twin_sampled_unadjusted_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]"
multi_game_llm_fvk2c__1820,1820,1820,ODP,twin_sampled_unadjusted_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]"
multi_game_llm_fvk2c__185,185,185,ODP,twin_sampled_unadjusted_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]"
multi_game_llm_fvk2c__1888,1888,1888,ODP,twin_sampled_unadjusted_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]"
multi_game_llm_fvk2c__1910,1910,1910,ODP,twin_sampled_unadjusted_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]"
multi_game_llm_fvk2c__1980,1980,1980,ODP,twin_sampled_unadjusted_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]"
multi_game_llm_fvk2c__2050,2050,2050,ODP,twin_sampled_unadjusted_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]"
multi_game_llm_fvk2c__2089,2089,2089,ODP,twin_sampled_unadjusted_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]"
multi_game_llm_fvk2c__2108,2108,2108,ODP,twin_sampled_unadjusted_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]"
multi_game_llm_fvk2c__2123,2123,2123,ODP,twin_sampled_unadjusted_seed_0,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]"
