tag,config_column,cluster_id,cluster_title,prop_false,prop_true,delta_true_minus_false,abs_delta,n_false,n_true
COMMUNICATION,CONFIG_punishmentExists,6,Affiliative Communicators in Cooperative Settings,0.049778761061946904,0.10120481927710843,0.05142605821516153,0.05142605821516153,904,830
COMMUNICATION,CONFIG_punishmentExists,5,Sociable Players Embrace Lighthearted Cooperation,0.08296460176991151,0.03614457831325301,-0.0468200234566585,0.0468200234566585,904,830
COMMUNICATION,CONFIG_punishmentExists,8,Cooperative Communication in Social Settings,0.07964601769911504,0.033734939759036145,-0.0459110779400789,0.0459110779400789,904,830
COMMUNICATION,CONFIG_punishmentExists,12,Silent Observers in Social Dynamics,0.051991150442477874,0.09036144578313253,0.038370295340654656,0.038370295340654656,904,830
COMMUNICATION,CONFIG_punishmentExists,11,Low-Engagement Cooperative Players,0.08628318584070796,0.051807228915662654,-0.034475956925045306,0.034475956925045306,904,830
COMMUNICATION,CONFIG_punishmentExists,10,Minimal Communicators in Group Dynamics,0.03650442477876106,0.06385542168674699,0.027350996907985925,0.027350996907985925,904,830
COMMUNICATION,CONFIG_punishmentExists,4,Cooperative Communication in Group Dynamics,0.05420353982300885,0.07951807228915662,0.025314532466147774,0.025314532466147774,904,830
COMMUNICATION,CONFIG_punishmentExists,3,Playful Social Engagement in Group Dynamics,0.046460176991150445,0.07108433734939759,0.024624160358247146,0.024624160358247146,904,830
COMMUNICATION,CONFIG_punishmentExists,13,Silent Cooperators in Group Dynamics,0.09402654867256637,0.07108433734939759,-0.022942211323168774,0.022942211323168774,904,830
COMMUNICATION,CONFIG_punishmentExists,9,Sparsely Communicative Yet Cooperative Personas,0.07632743362831858,0.05421686746987952,-0.02211056615843906,0.02211056615843906,904,830
COMMUNICATION,CONFIG_punishmentExists,1,Cooperative Norms and Group Dynamics,0.05309734513274336,0.0746987951807229,0.02160145004797953,0.02160145004797953,904,830
COMMUNICATION,CONFIG_punishmentExists,14,Silent Observers in Communication Dynamics,0.08296460176991151,0.06144578313253012,-0.021518818637381386,0.021518818637381386,904,830
COMMUNICATION,CONFIG_punishmentExists,0,Engaging Social Dynamics in Cooperative Settings,0.046460176991150445,0.05903614457831325,0.012575967587162805,0.012575967587162805,904,830
COMMUNICATION,CONFIG_punishmentExists,7,Cooperative Communication in Group Dynamics,0.07853982300884955,0.07228915662650602,-0.006250666382343534,0.006250666382343534,904,830
COMMUNICATION,CONFIG_punishmentExists,2,Engaging Cooperation in Group Settings,0.08075221238938053,0.07951807228915662,-0.0012341401002239072,0.0012341401002239072,904,830
