tag,cluster_id,cluster_title,CONFIG_MPCR,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_endowment,CONFIG_numRounds,CONFIG_playerCount,CONFIG_punishmentCost,CONFIG_punishmentExists,CONFIG_punishmentMagnitude,CONFIG_rewardCost,CONFIG_rewardExists,CONFIG_rewardMagnitude,CONFIG_showNRounds,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,0.46 (12.1%),True (57.1%),True (100.0%),0 (54.9%),20 (100.0%),24 (9.9%),16 (15.4%),2 (39.6%),True (53.8%),3.0 (17.6%),2 (39.6%),True (56.0%),2.0 (33.0%),False (65.9%),False (59.3%),False (51.6%),False (51.6%)
COMMUNICATION,1,Cooperative Norms and Group Dynamics,0.36 (10.0%),False (50.9%),True (100.0%),0 (56.4%),20 (100.0%),22 (11.8%),14 (16.4%),2 (38.2%),True (56.4%),6.0 (13.6%),2 (38.2%),False (58.2%),2.0 (36.4%),False (56.4%),True (51.8%),False (50.0%),False (50.0%)
COMMUNICATION,2,Engaging Cooperation in Group Settings,0.62 (7.9%),True (53.2%),True (100.0%),0 (52.5%),20 (100.0%),14 (10.1%),19 (17.3%),4 (32.4%),False (52.5%),3.0 (16.5%),4 (32.4%),False (54.0%),2.0 (34.5%),False (56.8%),False (56.1%),False (52.5%),False (52.5%)
COMMUNICATION,3,Playful Social Engagement in Group Dynamics,0.63 (13.9%),False (50.5%),True (100.0%),0 (62.4%),20 (100.0%),21 (11.9%),19 (24.8%),2 (34.7%),True (58.4%),9.0 (14.9%),2 (34.7%),False (60.4%),2.0 (40.6%),False (71.3%),False (51.5%),True (52.5%),True (52.5%)
COMMUNICATION,4,Cooperative Communication in Group Dynamics,0.24 (7.8%),False (53.0%),True (100.0%),1 (51.3%),20 (100.0%),10 (14.8%),17 (13.0%),2 (35.7%),True (57.4%),4.0 (14.8%),2 (35.7%),True (54.8%),2.0 (31.3%),True (59.1%),True (56.5%),False (57.4%),False (57.4%)
COMMUNICATION,5,Sociable Players Embrace Lighthearted Cooperation,0.19 (12.4%),True (60.0%),True (100.0%),1 (54.3%),20 (100.0%),30 (13.3%),16 (18.1%),2 (35.2%),False (71.4%),3.0 (21.9%),2 (35.2%),False (73.3%),2.0 (43.8%),False (63.8%),False (60.0%),False (60.0%),False (60.0%)
COMMUNICATION,6,Affiliative Communicators in Cooperative Settings,0.63 (7.8%),False (56.6%),True (100.0%),0 (51.2%),20 (100.0%),3 (10.1%),19 (14.7%),2 (35.7%),True (65.1%),3.0 (17.8%),2 (35.7%),True (58.9%),1.0 (34.1%),True (58.1%),True (54.3%),True (50.4%),True (50.4%)
COMMUNICATION,7,Cooperative Communication in Group Dynamics,0.63 (9.9%),False (51.9%),True (100.0%),1 (52.7%),20 (100.0%),10 (8.4%),14 (13.7%),2 (36.6%),False (54.2%),3.0 (20.6%),2 (36.6%),False (54.2%),2.0 (30.5%),True (54.2%),False (51.1%),False (56.5%),False (56.5%)
COMMUNICATION,8,Cooperative Communication in Social Settings,0.19 (9.0%),True (72.0%),True (100.0%),1 (52.0%),20 (100.0%),30 (13.0%),16 (13.0%),2 (42.0%),False (72.0%),3.0 (16.0%),2 (42.0%),False (72.0%),2.0 (32.0%),False (51.0%),False (62.0%),False (59.0%),False (59.0%)
COMMUNICATION,9,Sparsely Communicative Yet Cooperative Personas,0.11 (8.8%),True (59.6%),True (100.0%),0 (57.0%),20 (100.0%),14 (13.2%),12 (13.2%),3 (36.0%),False (60.5%),3.0 (14.0%),3 (36.0%),False (51.8%),2.0 (31.6%),True (62.3%),True (61.4%),False (56.1%),False (56.1%)
