tag_folder,cluster_id,cluster_title,cluster_n
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,91
COMMUNICATION,1,Cooperative Norms and Group Dynamics,110
COMMUNICATION,2,Engaging Cooperation in Group Settings,139
COMMUNICATION,3,Playful Social Engagement in Group Dynamics,101
COMMUNICATION,4,Cooperative Communication in Group Dynamics,115
COMMUNICATION,5,Sociable Players Embrace Lighthearted Cooperation,105
COMMUNICATION,6,Affiliative Communicators in Cooperative Settings,129
COMMUNICATION,7,Cooperative Communication in Group Dynamics,131
COMMUNICATION,8,Cooperative Communication in Social Settings,100
COMMUNICATION,9,Sparsely Communicative Yet Cooperative Personas,114
COMMUNICATION,10,Minimal Communicators in Group Dynamics,86
COMMUNICATION,11,Low-Engagement Cooperative Players,121
COMMUNICATION,12,Silent Observers in Social Dynamics,122
COMMUNICATION,13,Silent Cooperators in Group Dynamics,144
COMMUNICATION,14,Silent Observers in Communication Dynamics,126
CONTRIBUTION,0,Moderate Contributors in Cooperative Settings,228
CONTRIBUTION,1,Volatile Contributors: Patterns of Cooperation,304
CONTRIBUTION,2,Patterns of Opportunistic Contribution Behavior,234
CONTRIBUTION,3,Patterns of Unconditional Free-Riding Behavior,142
CONTRIBUTION,4,High Contributors with Conditional Flexibility,292
CONTRIBUTION,5,Dynamic Contributors in Cooperative Settings,292
CONTRIBUTION,6,Cooperative Contributors with Occasional Deviations,266
CONTRIBUTION,7,High Contributors in Cooperative Settings,237
CONTRIBUTION,8,High Contributors with Strategic Defections,206
CONTRIBUTION,9,Unconditional High Contributors in Group Settings,262
CONTRIBUTION,10,Unconditional High Contributors in Cooperative Settings,255
CONTRIBUTION,11,Unwavering Commitment to Group Contribution,228
CONTRIBUTION,12,Unwavering Full Cooperation in Groups,215
CONTRIBUTION,13,Unwavering Full Cooperation in Groups,223
CONTRIBUTION,14,Unconditional Full Cooperation in Group Settings,307
PUNISHMENT,0,The Reluctance to Punish in Groups,129
