tag,config_column,cluster_id,cluster_title,prop_false,prop_true,delta_true_minus_false,abs_delta,n_false,n_true
PUNISHMENT,CONFIG_chat,2,Non-Punitive Behavior in Group Dynamics,0.12906846240179573,0.029315960912052116,-0.09975250148974361,0.09975250148974361,891,921
PUNISHMENT,CONFIG_chat,4,Reluctance to Use Punishment Mechanisms,0.051627384960718295,0.1444082519001086,0.09278086693939029,0.09278086693939029,891,921
PUNISHMENT,CONFIG_chat,11,Selective Punishment in Group Dynamics,0.10101010101010101,0.019543973941368076,-0.08146612706873294,0.08146612706873294,891,921
PUNISHMENT,CONFIG_chat,13,Costly Punishers: Enforcing Contribution Norms,0.12457912457912458,0.04451682953311618,-0.0800622950460084,0.0800622950460084,891,921
PUNISHMENT,CONFIG_chat,0,The Reluctance to Punish in Groups,0.031425364758698095,0.10966340933767643,0.07823804457897834,0.07823804457897834,891,921
PUNISHMENT,CONFIG_chat,5,Reluctance to Use Punishment in Groups,0.052749719416386086,0.12920738327904452,0.07645766386265843,0.07645766386265843,891,921
PUNISHMENT,CONFIG_chat,10,Selective Punishment in Cooperative Groups,0.012345679012345678,0.08794788273615635,0.07560220372381067,0.07560220372381067,891,921
PUNISHMENT,CONFIG_chat,14,The Dynamics of Costly Punishment,0.10213243546576879,0.029315960912052116,-0.07281647455371668,0.07281647455371668,891,921
PUNISHMENT,CONFIG_chat,9,Selective Punishment in Cooperative Settings,0.09876543209876543,0.035830618892508145,-0.06293481320625728,0.06293481320625728,891,921
PUNISHMENT,CONFIG_chat,8,Selective Punishment in Cooperative Settings,0.08305274971941638,0.021715526601520086,-0.0613372231178963,0.0613372231178963,891,921
PUNISHMENT,CONFIG_chat,6,Selective Punishment in Cooperative Settings,0.016835016835016835,0.0749185667752443,0.05808354994022747,0.05808354994022747,891,921
PUNISHMENT,CONFIG_chat,7,Selective Punishment in Group Dynamics,0.030303030303030304,0.08251900108577633,0.05221597078274602,0.05221597078274602,891,921
PUNISHMENT,CONFIG_chat,12,The Dynamics of Costly Punishment,0.03367003367003367,0.07709011943539631,0.043420085765362645,0.043420085765362645,891,921
PUNISHMENT,CONFIG_chat,1,The Reluctant Non-Punisher,0.07856341189674523,0.04343105320304017,-0.03513235869370506,0.03513235869370506,891,921
PUNISHMENT,CONFIG_chat,3,The Reluctant Non-Punisher Profile,0.05387205387205387,0.07057546145494029,0.016703407582886416,0.016703407582886416,891,921
