tag,config_column,cluster_id,cluster_title,prop_false,prop_true,delta_true_minus_false,abs_delta,n_false,n_true
REWARD,CONFIG_chat,5,Non-Rewarding Cooperators in Group Dynamics,0.14818763326226012,0.02394526795895097,-0.12424236530330915,0.12424236530330915,938,877
REWARD,CONFIG_chat,13,Reluctance to Reward in Cooperative Settings,0.017057569296375266,0.12998859749144812,0.11293102819507285,0.11293102819507285,938,877
REWARD,CONFIG_chat,14,Reluctance to Use Reward Mechanisms,0.03411513859275053,0.1459521094640821,0.11183697087133157,0.11183697087133157,938,877
REWARD,CONFIG_chat,0,The Generous Rewarder Persona,0.11727078891257996,0.053591790193842644,-0.0636789987187373,0.0636789987187373,938,877
REWARD,CONFIG_chat,2,Selective Rewarding in Cooperative Contexts,0.09381663113006397,0.0330672748004561,-0.06074935632960787,0.06074935632960787,938,877
REWARD,CONFIG_chat,1,Selective Rewarding Behavior in Cooperative Settings,0.09381663113006397,0.03534777651083238,-0.05846885461923159,0.05846885461923159,938,877
REWARD,CONFIG_chat,6,Selective Rewarding to Foster Cooperation,0.04371002132196162,0.09236031927023945,0.04865029794827783,0.04865029794827783,938,877
REWARD,CONFIG_chat,11,Avoiding Rewards in Cooperative Environments,0.03837953091684435,0.08665906499429875,0.048279534077454396,0.048279534077454396,938,877
REWARD,CONFIG_chat,12,Reluctance to Reward Cooperative Behavior,0.06823027718550106,0.11174458380843785,0.04351430662293679,0.04351430662293679,938,877
REWARD,CONFIG_chat,4,Conservative Reward Users in Gameplay,0.04797441364605544,0.00798175598631699,-0.039992657659738445,0.039992657659738445,938,877
REWARD,CONFIG_chat,7,Reluctance to Use Reward Mechanisms,0.06716417910447761,0.03420752565564424,-0.03295665344883337,0.03295665344883337,938,877
REWARD,CONFIG_chat,8,Sparing Use of Rewards in Cooperative Settings,0.03731343283582089,0.06955530216647662,0.03224186933065573,0.03224186933065573,938,877
REWARD,CONFIG_chat,9,Reluctance to Reward Cooperative Behavior,0.07462686567164178,0.05131128848346636,-0.023315577188175424,0.023315577188175424,938,877
REWARD,CONFIG_chat,3,Generous Rewarders in Cooperative Settings,0.05650319829424307,0.07639680729760548,0.019893609003362407,0.019893609003362407,938,877
REWARD,CONFIG_chat,10,The Reluctant Non-Rewarder Persona,0.06183368869936034,0.04789053591790194,-0.013943152781458398,0.013943152781458398,938,877
