tag,config_column,cluster_id,cluster_title,prop_false,prop_true,delta_true_minus_false,abs_delta,n_false,n_true
RESPONSE_TO_PUNISHER,CONFIG_chat,4,Understanding Responses to Punishment Dynamics,0.006607929515418502,0.1297709923664122,0.12316306285099371,0.12316306285099371,454,393
RESPONSE_TO_PUNISHER,CONFIG_chat,14,Resilient Non-Retaliators in Punishment Scenarios,0.11894273127753303,0.01272264631043257,-0.10622008496710046,0.10622008496710046,454,393
RESPONSE_TO_PUNISHER,CONFIG_chat,0,Understanding Responses to Punishment,0.022026431718061675,0.11704834605597965,0.09502191433791797,0.09502191433791797,454,393
RESPONSE_TO_PUNISHER,CONFIG_chat,11,Resilient Cooperation in Punitive Environments,0.10572687224669604,0.022900763358778626,-0.08282610888791742,0.08282610888791742,454,393
RESPONSE_TO_PUNISHER,CONFIG_chat,12,Resistance to Punishment in Cooperative Settings,0.09911894273127753,0.017811704834605598,-0.08130723789667194,0.08130723789667194,454,393
RESPONSE_TO_PUNISHER,CONFIG_chat,13,Responses to Punishment in Cooperative Settings,0.09911894273127753,0.020356234096692113,-0.07876270863458541,0.07876270863458541,454,393
RESPONSE_TO_PUNISHER,CONFIG_chat,1,Understanding Responses to Punishment,0.04405286343612335,0.11195928753180662,0.06790642409568326,0.06790642409568326,454,393
RESPONSE_TO_PUNISHER,CONFIG_chat,10,Non-Retaliatory Cooperation in Punitive Contexts,0.08149779735682819,0.020356234096692113,-0.061141563260136075,0.061141563260136075,454,393
RESPONSE_TO_PUNISHER,CONFIG_chat,5,Responses to Punishment Without Retaliation,0.046255506607929514,0.10687022900763359,0.06061472239970407,0.06061472239970407,454,393
RESPONSE_TO_PUNISHER,CONFIG_chat,7,Resilient Cooperation in Punitive Environments,0.05726872246696035,0.11704834605597965,0.059779623589019296,0.059779623589019296,454,393
RESPONSE_TO_PUNISHER,CONFIG_chat,2,Understanding Unpunished Behavior Patterns,0.030837004405286344,0.08396946564885496,0.053132461243568616,0.053132461243568616,454,393
RESPONSE_TO_PUNISHER,CONFIG_chat,9,Resilient Cooperation in the Face of Punishment,0.09691629955947137,0.06615776081424936,-0.03075853874522201,0.03075853874522201,454,393
RESPONSE_TO_PUNISHER,CONFIG_chat,6,Responses to Punishment in Cooperative Settings,0.07048458149779736,0.05343511450381679,-0.01704946699398057,0.01704946699398057,454,393
RESPONSE_TO_PUNISHER,CONFIG_chat,3,Responses to Punishment Remain Unexplored,0.05286343612334802,0.043256997455470736,-0.009606438667877283,0.009606438667877283,454,393
RESPONSE_TO_PUNISHER,CONFIG_chat,8,Responses to Punishment: A Complex Landscape,0.06828193832599119,0.07633587786259542,0.00805393953660423,0.00805393953660423,454,393
