tag,cluster_id,cluster_title,cluster_n,config_column,config_value,count,pct_within_cluster,pct_of_all_rows_for_value,n_all_rows_with_value,config_value_str
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,91,CONFIG_MPCR,0.46,11,0.12087912087912088,0.023504273504273504,468,0.46
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,91,CONFIG_MPCR,0.63,8,0.08791208791208792,0.015810276679841896,506,0.63
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,91,CONFIG_MPCR,0.62,7,0.07692307692307693,0.019943019943019943,351,0.62
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,91,CONFIG_MPCR,0.24,6,0.06593406593406594,0.012552301255230125,478,0.24
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,91,CONFIG_MPCR,0.19,5,0.054945054945054944,0.010845986984815618,461,0.19
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,91,CONFIG_MPCR,0.22,5,0.054945054945054944,0.015432098765432098,324,0.22
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,91,CONFIG_MPCR,0.38,5,0.054945054945054944,0.014619883040935672,342,0.38
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,91,CONFIG_MPCR,0.61,5,0.054945054945054944,0.03875968992248062,129,0.61
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,91,CONFIG_MPCR,0.07,4,0.04395604395604396,0.016666666666666666,240,0.07
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,91,CONFIG_MPCR,0.59,4,0.04395604395604396,0.011904761904761904,336,0.59
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,91,CONFIG_MPCR,0.36,3,0.03296703296703297,0.005893909626719057,509,0.36
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,91,CONFIG_MPCR,0.44,3,0.03296703296703297,0.015306122448979591,196,0.44
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,91,CONFIG_MPCR,0.47,3,0.03296703296703297,0.009900990099009901,303,0.47
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,91,CONFIG_MPCR,0.5,3,0.03296703296703297,0.012711864406779662,236,0.5
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,91,CONFIG_MPCR,0.64,3,0.03296703296703297,0.013452914798206279,223,0.64
