tag,config_column,direction,cluster_id,cluster_title,prop_false,prop_true,delta_true_minus_false,abs_delta
CONTRIBUTION,CONFIG_chat,higher_when_false,1,Volatile Contributors: Patterns of Cooperation,0.12740252608456892,0.038502673796791446,-0.08889985228777747,0.08889985228777747
CONTRIBUTION,CONFIG_chat,higher_when_false,0,Moderate Contributors in Cooperative Settings,0.09335529928610653,0.031016042780748664,-0.06233925650535786,0.06233925650535786
CONTRIBUTION,CONFIG_chat,higher_when_false,4,High Contributors with Conditional Flexibility,0.10873146622734761,0.05026737967914439,-0.058464086548203224,0.058464086548203224
CONTRIBUTION,CONFIG_chat,higher_when_true,12,Unwavering Full Cooperation in Groups,0.023613399231191653,0.09197860962566845,0.0683652103944768,0.0683652103944768
CONTRIBUTION,CONFIG_chat,higher_when_true,9,Unconditional High Contributors in Group Settings,0.047226798462383306,0.09411764705882353,0.04689084859644022,0.04689084859644022
CONTRIBUTION,CONFIG_chat,higher_when_true,14,Unconditional Full Cooperation in Group Settings,0.061504667764964306,0.10427807486631016,0.042773407101345855,0.042773407101345855
PUNISHMENT,CONFIG_chat,higher_when_false,2,Non-Punitive Behavior in Group Dynamics,0.12906846240179573,0.029315960912052116,-0.09975250148974361,0.09975250148974361
PUNISHMENT,CONFIG_chat,higher_when_false,11,Selective Punishment in Group Dynamics,0.10101010101010101,0.019543973941368076,-0.08146612706873294,0.08146612706873294
PUNISHMENT,CONFIG_chat,higher_when_false,13,Costly Punishers: Enforcing Contribution Norms,0.12457912457912458,0.04451682953311618,-0.0800622950460084,0.0800622950460084
PUNISHMENT,CONFIG_chat,higher_when_true,4,Reluctance to Use Punishment Mechanisms,0.051627384960718295,0.1444082519001086,0.09278086693939029,0.09278086693939029
PUNISHMENT,CONFIG_chat,higher_when_true,0,The Reluctance to Punish in Groups,0.031425364758698095,0.10966340933767643,0.07823804457897834,0.07823804457897834
PUNISHMENT,CONFIG_chat,higher_when_true,5,Reluctance to Use Punishment in Groups,0.052749719416386086,0.12920738327904452,0.07645766386265843,0.07645766386265843
RESPONSE_TO_END_GAME,CONFIG_chat,higher_when_false,3,Cooperative Strategies in Late Game Rounds,0.10891089108910891,0.0255885363357216,-0.08332235475338731,0.08332235475338731
RESPONSE_TO_END_GAME,CONFIG_chat,higher_when_false,12,End-Game Behavior in Contribution Dynamics,0.0737073707370737,0.02968270214943705,-0.04402466858763665,0.04402466858763665
RESPONSE_TO_END_GAME,CONFIG_chat,higher_when_false,7,End-Game Behavior in Finite Games,0.0858085808580858,0.0511770726714432,-0.03463150818664261,0.03463150818664261
RESPONSE_TO_END_GAME,CONFIG_chat,higher_when_true,5,Consistent Cooperation Until the Final Round,0.034103410341034104,0.10849539406345957,0.07439198372242546,0.07439198372242546
RESPONSE_TO_END_GAME,CONFIG_chat,higher_when_true,6,Consistent Cooperation in Final Rounds,0.0407040704070407,0.1023541453428864,0.06165007493584569,0.06165007493584569
RESPONSE_TO_END_GAME,CONFIG_chat,higher_when_true,8,Consistent Cooperation Until the Final Round,0.0231023102310231,0.0767656090071648,0.05366329877614169,0.05366329877614169
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_chat,higher_when_false,1,Behavioral Patterns in Contribution and Punishment,0.11904761904761904,0.018867924528301886,-0.10017969451931716,0.10017969451931716
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_chat,higher_when_false,8,Cooperative Players and Reward Dynamics,0.11580086580086581,0.02885682574916759,-0.08694404005169822,0.08694404005169822
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_chat,higher_when_false,13,Opportunistic Players in Contribution Dynamics,0.10497835497835498,0.0244173140954495,-0.08056104088290547,0.08056104088290547
