tag,config_column,cluster_id,cluster_title,prop_false,prop_true,delta_true_minus_false,abs_delta,n_false,n_true
CONTRIBUTION,CONFIG_chat,1,Volatile Contributors: Patterns of Cooperation,0.12740252608456892,0.038502673796791446,-0.08889985228777747,0.08889985228777747,1821,1870
CONTRIBUTION,CONFIG_chat,12,Unwavering Full Cooperation in Groups,0.023613399231191653,0.09197860962566845,0.0683652103944768,0.0683652103944768,1821,1870
CONTRIBUTION,CONFIG_chat,0,Moderate Contributors in Cooperative Settings,0.09335529928610653,0.031016042780748664,-0.06233925650535786,0.06233925650535786,1821,1870
CONTRIBUTION,CONFIG_chat,4,High Contributors with Conditional Flexibility,0.10873146622734761,0.05026737967914439,-0.058464086548203224,0.058464086548203224,1821,1870
CONTRIBUTION,CONFIG_chat,9,Unconditional High Contributors in Group Settings,0.047226798462383306,0.09411764705882353,0.04689084859644022,0.04689084859644022,1821,1870
CONTRIBUTION,CONFIG_chat,14,Unconditional Full Cooperation in Group Settings,0.061504667764964306,0.10427807486631016,0.042773407101345855,0.042773407101345855,1821,1870
CONTRIBUTION,CONFIG_chat,2,Patterns of Opportunistic Contribution Behavior,0.07962657880285558,0.04759358288770053,-0.032032995915155044,0.032032995915155044,1821,1870
CONTRIBUTION,CONFIG_chat,7,High Contributors in Cooperative Settings,0.04942339373970346,0.0786096256684492,0.02918623192874574,0.02918623192874574,1821,1870
CONTRIBUTION,CONFIG_chat,6,Cooperative Contributors with Occasional Deviations,0.058209774848984076,0.0855614973262032,0.027351722477219127,0.027351722477219127,1821,1870
CONTRIBUTION,CONFIG_chat,10,Unconditional High Contributors in Cooperative Settings,0.05656232839099396,0.08128342245989305,0.024721094068899087,0.024721094068899087,1821,1870
CONTRIBUTION,CONFIG_chat,8,High Contributors with Strategic Defections,0.044481054365733116,0.06684491978609626,0.022363865420363144,0.022363865420363144,1821,1870
CONTRIBUTION,CONFIG_chat,11,Unwavering Commitment to Group Contribution,0.053816584294343765,0.06951871657754011,0.015702132283196342,0.015702132283196342,1821,1870
CONTRIBUTION,CONFIG_chat,13,Unwavering Full Cooperation in Groups,0.06699615595826469,0.05401069518716577,-0.012985460771098918,0.012985460771098918,1821,1870
CONTRIBUTION,CONFIG_chat,3,Patterns of Unconditional Free-Riding Behavior,0.044481054365733116,0.032620320855614976,-0.01186073351011814,0.01186073351011814,1821,1870
CONTRIBUTION,CONFIG_chat,5,Dynamic Contributors in Cooperative Settings,0.08456891817682592,0.07379679144385026,-0.01077212673297566,0.01077212673297566,1821,1870
