tag,cluster_id,cluster_title,config_column,config_value,count,cluster_n,pct_within_cluster
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,CONFIG_MPCR,0.46,11,91,0.12087912087912088
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,CONFIG_allOrNothing,True,52,91,0.5714285714285714
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,CONFIG_chat,True,91,91,1.0
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,CONFIG_defaultContribProp,0,50,91,0.5494505494505495
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,CONFIG_endowment,20,91,91,1.0
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,CONFIG_numRounds,24,9,91,0.0989010989010989
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,CONFIG_playerCount,16,14,91,0.15384615384615385
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,CONFIG_punishmentCost,2,36,91,0.3956043956043956
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,CONFIG_punishmentExists,True,49,91,0.5384615384615384
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,CONFIG_punishmentMagnitude,3.0,16,91,0.17582417582417584
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,CONFIG_rewardCost,2,36,91,0.3956043956043956
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,CONFIG_rewardExists,True,51,91,0.5604395604395604
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,CONFIG_rewardMagnitude,2.0,30,91,0.32967032967032966
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,CONFIG_showNRounds,False,60,91,0.6593406593406593
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,CONFIG_showOtherSummaries,False,54,91,0.5934065934065934
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,CONFIG_showPunishmentId,False,47,91,0.5164835164835165
COMMUNICATION,0,Engaging Social Dynamics in Cooperative Settings,CONFIG_showRewardId,False,47,91,0.5164835164835165
COMMUNICATION,1,Cooperative Norms and Group Dynamics,CONFIG_MPCR,0.36,11,110,0.1
COMMUNICATION,1,Cooperative Norms and Group Dynamics,CONFIG_allOrNothing,False,56,110,0.509090909090909
COMMUNICATION,1,Cooperative Norms and Group Dynamics,CONFIG_chat,True,110,110,1.0
COMMUNICATION,1,Cooperative Norms and Group Dynamics,CONFIG_defaultContribProp,0,62,110,0.5636363636363636
COMMUNICATION,1,Cooperative Norms and Group Dynamics,CONFIG_endowment,20,110,110,1.0
