experiment_id,config_hash,game_id,round,actor_id,actor_name,target_id,target_name,type,units_decided,units_actual,was_scaled,cost,impact,timestamp
exp_021_control,1d679824,exp_021_control_game1,1,agent_0,DOG,agent_1,CHICKEN,reward,2,2,False,6,2.84,2026-01-02T01:40:07.708928
exp_021_control,1d679824,exp_021_control_game1,1,agent_0,DOG,agent_2,CAT,reward,2,2,False,6,2.84,2026-01-02T01:40:07.709767
exp_021_control,1d679824,exp_021_control_game1,1,agent_0,DOG,agent_3,FISH,reward,2,2,False,6,2.84,2026-01-02T01:40:07.709801
exp_021_control,1d679824,exp_021_control_game1,1,agent_0,DOG,agent_5,RABBIT,reward,1,1,False,3,1.42,2026-01-02T01:40:07.709820
exp_021_control,1d679824,exp_021_control_game1,1,agent_0,DOG,agent_6,TURTLE,reward,1,1,False,3,1.42,2026-01-02T01:40:07.709838
exp_021_control,1d679824,exp_021_control_game1,1,agent_0,DOG,agent_9,MOUSE,reward,1,1,False,3,1.42,2026-01-02T01:40:07.709855
exp_021_control,1d679824,exp_021_control_game1,1,agent_0,DOG,agent_15,MONKEY,reward,1,1,False,3,1.42,2026-01-02T01:40:07.709873
exp_021_control,1d679824,exp_021_control_game1,1,agent_1,CHICKEN,agent_0,DOG,reward,2,2,False,6,2.84,2026-01-02T01:40:12.467746
exp_021_control,1d679824,exp_021_control_game1,1,agent_1,CHICKEN,agent_2,CAT,reward,2,2,False,6,2.84,2026-01-02T01:40:12.467908
exp_021_control,1d679824,exp_021_control_game1,1,agent_1,CHICKEN,agent_3,FISH,reward,2,2,False,6,2.84,2026-01-02T01:40:12.467928
exp_021_control,1d679824,exp_021_control_game1,1,agent_1,CHICKEN,agent_4,BIRD,reward,2,2,False,6,2.84,2026-01-02T01:40:12.467946
exp_021_control,1d679824,exp_021_control_game1,1,agent_1,CHICKEN,agent_5,RABBIT,reward,2,2,False,6,2.84,2026-01-02T01:40:12.467962
exp_021_control,1d679824,exp_021_control_game1,1,agent_1,CHICKEN,agent_6,TURTLE,reward,2,2,False,6,2.84,2026-01-02T01:40:12.467978
exp_021_control,1d679824,exp_021_control_game1,1,agent_1,CHICKEN,agent_7,HAMSTER,reward,2,2,False,6,2.84,2026-01-02T01:40:12.467994
exp_021_control,1d679824,exp_021_control_game1,1,agent_2,CAT,agent_5,RABBIT,reward,2,2,False,6,2.84,2026-01-02T01:40:16.266988
exp_021_control,1d679824,exp_021_control_game1,1,agent_2,CAT,agent_9,MOUSE,reward,3,3,False,9,4.26,2026-01-02T01:40:16.267247
exp_021_control,1d679824,exp_021_control_game1,1,agent_2,CAT,agent_15,MONKEY,reward,2,2,False,6,2.84,2026-01-02T01:40:16.267272
exp_021_control,1d679824,exp_021_control_game1,1,agent_3,FISH,agent_4,BIRD,reward,2,2,False,6,2.84,2026-01-02T01:40:21.562810
exp_021_control,1d679824,exp_021_control_game1,1,agent_3,FISH,agent_6,TURTLE,reward,3,3,False,9,4.26,2026-01-02T01:40:21.563407
