metric_family,metric,distance_kind,n_treatments,mean_value,median_value,stderr,treatment_mean_check,run_name
distribution_distance,mean_send_field_distance,mean_wasserstein_1d,10,2.748,2.785,0.12758047569192466,2.748,baseline_gpt_5_mini
distribution_distance,mean_process_premium_distance,mean_wasserstein_1d,5,1.5240000000000002,1.42,0.14753304714537685,1.5240000000000002,baseline_gpt_5_mini
distribution_distance,mean_action_premium_distance,mean_wasserstein_1d,10,3.734,3.47,0.29571457710283927,3.7339999999999995,baseline_gpt_5_mini
distribution_distance,return_pct,wasserstein_1d,10,12.598000000000004,13.43,1.0257851193652163,12.598000000000003,baseline_gpt_5_mini
distribution_distance,process_premium_if_act,wasserstein_1d,5,1.4600000000000002,1.3400000000000003,0.1320605921537534,1.4600000000000002,baseline_gpt_5_mini
distribution_distance,process_premium_if_no_act,wasserstein_1d,5,1.588,1.3199999999999998,0.24872474746192824,1.588,baseline_gpt_5_mini
distribution_distance,action_premium,wasserstein_1d,5,3.6,3.4400000000000004,0.4334512660034573,3.6,baseline_gpt_5_mini
distribution_distance,action_premium_without_check,wasserstein_1d,4,3.87,3.54,0.5610406996525892,3.87,baseline_gpt_5_mini
distribution_distance,action_premium_after_check,wasserstein_1d,4,3.635,3.18,0.5537974960819761,3.635,baseline_gpt_5_mini
distribution_distance,action_premium_fast,wasserstein_1d,1,5.24,5.24,,5.24,baseline_gpt_5_mini
distribution_distance,action_premium_slow,wasserstein_1d,1,3.4200000000000004,3.4200000000000004,,3.4200000000000004,baseline_gpt_5_mini
distribution_distance,send_if_act,wasserstein_1d,5,2.8,2.84,0.18011107683871078,2.8000000000000003,baseline_gpt_5_mini
distribution_distance,send_if_act_after_check,wasserstein_1d,4,2.635,2.58,0.21093047827819147,2.635,baseline_gpt_5_mini
distribution_distance,send_if_act_fast,wasserstein_1d,1,3.58,3.58,,3.58,baseline_gpt_5_mini
distribution_distance,send_if_act_slow,wasserstein_1d,1,3.28,3.28,,3.28,baseline_gpt_5_mini
distribution_distance,send_if_act_without_check,wasserstein_1d,4,2.6450000000000005,2.46,0.3026962173533063,2.645,baseline_gpt_5_mini
distribution_distance,send_if_no_act,wasserstein_1d,5,2.9440000000000004,3.0200000000000005,0.164851448279959,2.9440000000000004,baseline_gpt_5_mini
distribution_distance,send_if_no_act_after_check,wasserstein_1d,4,2.22,2.09,0.3445770354120155,2.2199999999999998,baseline_gpt_5_mini
distribution_distance,send_if_no_act_fast,wasserstein_1d,1,2.9,2.9,,2.9,baseline_gpt_5_mini
distribution_distance,send_if_no_act_slow,wasserstein_1d,1,2.06,2.06,,2.06,baseline_gpt_5_mini
distribution_distance,send_if_no_act_without_check,wasserstein_1d,4,2.665,2.54,0.14591664287073855,2.665,baseline_gpt_5_mini
distribution_distance,joint_pattern_distribution,total_variation,10,0.508,0.6599999999999999,0.08652295777550732,0.508,baseline_gpt_5_mini
distribution_distance,mean_send_field_distance,mean_wasserstein_1d,10,2.746,2.72,0.12481942512641568,2.746,demographic_only_row_resampled_seed_0_gpt_5_mini
distribution_distance,mean_process_premium_distance,mean_wasserstein_1d,5,1.508,1.34,0.1607917908352288,1.5079999999999998,demographic_only_row_resampled_seed_0_gpt_5_mini
distribution_distance,mean_action_premium_distance,mean_wasserstein_1d,10,3.5660000000000003,3.1500000000000004,0.2685400859793147,3.566000000000001,demographic_only_row_resampled_seed_0_gpt_5_mini
distribution_distance,return_pct,wasserstein_1d,10,13.338,13.32,0.9703536583237177,13.338,demographic_only_row_resampled_seed_0_gpt_5_mini
distribution_distance,process_premium_if_act,wasserstein_1d,5,1.4680000000000002,1.3600000000000003,0.1044222198576529,1.4680000000000002,demographic_only_row_resampled_seed_0_gpt_5_mini
distribution_distance,process_premium_if_no_act,wasserstein_1d,5,1.548,1.34,0.2512050954897212,1.548,demographic_only_row_resampled_seed_0_gpt_5_mini
distribution_distance,action_premium,wasserstein_1d,5,3.496,3.1800000000000006,0.41930418552645043,3.496,demographic_only_row_resampled_seed_0_gpt_5_mini
distribution_distance,action_premium_without_check,wasserstein_1d,4,3.75,3.4000000000000004,0.4412482294582039,3.75,demographic_only_row_resampled_seed_0_gpt_5_mini
distribution_distance,action_premium_after_check,wasserstein_1d,4,3.35,2.8499999999999996,0.5237365750069399,3.3499999999999996,demographic_only_row_resampled_seed_0_gpt_5_mini
distribution_distance,action_premium_fast,wasserstein_1d,1,4.66,4.66,,4.66,demographic_only_row_resampled_seed_0_gpt_5_mini
distribution_distance,action_premium_slow,wasserstein_1d,1,3.3000000000000003,3.3000000000000003,,3.3000000000000003,demographic_only_row_resampled_seed_0_gpt_5_mini
distribution_distance,send_if_act,wasserstein_1d,5,2.916,2.9600000000000004,0.16042443704124382,2.916,demographic_only_row_resampled_seed_0_gpt_5_mini
distribution_distance,send_if_act_after_check,wasserstein_1d,4,2.44,2.3499999999999996,0.19096247449869994,2.44,demographic_only_row_resampled_seed_0_gpt_5_mini
distribution_distance,send_if_act_fast,wasserstein_1d,1,3.3000000000000003,3.3000000000000003,,3.3000000000000003,demographic_only_row_resampled_seed_0_gpt_5_mini
distribution_distance,send_if_act_slow,wasserstein_1d,1,3.04,3.04,,3.04,demographic_only_row_resampled_seed_0_gpt_5_mini
distribution_distance,send_if_act_without_check,wasserstein_1d,4,2.6399999999999997,2.46,0.2532455988429677,2.6399999999999997,demographic_only_row_resampled_seed_0_gpt_5_mini
distribution_distance,send_if_no_act,wasserstein_1d,5,2.9240000000000004,2.96,0.17174399552822806,2.9240000000000004,demographic_only_row_resampled_seed_0_gpt_5_mini
distribution_distance,send_if_no_act_after_check,wasserstein_1d,4,2.21,2.0,0.299388265189759,2.21,demographic_only_row_resampled_seed_0_gpt_5_mini
distribution_distance,send_if_no_act_fast,wasserstein_1d,1,2.84,2.84,,2.84,demographic_only_row_resampled_seed_0_gpt_5_mini
distribution_distance,send_if_no_act_slow,wasserstein_1d,1,2.02,2.02,,2.02,demographic_only_row_resampled_seed_0_gpt_5_mini
distribution_distance,send_if_no_act_without_check,wasserstein_1d,4,2.77,2.66,0.14617341299520467,2.77,demographic_only_row_resampled_seed_0_gpt_5_mini
distribution_distance,joint_pattern_distribution,total_variation,10,0.504,0.6599999999999999,0.08463253905364451,0.504,demographic_only_row_resampled_seed_0_gpt_5_mini
distribution_distance,mean_send_field_distance,mean_wasserstein_1d,10,1.935,1.9625000000000004,0.08258665482725133,1.935,twin_sampled_seed_0_gpt_5_mini
distribution_distance,mean_process_premium_distance,mean_wasserstein_1d,5,1.54,1.35,0.15646085772486354,1.5400000000000003,twin_sampled_seed_0_gpt_5_mini
distribution_distance,mean_action_premium_distance,mean_wasserstein_1d,10,2.598,2.645,0.21728527075917703,2.598,twin_sampled_seed_0_gpt_5_mini
distribution_distance,return_pct,wasserstein_1d,10,6.182,5.880000000000001,0.6802577942711622,6.182000000000001,twin_sampled_seed_0_gpt_5_mini
distribution_distance,process_premium_if_act,wasserstein_1d,5,1.5,1.44,0.11865917579353058,1.5000000000000002,twin_sampled_seed_0_gpt_5_mini
distribution_distance,process_premium_if_no_act,wasserstein_1d,5,1.58,1.2400000000000002,0.23349518196314023,1.5799999999999998,twin_sampled_seed_0_gpt_5_mini
distribution_distance,action_premium,wasserstein_1d,5,2.724,2.56,0.31307507086959185,2.7239999999999998,twin_sampled_seed_0_gpt_5_mini
distribution_distance,action_premium_without_check,wasserstein_1d,4,2.95,3.3099999999999996,0.3992075483588288,2.95,twin_sampled_seed_0_gpt_5_mini
distribution_distance,action_premium_after_check,wasserstein_1d,4,2.345,2.49,0.3222188697143606,2.3449999999999998,twin_sampled_seed_0_gpt_5_mini
distribution_distance,action_premium_fast,wasserstein_1d,1,2.3600000000000003,2.3600000000000003,,2.3600000000000003,twin_sampled_seed_0_gpt_5_mini
distribution_distance,action_premium_slow,wasserstein_1d,1,1.1799999999999995,1.1799999999999995,,1.1799999999999995,twin_sampled_seed_0_gpt_5_mini
distribution_distance,send_if_act,wasserstein_1d,5,1.86,1.9000000000000004,0.0860232526704263,1.86,twin_sampled_seed_0_gpt_5_mini
distribution_distance,send_if_act_after_check,wasserstein_1d,4,1.975,1.88,0.22291627725822682,1.975,twin_sampled_seed_0_gpt_5_mini
distribution_distance,send_if_act_fast,wasserstein_1d,1,2.0,2.0,,2.0,twin_sampled_seed_0_gpt_5_mini
distribution_distance,send_if_act_slow,wasserstein_1d,1,1.88,1.88,,1.88,twin_sampled_seed_0_gpt_5_mini
distribution_distance,send_if_act_without_check,wasserstein_1d,4,2.11,2.0,0.16743157806499148,2.11,twin_sampled_seed_0_gpt_5_mini
distribution_distance,send_if_no_act,wasserstein_1d,5,2.08,2.06,0.13740451229854134,2.08,twin_sampled_seed_0_gpt_5_mini
