metric_family,metric,distance_kind,n_treatments,mean_value,median_value
distribution_distance,mean_send_field_distance,mean_wasserstein_1d,10,1.935,1.9625000000000004
distribution_distance,return_pct,wasserstein_1d,10,6.182,5.880000000000001
distribution_distance,send_if_act,wasserstein_1d,5,1.86,1.9000000000000004
distribution_distance,send_if_act_after_check,wasserstein_1d,4,1.975,1.88
distribution_distance,send_if_act_fast,wasserstein_1d,1,2.0,2.0
distribution_distance,send_if_act_slow,wasserstein_1d,1,1.88,1.88
distribution_distance,send_if_act_without_check,wasserstein_1d,4,2.11,2.0
distribution_distance,send_if_no_act,wasserstein_1d,5,2.08,2.06
distribution_distance,send_if_no_act_after_check,wasserstein_1d,4,1.6400000000000001,1.7300000000000002
distribution_distance,send_if_no_act_fast,wasserstein_1d,1,1.6,1.6
distribution_distance,send_if_no_act_slow,wasserstein_1d,1,1.26,1.26
distribution_distance,send_if_no_act_without_check,wasserstein_1d,4,2.09,2.25
distribution_distance,joint_pattern_distribution,total_variation,10,0.20400000000000001,0.21000000000000002
mean_alignment_abs_error,act_rate,,10,0.084,0.06
mean_alignment_abs_error,check_rate,,8,0.16999999999999998,0.14999999999999997
mean_alignment_abs_error,fast_rate,,2,0.13,0.13
mean_alignment_abs_error,mean_action_premium,,5,1.284,1.1800000000000002
mean_alignment_abs_error,mean_action_premium_after_check,,4,0.8050000000000002,0.6300000000000001
mean_alignment_abs_error,mean_action_premium_fast,,1,0.12,0.12
mean_alignment_abs_error,mean_action_premium_slow,,1,0.5800000000000001,0.5800000000000001
mean_alignment_abs_error,mean_action_premium_without_check,,4,1.45,1.56
mean_alignment_abs_error,mean_fast_premium_if_act,,1,1.04,1.04
mean_alignment_abs_error,mean_fast_premium_if_no_act,,1,0.33999999999999997,0.33999999999999997
mean_alignment_abs_error,mean_process_premium_if_act,,4,0.795,0.71
mean_alignment_abs_error,mean_process_premium_if_no_act,,4,0.72,0.59
mean_alignment_abs_error,mean_return_pct,,10,3.4219999999999984,2.389999999999997
mean_alignment_abs_error,mean_send_if_act,,5,0.45999999999999985,0.2599999999999998
mean_alignment_abs_error,mean_send_if_act_after_check,,4,0.5550000000000002,0.48
mean_alignment_abs_error,mean_send_if_act_fast,,1,0.5199999999999996,0.5199999999999996
mean_alignment_abs_error,mean_send_if_act_slow,,1,0.5199999999999996,0.5199999999999996
mean_alignment_abs_error,mean_send_if_act_without_check,,4,1.0,1.0900000000000003
mean_alignment_abs_error,mean_send_if_no_act,,5,0.9280000000000002,0.9800000000000004
mean_alignment_abs_error,mean_send_if_no_act_after_check,,4,0.55,0.5099999999999998
mean_alignment_abs_error,mean_send_if_no_act_fast,,1,0.40000000000000036,0.40000000000000036
mean_alignment_abs_error,mean_send_if_no_act_slow,,1,0.05999999999999961,0.05999999999999961
mean_alignment_abs_error,mean_send_if_no_act_without_check,,4,1.05,0.97
mean_alignment_abs_error,pattern_checked_act,,8,0.10250000000000001,0.09
mean_alignment_abs_error,pattern_checked_no_act,,8,0.1075,0.07000000000000003
mean_alignment_abs_error,pattern_fast_act,,2,0.049999999999999996,0.049999999999999996
mean_alignment_abs_error,pattern_fast_no_act,,2,0.08,0.08
mean_alignment_abs_error,pattern_slow_act,,2,0.09,0.09
mean_alignment_abs_error,pattern_slow_no_act,,2,0.22,0.22
mean_alignment_abs_error,pattern_unchecked_act,,8,0.0775,0.07
mean_alignment_abs_error,pattern_unchecked_no_act,,8,0.11249999999999999,0.1
