treatment_name,experiment_code,role,visibility,schema_type,generated_n,human_n,metric,distance_kind,score
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,50,50,return_pct,wasserstein_1d,8.020000000000001
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,50,50,joint_pattern_distribution,total_variation,0.20000000000000004
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,50,50,return_pct,wasserstein_1d,4.4399999999999995
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,50,50,joint_pattern_distribution,total_variation,0.27999999999999997
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,50,50,send_if_act,wasserstein_1d,1.9199999999999997
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,50,50,send_if_no_act,wasserstein_1d,2.3600000000000003
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,50,50,mean_send_field_distance,mean_wasserstein_1d,2.14
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,50,50,action_premium,wasserstein_1d,2.56
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,50,50,mean_action_premium_distance,mean_wasserstein_1d,2.56
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,50,50,send_if_act_without_check,wasserstein_1d,2.12
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,50,50,send_if_act_after_check,wasserstein_1d,2.08
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,50,50,send_if_no_act_without_check,wasserstein_1d,2.42
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,50,50,send_if_no_act_after_check,wasserstein_1d,1.92
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,50,50,mean_send_field_distance,mean_wasserstein_1d,2.135
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,50,50,action_premium_without_check,wasserstein_1d,3.2199999999999998
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,50,50,action_premium_after_check,wasserstein_1d,2.24
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,50,50,mean_action_premium_distance,mean_wasserstein_1d,2.73
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,50,50,process_premium_if_act,wasserstein_1d,1.32
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,50,50,process_premium_if_no_act,wasserstein_1d,1.1400000000000001
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,50,50,mean_process_premium_distance,mean_wasserstein_1d,1.23
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,50,50,return_pct,wasserstein_1d,3.520000000000001
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,50,50,joint_pattern_distribution,total_variation,0.22000000000000003
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,50,50,return_pct,wasserstein_1d,6.180000000000001
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,50,50,joint_pattern_distribution,total_variation,0.3
E2_ROLE_B_HIDDEN,E2,B,hidden,role_b_hidden_check,50,50,send_if_act,wasserstein_1d,2.0600000000000005
E2_ROLE_B_HIDDEN,E2,B,hidden,role_b_hidden_check,50,50,send_if_no_act,wasserstein_1d,2.06
E2_ROLE_B_HIDDEN,E2,B,hidden,role_b_hidden_check,50,50,mean_send_field_distance,mean_wasserstein_1d,2.0600000000000005
E2_ROLE_B_HIDDEN,E2,B,hidden,role_b_hidden_check,50,50,action_premium,wasserstein_1d,3.24
E2_ROLE_B_HIDDEN,E2,B,hidden,role_b_hidden_check,50,50,mean_action_premium_distance,mean_wasserstein_1d,3.24
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,50,50,send_if_act_without_check,wasserstein_1d,2.58
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,50,50,send_if_act_after_check,wasserstein_1d,2.56
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,50,50,send_if_no_act_without_check,wasserstein_1d,2.44
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,50,50,send_if_no_act_after_check,wasserstein_1d,1.6400000000000001
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,50,50,mean_send_field_distance,mean_wasserstein_1d,2.305
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,50,50,action_premium_without_check,wasserstein_1d,3.4200000000000004
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,50,50,action_premium_after_check,wasserstein_1d,2.92
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,50,50,mean_action_premium_distance,mean_wasserstein_1d,3.17
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,50,50,process_premium_if_act,wasserstein_1d,1.4600000000000002
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,50,50,process_premium_if_no_act,wasserstein_1d,1.2400000000000002
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,50,50,mean_process_premium_distance,mean_wasserstein_1d,1.35
E3A_ROLE_A_HIDDEN,E3A,A,hidden,role_a_time,50,50,return_pct,wasserstein_1d,5.580000000000001
E3A_ROLE_A_HIDDEN,E3A,A,hidden,role_a_time,50,50,joint_pattern_distribution,total_variation,0.15999999999999998
E3A_ROLE_A_OBSERVABLE,E3A,A,observable,role_a_time,50,50,return_pct,wasserstein_1d,6.379999999999999
E3A_ROLE_A_OBSERVABLE,E3A,A,observable,role_a_time,50,50,joint_pattern_distribution,total_variation,0.28
E3B_ROLE_B_HIDDEN,E3B,B,hidden,role_b_hidden_time,50,50,send_if_act,wasserstein_1d,1.54
E3B_ROLE_B_HIDDEN,E3B,B,hidden,role_b_hidden_time,50,50,send_if_no_act,wasserstein_1d,1.82
E3B_ROLE_B_HIDDEN,E3B,B,hidden,role_b_hidden_time,50,50,mean_send_field_distance,mean_wasserstein_1d,1.6800000000000002
E3B_ROLE_B_HIDDEN,E3B,B,hidden,role_b_hidden_time,50,50,action_premium,wasserstein_1d,1.8400000000000003
E3B_ROLE_B_HIDDEN,E3B,B,hidden,role_b_hidden_time,50,50,mean_action_premium_distance,mean_wasserstein_1d,1.8400000000000003
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,50,50,send_if_act_fast,wasserstein_1d,2.0
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,50,50,send_if_no_act_fast,wasserstein_1d,1.6
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,50,50,send_if_act_slow,wasserstein_1d,1.88
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,50,50,send_if_no_act_slow,wasserstein_1d,1.26
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,50,50,mean_send_field_distance,mean_wasserstein_1d,1.685
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,50,50,action_premium_fast,wasserstein_1d,2.3600000000000003
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,50,50,action_premium_slow,wasserstein_1d,1.1799999999999997
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,50,50,mean_action_premium_distance,mean_wasserstein_1d,1.77
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,50,50,process_premium_if_act,wasserstein_1d,1.44
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,50,50,process_premium_if_no_act,wasserstein_1d,1.2200000000000002
E3B_ROLE_B_OBSERVABLE,E3B,B,observable,role_b_observable_time,50,50,mean_process_premium_distance,mean_wasserstein_1d,1.33
E4_ROLE_A_HIDDEN,E4,A,hidden,role_a_check,50,50,return_pct,wasserstein_1d,4.500000000000001
E4_ROLE_A_HIDDEN,E4,A,hidden,role_a_check,50,50,joint_pattern_distribution,total_variation,0.08
E4_ROLE_A_OBSERVABLE,E4,A,observable,role_a_check,50,50,return_pct,wasserstein_1d,9.360000000000003
E4_ROLE_A_OBSERVABLE,E4,A,observable,role_a_check,50,50,joint_pattern_distribution,total_variation,0.16
E4_ROLE_B_HIDDEN,E4,B,hidden,role_b_hidden_check,50,50,send_if_act,wasserstein_1d,1.88
E4_ROLE_B_HIDDEN,E4,B,hidden,role_b_hidden_check,50,50,send_if_no_act,wasserstein_1d,1.7400000000000002
E4_ROLE_B_HIDDEN,E4,B,hidden,role_b_hidden_check,50,50,mean_send_field_distance,mean_wasserstein_1d,1.81
E4_ROLE_B_HIDDEN,E4,B,hidden,role_b_hidden_check,50,50,action_premium,wasserstein_1d,2.38
E4_ROLE_B_HIDDEN,E4,B,hidden,role_b_hidden_check,50,50,mean_action_premium_distance,mean_wasserstein_1d,2.38
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,50,50,send_if_act_without_check,wasserstein_1d,1.88
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,50,50,send_if_act_after_check,wasserstein_1d,1.68
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,50,50,send_if_no_act_without_check,wasserstein_1d,2.08
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,50,50,send_if_no_act_after_check,wasserstein_1d,1.8200000000000003
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,50,50,mean_send_field_distance,mean_wasserstein_1d,1.865
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,50,50,action_premium_without_check,wasserstein_1d,3.4
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,50,50,action_premium_after_check,wasserstein_1d,2.74
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,50,50,mean_action_premium_distance,mean_wasserstein_1d,3.0700000000000003
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,50,50,process_premium_if_act,wasserstein_1d,1.9600000000000002
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,50,50,process_premium_if_no_act,wasserstein_1d,2.1799999999999997
E4_ROLE_B_OBSERVABLE,E4,B,observable,role_b_observable_check,50,50,mean_process_premium_distance,mean_wasserstein_1d,2.07
E5_ROLE_A_HIDDEN,E5,A,hidden,role_a_check,50,50,return_pct,wasserstein_1d,4.300000000000001
E5_ROLE_A_HIDDEN,E5,A,hidden,role_a_check,50,50,joint_pattern_distribution,total_variation,0.21999999999999997
E5_ROLE_A_OBSERVABLE,E5,A,observable,role_a_check,50,50,return_pct,wasserstein_1d,9.54
E5_ROLE_A_OBSERVABLE,E5,A,observable,role_a_check,50,50,joint_pattern_distribution,total_variation,0.13999999999999999
E5_ROLE_B_HIDDEN,E5,B,hidden,role_b_hidden_check,50,50,send_if_act,wasserstein_1d,1.9000000000000004
E5_ROLE_B_HIDDEN,E5,B,hidden,role_b_hidden_check,50,50,send_if_no_act,wasserstein_1d,2.42
E5_ROLE_B_HIDDEN,E5,B,hidden,role_b_hidden_check,50,50,mean_send_field_distance,mean_wasserstein_1d,2.16
E5_ROLE_B_HIDDEN,E5,B,hidden,role_b_hidden_check,50,50,action_premium,wasserstein_1d,3.5999999999999996
E5_ROLE_B_HIDDEN,E5,B,hidden,role_b_hidden_check,50,50,mean_action_premium_distance,mean_wasserstein_1d,3.5999999999999996
E5_ROLE_B_OBSERVABLE,E5,B,observable,role_b_observable_check,50,50,send_if_act_without_check,wasserstein_1d,1.8599999999999999
