custom_id,parse_success,parse_errors,validation_errors,text,parsed_target,record_id,unit_id,treatment_name,variant,model,TreatmentCode,Treatment,PersonalizedTreatment,num_scenarios,scenario_manifest_json,data_source,UGProposer_delegated,UGResponder_delegated,TGSender_delegated,TGReceiver_delegated,PD_delegated,SH_delegated,C_delegated
multi_game_llm_fvk2c__1081,True,[],[],"{
  ""UGProposer_delegated"": 1,
  ""UGResponder_delegated"": 0,
  ""TGSender_delegated"": 0,
  ""TGReceiver_delegated"": 0,
  ""PD_delegated"": 1,
  ""SH_delegated"": 1,
  ""C_delegated"": 0,
  ""scenario_outputs"": [
    {
      ""scenario"": ""AISupport"",
      ""case"": ""AgainstHuman"",
      ""UGProposer_decision"": null,
      ""UGResponder_decision"": 3,
      ""TGSender_decision"": ""YES"",
      ""TGReceiver_decision"": 3,
      ""PD_decision"": null,
      ""SH_decision"": null,
      ""C_decision"": ""Earth""
    },
    {
      ""scenario"": ""NoAISupport"",
      ""case"": ""Opaque"",
      ""UGProposer_decision"": 4,
      ""UGResponder_decision"": 3,
      ""TGSender_decision"": ""YES"",
      ""TGReceiver_decision"": 3,
      ""PD_decision"": ""A"",
      ""SH_decision"": ""X"",
      ""C_decision"": ""Earth""
    }
  ]
}","{'UGProposer_delegated': 1, 'UGResponder_delegated': 0, 'TGSender_delegated': 0, 'TGReceiver_delegated': 0, 'PD_delegated': 1, 'SH_delegated': 1, 'C_delegated': 0, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': None, 'UGResponder_decision': 3, 'TGReceiver_decision': 3, 'TGSender_decision': 'YES', 'PD_decision': None, 'SH_decision': None, 'C_decision': 'Earth'}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 4, 'UGResponder_decision': 3, 'TGReceiver_decision': 3, 'TGSender_decision': 'YES', 'PD_decision': 'A', 'SH_decision': 'X', 'C_decision': 'Earth'}]}",1081,1081,ODP,baseline,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",generated,1.0,0.0,0.0,0.0,1.0,1.0,0.0
multi_game_llm_fvk2c__1095,True,[],[],"{
  ""UGProposer_delegated"": 1,
  ""UGResponder_delegated"": 0,
  ""TGSender_delegated"": 0,
  ""TGReceiver_delegated"": 1,
  ""PD_delegated"": 0,
  ""SH_delegated"": 0,
  ""C_delegated"": 0,
  ""scenario_outputs"": [
    {
      ""scenario"": ""AISupport"",
      ""case"": ""AgainstHuman"",
      ""UGProposer_decision"": null,
      ""UGResponder_decision"": 3,
      ""TGSender_decision"": ""YES"",
      ""TGReceiver_decision"": null,
      ""PD_decision"": ""A"",
      ""SH_decision"": ""X"",
      ""C_decision"": ""Earth""
    },
    {
      ""scenario"": ""NoAISupport"",
      ""case"": ""Opaque"",
      ""UGProposer_decision"": 4,
      ""UGResponder_decision"": 3,
      ""TGSender_decision"": ""YES"",
      ""TGReceiver_decision"": 2,
      ""PD_decision"": ""A"",
      ""SH_decision"": ""X"",
      ""C_decision"": ""Earth""
    }
  ]
}","{'UGProposer_delegated': 1, 'UGResponder_delegated': 0, 'TGSender_delegated': 0, 'TGReceiver_delegated': 1, 'PD_delegated': 0, 'SH_delegated': 0, 'C_delegated': 0, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': None, 'UGResponder_decision': 3, 'TGReceiver_decision': None, 'TGSender_decision': 'YES', 'PD_decision': 'A', 'SH_decision': 'X', 'C_decision': 'Earth'}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 4, 'UGResponder_decision': 3, 'TGReceiver_decision': 2, 'TGSender_decision': 'YES', 'PD_decision': 'A', 'SH_decision': 'X', 'C_decision': 'Earth'}]}",1095,1095,ODP,baseline,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",generated,1.0,0.0,0.0,1.0,0.0,0.0,0.0
multi_game_llm_fvk2c__1124,True,[],[],"{
  ""UGProposer_delegated"": 1,
  ""UGResponder_delegated"": 1,
  ""TGSender_delegated"": 0,
  ""TGReceiver_delegated"": 1,
  ""PD_delegated"": 1,
  ""SH_delegated"": 1,
  ""C_delegated"": 0,
  ""scenario_outputs"": [
    {
      ""scenario"": ""AISupport"",
      ""case"": ""AgainstHuman"",
      ""UGProposer_decision"": null,
      ""UGResponder_decision"": null,
      ""TGSender_decision"": ""YES"",
      ""TGReceiver_decision"": null,
      ""PD_decision"": null,
      ""SH_decision"": null,
      ""C_decision"": ""Earth""
    },
    {
      ""scenario"": ""NoAISupport"",
      ""case"": ""Opaque"",
      ""UGProposer_decision"": 4,
      ""UGResponder_decision"": 3,
      ""TGSender_decision"": ""YES"",
      ""TGReceiver_decision"": 3,
      ""PD_decision"": ""A"",
      ""SH_decision"": ""X"",
      ""C_decision"": ""Earth""
    }
  ]
}","{'UGProposer_delegated': 1, 'UGResponder_delegated': 1, 'TGSender_delegated': 0, 'TGReceiver_delegated': 1, 'PD_delegated': 1, 'SH_delegated': 1, 'C_delegated': 0, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': None, 'UGResponder_decision': None, 'TGReceiver_decision': None, 'TGSender_decision': 'YES', 'PD_decision': None, 'SH_decision': None, 'C_decision': 'Earth'}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 4, 'UGResponder_decision': 3, 'TGReceiver_decision': 3, 'TGSender_decision': 'YES', 'PD_decision': 'A', 'SH_decision': 'X', 'C_decision': 'Earth'}]}",1124,1124,ODP,baseline,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",generated,1.0,1.0,0.0,1.0,1.0,1.0,0.0
multi_game_llm_fvk2c__1266,True,[],[],"{
  ""UGProposer_delegated"": 1,
  ""UGResponder_delegated"": 0,
  ""TGSender_delegated"": 0,
  ""TGReceiver_delegated"": 0,
  ""PD_delegated"": 1,
  ""SH_delegated"": 1,
  ""C_delegated"": 1,
  ""scenario_outputs"": [
    {
      ""scenario"": ""AISupport"",
      ""case"": ""AgainstHuman"",
      ""UGProposer_decision"": null,
      ""UGResponder_decision"": 3,
      ""TGSender_decision"": ""YES"",
      ""TGReceiver_decision"": 3,
      ""PD_decision"": null,
      ""SH_decision"": null,
      ""C_decision"": null
    },
    {
      ""scenario"": ""NoAISupport"",
      ""case"": ""Opaque"",
      ""UGProposer_decision"": 5,
      ""UGResponder_decision"": 3,
      ""TGSender_decision"": ""YES"",
      ""TGReceiver_decision"": 3,
      ""PD_decision"": ""A"",
      ""SH_decision"": ""X"",
      ""C_decision"": ""Earth""
    }
  ]
}","{'UGProposer_delegated': 1, 'UGResponder_delegated': 0, 'TGSender_delegated': 0, 'TGReceiver_delegated': 0, 'PD_delegated': 1, 'SH_delegated': 1, 'C_delegated': 1, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': None, 'UGResponder_decision': 3, 'TGReceiver_decision': 3, 'TGSender_decision': 'YES', 'PD_decision': None, 'SH_decision': None, 'C_decision': None}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 5, 'UGResponder_decision': 3, 'TGReceiver_decision': 3, 'TGSender_decision': 'YES', 'PD_decision': 'A', 'SH_decision': 'X', 'C_decision': 'Earth'}]}",1266,1266,ODP,baseline,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",generated,1.0,0.0,0.0,0.0,1.0,1.0,1.0
multi_game_llm_fvk2c__1291,True,[],[],"{
  ""UGProposer_delegated"": 1,
  ""UGResponder_delegated"": 0,
  ""TGSender_delegated"": 1,
  ""TGReceiver_delegated"": 0,
  ""PD_delegated"": 1,
  ""SH_delegated"": 1,
  ""C_delegated"": 1,
  ""scenario_outputs"": [
    {
      ""scenario"": ""AISupport"",
      ""case"": ""AgainstHuman"",
      ""UGProposer_decision"": null,
      ""UGResponder_decision"": 3,
      ""TGSender_decision"": null,
      ""TGReceiver_decision"": 3,
      ""PD_decision"": null,
      ""SH_decision"": null,
      ""C_decision"": null
    },
    {
      ""scenario"": ""NoAISupport"",
      ""case"": ""Opaque"",
      ""UGProposer_decision"": 4,
      ""UGResponder_decision"": 3,
      ""TGSender_decision"": ""YES"",
      ""TGReceiver_decision"": 3,
      ""PD_decision"": ""A"",
      ""SH_decision"": ""X"",
      ""C_decision"": ""Earth""
    }
  ]
}","{'UGProposer_delegated': 1, 'UGResponder_delegated': 0, 'TGSender_delegated': 1, 'TGReceiver_delegated': 0, 'PD_delegated': 1, 'SH_delegated': 1, 'C_delegated': 1, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': None, 'UGResponder_decision': 3, 'TGReceiver_decision': 3, 'TGSender_decision': None, 'PD_decision': None, 'SH_decision': None, 'C_decision': None}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 4, 'UGResponder_decision': 3, 'TGReceiver_decision': 3, 'TGSender_decision': 'YES', 'PD_decision': 'A', 'SH_decision': 'X', 'C_decision': 'Earth'}]}",1291,1291,ODP,baseline,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",generated,1.0,0.0,1.0,0.0,1.0,1.0,1.0
multi_game_llm_fvk2c__1406,True,[],[],"{
  ""UGProposer_delegated"": 1,
  ""UGResponder_delegated"": 0,
  ""TGSender_delegated"": 0,
  ""TGReceiver_delegated"": 1,
  ""PD_delegated"": 1,
  ""SH_delegated"": 0,
  ""C_delegated"": 0,
  ""scenario_outputs"": [
    {
      ""scenario"": ""AISupport"",
      ""case"": ""AgainstHuman"",
      ""UGProposer_decision"": null,
      ""UGResponder_decision"": 3,
      ""TGSender_decision"": ""YES"",
      ""TGReceiver_decision"": null,
      ""PD_decision"": null,
      ""SH_decision"": ""X"",
      ""C_decision"": ""Earth""
    },
    {
      ""scenario"": ""NoAISupport"",
      ""case"": ""Opaque"",
      ""UGProposer_decision"": 5,
      ""UGResponder_decision"": 3,
      ""TGSender_decision"": ""YES"",
      ""TGReceiver_decision"": 3,
      ""PD_decision"": ""A"",
      ""SH_decision"": ""X"",
      ""C_decision"": ""Earth""
    }
  ]
}","{'UGProposer_delegated': 1, 'UGResponder_delegated': 0, 'TGSender_delegated': 0, 'TGReceiver_delegated': 1, 'PD_delegated': 1, 'SH_delegated': 0, 'C_delegated': 0, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': None, 'UGResponder_decision': 3, 'TGReceiver_decision': None, 'TGSender_decision': 'YES', 'PD_decision': None, 'SH_decision': 'X', 'C_decision': 'Earth'}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 5, 'UGResponder_decision': 3, 'TGReceiver_decision': 3, 'TGSender_decision': 'YES', 'PD_decision': 'A', 'SH_decision': 'X', 'C_decision': 'Earth'}]}",1406,1406,ODP,baseline,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",generated,1.0,0.0,0.0,1.0,1.0,0.0,0.0
multi_game_llm_fvk2c__1421,True,[],[],"{
  ""UGProposer_delegated"": 1,
  ""UGResponder_delegated"": 0,
  ""TGSender_delegated"": 0,
  ""TGReceiver_delegated"": 1,
  ""PD_delegated"": 1,
  ""SH_delegated"": 1,
  ""C_delegated"": 1,
  ""scenario_outputs"": [
    {
      ""scenario"": ""AISupport"",
      ""case"": ""AgainstHuman"",
      ""UGProposer_decision"": null,
      ""UGResponder_decision"": 3,
      ""TGSender_decision"": ""YES"",
      ""TGReceiver_decision"": null,
      ""PD_decision"": null,
      ""SH_decision"": null,
      ""C_decision"": null
    },
    {
      ""scenario"": ""NoAISupport"",
      ""case"": ""Opaque"",
      ""UGProposer_decision"": 4,
      ""UGResponder_decision"": 3,
      ""TGSender_decision"": ""YES"",
      ""TGReceiver_decision"": 3,
      ""PD_decision"": ""A"",
      ""SH_decision"": ""X"",
      ""C_decision"": ""Earth""
    }
  ]
}","{'UGProposer_delegated': 1, 'UGResponder_delegated': 0, 'TGSender_delegated': 0, 'TGReceiver_delegated': 1, 'PD_delegated': 1, 'SH_delegated': 1, 'C_delegated': 1, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': None, 'UGResponder_decision': 3, 'TGReceiver_decision': None, 'TGSender_decision': 'YES', 'PD_decision': None, 'SH_decision': None, 'C_decision': None}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 4, 'UGResponder_decision': 3, 'TGReceiver_decision': 3, 'TGSender_decision': 'YES', 'PD_decision': 'A', 'SH_decision': 'X', 'C_decision': 'Earth'}]}",1421,1421,ODP,baseline,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",generated,1.0,0.0,0.0,1.0,1.0,1.0,1.0
multi_game_llm_fvk2c__143,True,[],[],"{
  ""UGProposer_delegated"": 1,
  ""UGResponder_delegated"": 1,
  ""TGSender_delegated"": 0,
  ""TGReceiver_delegated"": 1,
  ""PD_delegated"": 1,
  ""SH_delegated"": 0,
  ""C_delegated"": 0,
  ""scenario_outputs"": [
    {
      ""scenario"": ""AISupport"",
      ""case"": ""AgainstHuman"",
      ""UGProposer_decision"": null,
      ""UGResponder_decision"": null,
      ""TGSender_decision"": ""YES"",
      ""TGReceiver_decision"": null,
      ""PD_decision"": null,
      ""SH_decision"": ""X"",
      ""C_decision"": ""Earth""
    },
    {
      ""scenario"": ""NoAISupport"",
      ""case"": ""Opaque"",
      ""UGProposer_decision"": 4,
      ""UGResponder_decision"": 3,
      ""TGSender_decision"": ""YES"",
      ""TGReceiver_decision"": 2,
      ""PD_decision"": ""A"",
      ""SH_decision"": ""X"",
      ""C_decision"": ""Earth""
    }
  ]
}","{'UGProposer_delegated': 1, 'UGResponder_delegated': 1, 'TGSender_delegated': 0, 'TGReceiver_delegated': 1, 'PD_delegated': 1, 'SH_delegated': 0, 'C_delegated': 0, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': None, 'UGResponder_decision': None, 'TGReceiver_decision': None, 'TGSender_decision': 'YES', 'PD_decision': None, 'SH_decision': 'X', 'C_decision': 'Earth'}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 4, 'UGResponder_decision': 3, 'TGReceiver_decision': 2, 'TGSender_decision': 'YES', 'PD_decision': 'A', 'SH_decision': 'X', 'C_decision': 'Earth'}]}",143,143,ODP,baseline,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",generated,1.0,1.0,0.0,1.0,1.0,0.0,0.0
multi_game_llm_fvk2c__1505,True,[],[],"{
  ""UGProposer_delegated"": 1,
  ""UGResponder_delegated"": 0,
  ""TGSender_delegated"": 0,
  ""TGReceiver_delegated"": 1,
  ""PD_delegated"": 1,
  ""SH_delegated"": 0,
  ""C_delegated"": 0,
  ""scenario_outputs"": [
    {
      ""scenario"": ""AISupport"",
      ""case"": ""AgainstHuman"",
      ""UGProposer_decision"": null,
      ""UGResponder_decision"": 3,
      ""TGSender_decision"": ""YES"",
      ""TGReceiver_decision"": null,
      ""PD_decision"": null,
      ""SH_decision"": ""X"",
      ""C_decision"": ""Earth""
    },
    {
      ""scenario"": ""NoAISupport"",
      ""case"": ""Opaque"",
      ""UGProposer_decision"": 4,
      ""UGResponder_decision"": 3,
      ""TGSender_decision"": ""YES"",
      ""TGReceiver_decision"": 2,
      ""PD_decision"": ""A"",
      ""SH_decision"": ""X"",
      ""C_decision"": ""Earth""
    }
  ]
}","{'UGProposer_delegated': 1, 'UGResponder_delegated': 0, 'TGSender_delegated': 0, 'TGReceiver_delegated': 1, 'PD_delegated': 1, 'SH_delegated': 0, 'C_delegated': 0, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': None, 'UGResponder_decision': 3, 'TGReceiver_decision': None, 'TGSender_decision': 'YES', 'PD_decision': None, 'SH_decision': 'X', 'C_decision': 'Earth'}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 4, 'UGResponder_decision': 3, 'TGReceiver_decision': 2, 'TGSender_decision': 'YES', 'PD_decision': 'A', 'SH_decision': 'X', 'C_decision': 'Earth'}]}",1505,1505,ODP,baseline,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",generated,1.0,0.0,0.0,1.0,1.0,0.0,0.0
multi_game_llm_fvk2c__153,True,[],[],"{
  ""UGProposer_delegated"": 1,
  ""UGResponder_delegated"": 1,
  ""TGSender_delegated"": 0,
  ""TGReceiver_delegated"": 1,
  ""PD_delegated"": 1,
  ""SH_delegated"": 0,
  ""C_delegated"": 0,
  ""scenario_outputs"": [
    {
      ""scenario"": ""AISupport"",
      ""case"": ""AgainstHuman"",
      ""UGProposer_decision"": null,
      ""UGResponder_decision"": null,
      ""TGSender_decision"": ""YES"",
      ""TGReceiver_decision"": null,
      ""PD_decision"": null,
      ""SH_decision"": ""X"",
      ""C_decision"": ""Earth""
    },
    {
      ""scenario"": ""NoAISupport"",
      ""case"": ""Opaque"",
      ""UGProposer_decision"": 4,
      ""UGResponder_decision"": 3,
      ""TGSender_decision"": ""YES"",
      ""TGReceiver_decision"": 2,
      ""PD_decision"": ""B"",
      ""SH_decision"": ""X"",
      ""C_decision"": ""Earth""
    }
  ]
}","{'UGProposer_delegated': 1, 'UGResponder_delegated': 1, 'TGSender_delegated': 0, 'TGReceiver_delegated': 1, 'PD_delegated': 1, 'SH_delegated': 0, 'C_delegated': 0, 'scenario_outputs': [{'scenario': 'AISupport', 'case': 'AgainstHuman', 'UGProposer_decision': None, 'UGResponder_decision': None, 'TGReceiver_decision': None, 'TGSender_decision': 'YES', 'PD_decision': None, 'SH_decision': 'X', 'C_decision': 'Earth'}, {'scenario': 'NoAISupport', 'case': 'Opaque', 'UGProposer_decision': 4, 'UGResponder_decision': 3, 'TGReceiver_decision': 2, 'TGSender_decision': 'YES', 'PD_decision': 'B', 'SH_decision': 'X', 'C_decision': 'Earth'}]}",153,153,ODP,baseline,gpt-5-mini,ODP,OpaqueDelegation,1,2,"[{""scenario_code"": ""11"", ""scenario"": ""AISupport"", ""case"": ""AgainstHuman"", ""order"": 1}, {""scenario_code"": ""2"", ""scenario"": ""NoAISupport"", ""case"": ""Opaque"", ""order"": 2}]",generated,1.0,1.0,0.0,1.0,1.0,0.0,0.0
