avatar,top1_count,top1_share,probability_mass,probability_share
CHICK,49,0.03828125,45.059999999999995,0.035203124999999995
CHICKEN,113,0.08828125,120.79999999999981,0.09437499999999985
COW,57,0.04453125,48.690000000000005,0.038039062500000005
CROCODILE,9,0.00703125,12.440000000000001,0.009718750000000002
DOG,60,0.046875,71.70999999999995,0.05602343749999996
DUCK,156,0.121875,169.37999999999994,0.13232812499999996
ELEPHANT,0,0.0,2.43,0.0018984375000000002
FROG,0,0.0,3.5100000000000002,0.0027421875000000003
GORILLA,301,0.23515625,291.6700000000003,0.22786718750000023
HORSE,0,0.0,0.15,0.0001171875
MONKEY,13,0.01015625,18.350000000000005,0.014335937500000003
MOOSE,74,0.0578125,60.01999999999998,0.046890624999999984
OWL,55,0.04296875,44.60999999999999,0.034851562499999995
PARROT,37,0.02890625,62.89999999999997,0.04914062499999998
PINGUIN,3,0.00234375,5.6,0.0043749999999999995
RABBIT,42,0.0328125,48.24,0.0376875
SLOTH,300,0.234375,261.75,0.2044921875
SNAKE,11,0.00859375,11.69,0.0091328125
WHALE,0,0.0,1.0,0.00078125
