custom_id,persona_pid,game_id,treatment_name,player,player_key,match_rank,match_probability,is_top1,mean_contribution,mean_contribution_rate,first_contribution,first_contribution_rate,final_contribution,final_contribution_rate,contribution_sd,zero_contribution_rate,full_contribution_rate,contribution_slope,message_count,messages_per_round,rounds_with_message_rate,reward_given_units,reward_given_events,reward_given_round_rate,reward_received_units,reward_received_events,reward_received_round_rate,punish_given_units,punish_given_events,punish_given_round_rate,punish_received_units,punish_received_events,punish_received_round_rate
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_5mhtM66ewYHNxSp4q__p001__g001,nemotron_9c3d91aa5e61,5mhtM66ewYHNxSp4q,VALIDATION_0_C,RABBIT,5mhtM66ewYHNxSp4q::RABBIT,1,0.45,True,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_5mhtM66ewYHNxSp4q__p001__g001,nemotron_9c3d91aa5e61,5mhtM66ewYHNxSp4q,VALIDATION_0_C,CHICKEN,5mhtM66ewYHNxSp4q::CHICKEN,2,0.35,False,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_5mhtM66ewYHNxSp4q__p001__g001,nemotron_9c3d91aa5e61,5mhtM66ewYHNxSp4q,VALIDATION_0_C,SLOTH,5mhtM66ewYHNxSp4q::SLOTH,3,0.2,False,16.666666666666668,0.8333333333333334,0.0,0.0,20.0,1.0,8.16496580927726,0.16666666666666666,0.8333333333333334,0.7142857142857143,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_2TquMDieEiixty8AN__p001__g002,nemotron_9c3d91aa5e61,2TquMDieEiixty8AN,VALIDATION_0_T,RABBIT,2TquMDieEiixty8AN::RABBIT,1,0.55,True,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,8,1.3333333333333333,0.6666666666666666,0.0,0,0.0,0.0,0,0.0,5.0,3,0.3333333333333333,1.0,1,0.16666666666666666
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_2TquMDieEiixty8AN__p001__g002,nemotron_9c3d91aa5e61,2TquMDieEiixty8AN,VALIDATION_0_T,MOOSE,2TquMDieEiixty8AN::MOOSE,2,0.3,False,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,8,1.3333333333333333,0.8333333333333334,0.0,0,0.0,0.0,0,0.0,2.0,2,0.3333333333333333,0.0,0,0.0
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_2TquMDieEiixty8AN__p001__g002,nemotron_9c3d91aa5e61,2TquMDieEiixty8AN,VALIDATION_0_T,DUCK,2TquMDieEiixty8AN::DUCK,3,0.15,False,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,5,0.8333333333333334,0.5,0.0,0,0.0,0.0,0,0.0,2.0,2,0.16666666666666666,0.0,0,0.0
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_65crAkEscRbHNJXbW__p001__g003,nemotron_9c3d91aa5e61,65crAkEscRbHNJXbW,VALIDATION_10_C,GORILLA,65crAkEscRbHNJXbW::GORILLA,1,0.6,True,10.833333333333334,0.5416666666666666,10.0,0.5,20.0,1.0,6.645800679125629,0.16666666666666666,0.16666666666666666,0.17857142857142855,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_65crAkEscRbHNJXbW__p001__g003,nemotron_9c3d91aa5e61,65crAkEscRbHNJXbW,VALIDATION_10_C,DUCK,65crAkEscRbHNJXbW::DUCK,2,0.3,False,11.666666666666666,0.5833333333333334,10.0,0.5,0.0,0.0,6.831300510639732,0.16666666666666666,0.16666666666666666,-0.14285714285714285,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_65crAkEscRbHNJXbW__p001__g003,nemotron_9c3d91aa5e61,65crAkEscRbHNJXbW,VALIDATION_10_C,SLOTH,65crAkEscRbHNJXbW::SLOTH,3,0.1,False,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_3EG5RaDj4z7hkT2JD__p001__g004,nemotron_9c3d91aa5e61,3EG5RaDj4z7hkT2JD,VALIDATION_10_T,GORILLA,3EG5RaDj4z7hkT2JD::GORILLA,1,0.8,True,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1,0.16666666666666666
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_3EG5RaDj4z7hkT2JD__p001__g004,nemotron_9c3d91aa5e61,3EG5RaDj4z7hkT2JD,VALIDATION_10_T,SLOTH,3EG5RaDj4z7hkT2JD::SLOTH,2,0.15,False,15.0,0.75,20.0,1.0,10.0,0.5,8.366600265340756,0.16666666666666666,0.6666666666666666,-0.7857142857142858,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_3EG5RaDj4z7hkT2JD__p001__g004,nemotron_9c3d91aa5e61,3EG5RaDj4z7hkT2JD,VALIDATION_10_T,DUCK,3EG5RaDj4z7hkT2JD::DUCK,3,0.05,False,8.666666666666666,0.43333333333333335,6.0,0.3,10.0,0.5,2.0655911179772892,0.0,0.0,0.2285714285714286,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1,0.16666666666666666,0.0,0,0.0
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_PmcxhmDRj2tN3cECC__p001__g005,nemotron_9c3d91aa5e61,PmcxhmDRj2tN3cECC,VALIDATION_11_C,GORILLA,PmcxhmDRj2tN3cECC::GORILLA,1,0.45,True,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,2,0.07692307692307693,0.07692307692307693,75.0,64,0.6923076923076923,63.0,25,0.5384615384615384,0.0,0,0.0,0.0,0,0.0
