custom_id,estimated_input_chars,estimated_input_tokens_char4
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_5mhtM66ewYHNxSp4q__p001__g001,8147,2037
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_2TquMDieEiixty8AN__p001__g002,11075,2769
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_65crAkEscRbHNJXbW__p001__g003,7855,1964
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_3EG5RaDj4z7hkT2JD__p001__g004,8488,2122
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_PmcxhmDRj2tN3cECC__p001__g005,19259,4815
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_925LF9k9CXpz8KjQm__p001__g006,24728,6182
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_ASQtYBWx6cGN27KxL__p001__g007,9715,2429
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_DYFJDsdGg8bppBJ7P__p001__g008,10544,2636
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_CbDvrXGkphmfGtH3G__p001__g009,16750,4188
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_FvbM5EM5aB5pcjLpA__p001__g010,13672,3418
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_C5Cd8Yq5dDbdycXKB__p001__g011,11305,2826
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_AyQkFs97hRTki5zWR__p001__g012,12412,3103
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_7oRFMBwqmesGX7t3H__p001__g013,19572,4893
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_fMhhGrfpZH9ign2AK__p001__g014,13222,3306
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_i7C4Y4NiesraiSwwb__p001__g015,11506,2876
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_7tfDsTHHnxsgrhE3d__p001__g016,13899,3475
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_r7Bk7fEwX3HSRrXMZ__p001__g017,9123,2281
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_7FQezekfKk3zctLN8__p001__g018,15278,3820
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_2khRAszouj8vP8ZfP__p001__g019,10650,2662
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_CoHyYysb84APn5gDE__p001__g020,10654,2664
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_2KKC9nMd8nRXfgH5G__p001__g021,11788,2947
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_PrfKWppTZdvPhe4oN__p001__g022,13121,3280
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_6Pxb9DsQpyk22cJNr__p001__g023,8756,2189
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_Fm7uYc98E2b6kcoDE__p001__g024,9597,2399
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_9oyspxPncwXdAkruR__p001__g025,9026,2256
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_2TDnnb4wn9rwy3CYZ__p001__g026,9966,2492
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_7ywewvEuctuz4Rq8j__p001__g027,12389,3097
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_AJ4ikZuWJeJcEXhgZ__p001__g028,11867,2967
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_3v9ji6wNY7sXHe8cM__p001__g029,11123,2781
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_8GneB6qmtDLSnbcJT__p001__g030,10010,2502
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_6sSM4xSyZQkaxyHav__p001__g031,9213,2303
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_3EQGxadfbmAKaACgZ__p001__g032,9045,2261
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_Aj2G7CTuhLZ7Z2SPK__p001__g033,9541,2385
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_FAuuG8S2iw8wkGRnA__p001__g034,11878,2970
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_SFohXkBYvScM7Y7rC__p001__g035,11006,2752
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_5R7YRmti4R5GiJKpi__p001__g036,12239,3060
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_6BxRfLcBtXYodAS8h__p001__g037,8187,2047
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_7Y6PBvgZNqtriKzaZ__p001__g038,8672,2168
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_HmA52oSS75D5Z2W8a__p001__g039,12414,3104
nemotron_pgg_match__pid_nemotron_9c3d91aa5e61__game_6pQRuemJv5faRcZft__p001__g040,12360,3090
nemotron_pgg_match__pid_nemotron_c36692df108d__game_5mhtM66ewYHNxSp4q__p002__g001,9877,2469
nemotron_pgg_match__pid_nemotron_c36692df108d__game_2TquMDieEiixty8AN__p002__g002,12805,3201
nemotron_pgg_match__pid_nemotron_c36692df108d__game_65crAkEscRbHNJXbW__p002__g003,9585,2396
nemotron_pgg_match__pid_nemotron_c36692df108d__game_3EG5RaDj4z7hkT2JD__p002__g004,10218,2554
nemotron_pgg_match__pid_nemotron_c36692df108d__game_PmcxhmDRj2tN3cECC__p002__g005,20989,5247
nemotron_pgg_match__pid_nemotron_c36692df108d__game_925LF9k9CXpz8KjQm__p002__g006,26458,6614
nemotron_pgg_match__pid_nemotron_c36692df108d__game_ASQtYBWx6cGN27KxL__p002__g007,11445,2861
nemotron_pgg_match__pid_nemotron_c36692df108d__game_DYFJDsdGg8bppBJ7P__p002__g008,12274,3068
nemotron_pgg_match__pid_nemotron_c36692df108d__game_CbDvrXGkphmfGtH3G__p002__g009,18480,4620
nemotron_pgg_match__pid_nemotron_c36692df108d__game_FvbM5EM5aB5pcjLpA__p002__g010,15402,3850
nemotron_pgg_match__pid_nemotron_c36692df108d__game_C5Cd8Yq5dDbdycXKB__p002__g011,13035,3259
