custom_id,estimated_input_chars,estimated_input_tokens_char4
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_01_m7xia7__game_1__p001__g001,9521,2380
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_02_m7xiz2__game_1__p001__g002,9882,2470
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_03_m8aexq__game_1__p001__g003,9936,2484
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_05_m7xjzy__game_1__p001__g004,9880,2470
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_07_m8ag8i__game_1__p001__g005,10044,2511
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_12_m8agmu__game_1__p001__g006,10005,2501
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_14_m8agmu__game_1__p001__g007,9999,2500
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_15_m8agmu__game_1__p001__g008,10062,2516
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_04_m8aexq__game_2_alt_profile__p001__g009,9786,2446
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_05_m7xjzy__game_2_alt_profile__p001__g010,9888,2472
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_05_m8aexq__game_2_alt_profile__p001__g011,10019,2505
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_12_m8agmu__game_2_alt_profile__p001__g012,10228,2557
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_14_m8agmu__game_2_alt_profile__p001__g013,9982,2496
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p001__g014,9811,2453
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_18_m8agzl__game_2_alt_profile__p001__g015,9743,2436
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_20_m8agzl__game_2_alt_profile__p001__g016,9787,2447
concordia_chip_match__pid_concordia_7515c263835a__record_chip3__cohort_01_m8aiq8__game_1__p001__g017,9947,2487
concordia_chip_match__pid_concordia_7515c263835a__record_chip3__cohort_05_m8aiq8__game_1__p001__g018,9904,2476
concordia_chip_match__pid_concordia_7515c263835a__record_chip3__g11_m5wp7b__game_1__p001__g019,10334,2584
concordia_chip_match__pid_concordia_7515c263835a__record_chip3__g17_m5wp8w__game_1__p001__g020,10006,2502
concordia_chip_match__pid_concordia_7515c263835a__record_chip3__g20_m5wq93__game_1__p001__g021,10077,2519
concordia_chip_match__pid_concordia_7515c263835a__record_chip3__g6_m5wp77__game_1__p001__g022,10069,2517
concordia_chip_match__pid_concordia_7515c263835a__record_chip3__g7_m5wp78__game_1__p001__g023,10383,2596
concordia_chip_match__pid_concordia_7515c263835a__record_chip3__g9_m5wp79__game_1__p001__g024,9970,2492
concordia_chip_match__pid_concordia_7515c263835a__record_chip3__cohort_01_m8aiq8__game_2_alt_profile__p001__g025,9736,2434
concordia_chip_match__pid_concordia_7515c263835a__record_chip3__cohort_02_m8aiq8__game_2_alt_profile__p001__g026,9922,2480
concordia_chip_match__pid_concordia_7515c263835a__record_chip3__cohort_03_m8aiq8__game_2_alt_profile__p001__g027,9800,2450
concordia_chip_match__pid_concordia_7515c263835a__record_chip3__cohort_06_m8ak4g__game_2_alt_profile__p001__g028,10030,2508
concordia_chip_match__pid_concordia_7515c263835a__record_chip3__g12_m5wp8p__game_2_alt_profile__p001__g029,9822,2456
concordia_chip_match__pid_concordia_7515c263835a__record_chip3__g13_m5wp8q__game_2_alt_profile__p001__g030,10434,2608
concordia_chip_match__pid_concordia_7515c263835a__record_chip3__g3_m5wp6q__game_2_alt_profile__p001__g031,10272,2568
concordia_chip_match__pid_concordia_7515c263835a__record_chip3__g7_m5wp78__game_2_alt_profile__p001__g032,10484,2621
concordia_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_02_m89542__game_1__p001__g033,9990,2498
concordia_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_04_m8aboy__game_1__p001__g034,10133,2533
concordia_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_05_m7xlsd__game_1__p001__g035,10052,2513
concordia_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_05_m89542__game_1__p001__g036,10226,2556
concordia_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_05_m898xg__game_1__p001__g037,10221,2555
concordia_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_06_m89b9z__game_1__p001__g038,10046,2512
concordia_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_06_m8acrp__game_1__p001__g039,10395,2599
concordia_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_07_m8ad4g__game_1__p001__g040,10608,2652
concordia_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_01_m898xg__game_2_alt_profile__p001__g041,9853,2463
concordia_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_02_m7xl5i__game_2_alt_profile__p001__g042,10307,2577
concordia_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_02_m89542__game_2_alt_profile__p001__g043,10002,2500
concordia_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_02_m8aboy__game_2_alt_profile__p001__g044,10080,2520
concordia_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_03_m898xg__game_2_alt_profile__p001__g045,10244,2561
concordia_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_04_m89542__game_2_alt_profile__p001__g046,10342,2586
concordia_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_05_m7xlsd__game_2_alt_profile__p001__g047,10203,2551
concordia_chip_match__pid_concordia_7515c263835a__record_chip4__cohort_05_m898xg__game_2_alt_profile__p001__g048,10586,2646
concordia_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_01_m7xia7__game_1__p002__g001,9169,2292
concordia_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_02_m7xiz2__game_1__p002__g002,9530,2382
concordia_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_03_m8aexq__game_1__p002__g003,9584,2396
concordia_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_05_m7xjzy__game_1__p002__g004,9528,2382
concordia_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_07_m8ag8i__game_1__p002__g005,9692,2423
concordia_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_12_m8agmu__game_1__p002__g006,9653,2413
concordia_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_14_m8agmu__game_1__p002__g007,9647,2412
concordia_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_15_m8agmu__game_1__p002__g008,9710,2428
concordia_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_04_m8aexq__game_2_alt_profile__p002__g009,9434,2358
concordia_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_05_m7xjzy__game_2_alt_profile__p002__g010,9536,2384
concordia_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_05_m8aexq__game_2_alt_profile__p002__g011,9667,2417
concordia_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_12_m8agmu__game_2_alt_profile__p002__g012,9876,2469
concordia_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_14_m8agmu__game_2_alt_profile__p002__g013,9630,2408
concordia_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_15_m8agmu__game_2_alt_profile__p002__g014,9459,2365
concordia_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_18_m8agzl__game_2_alt_profile__p002__g015,9391,2348
concordia_chip_match__pid_concordia_5d41cb61a36a__record_chip2__cohort_20_m8agzl__game_2_alt_profile__p002__g016,9435,2359
concordia_chip_match__pid_concordia_5d41cb61a36a__record_chip3__cohort_01_m8aiq8__game_1__p002__g017,9595,2399
concordia_chip_match__pid_concordia_5d41cb61a36a__record_chip3__cohort_05_m8aiq8__game_1__p002__g018,9552,2388
concordia_chip_match__pid_concordia_5d41cb61a36a__record_chip3__g11_m5wp7b__game_1__p002__g019,9982,2496
concordia_chip_match__pid_concordia_5d41cb61a36a__record_chip3__g17_m5wp8w__game_1__p002__g020,9654,2414
concordia_chip_match__pid_concordia_5d41cb61a36a__record_chip3__g20_m5wq93__game_1__p002__g021,9725,2431
