custom_id,persona_pid,persona_source,condition,persona_index,source_key,name,raw_profile_chars,raw_profile_sha1,record_id,unit_id,treatment_name,chip_family,chip_family_display,cohort_name,stage_name,stage_code,experiment_name,players,model,top_k
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_01_m7xia7__game_1__p001__g001,concordia_7515c263835a,concordia_persona_generator,concordia_chip_bargain_game_grounded_alphaevolve_5,1,concordia_chip_bargain_game_grounded_alphaevolve_5:001:Irene the Egalitarian,Irene the Egalitarian,4498,4eb71917b811772862056efcd2ea9778f3d72a04,chip2__cohort_01_m7xia7__game_1,chip2__cohort_01_m7xia7__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 01-m7xia7,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""dog-orange-384"", ""buffalo-red-6989"", ""cat-pink-8143""]",gpt-5-mini,3
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_02_m7xiz2__game_1__p001__g002,concordia_7515c263835a,concordia_persona_generator,concordia_chip_bargain_game_grounded_alphaevolve_5,1,concordia_chip_bargain_game_grounded_alphaevolve_5:001:Irene the Egalitarian,Irene the Egalitarian,4498,4eb71917b811772862056efcd2ea9778f3d72a04,chip2__cohort_02_m7xiz2__game_1,chip2__cohort_02_m7xiz2__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 02-m7xiz2,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""otter-blue-1497"", ""peacock-pink-777"", ""badger-red-827""]",gpt-5-mini,3
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_03_m8aexq__game_1__p001__g003,concordia_7515c263835a,concordia_persona_generator,concordia_chip_bargain_game_grounded_alphaevolve_5,1,concordia_chip_bargain_game_grounded_alphaevolve_5:001:Irene the Egalitarian,Irene the Egalitarian,4498,4eb71917b811772862056efcd2ea9778f3d72a04,chip2__cohort_03_m8aexq__game_1,chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 03-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""dog-purple-778"", ""peacock-purple-2249"", ""owl-orange-1045""]",gpt-5-mini,3
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_05_m7xjzy__game_1__p001__g004,concordia_7515c263835a,concordia_persona_generator,concordia_chip_bargain_game_grounded_alphaevolve_5,1,concordia_chip_bargain_game_grounded_alphaevolve_5:001:Irene the Egalitarian,Irene the Egalitarian,4498,4eb71917b811772862056efcd2ea9778f3d72a04,chip2__cohort_05_m7xjzy__game_1,chip2__cohort_05_m7xjzy__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 05-m7xjzy,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""owl-yellow-7660"", ""iguana-red-1137"", ""whale-blue-4588""]",gpt-5-mini,3
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_07_m8ag8i__game_1__p001__g005,concordia_7515c263835a,concordia_persona_generator,concordia_chip_bargain_game_grounded_alphaevolve_5,1,concordia_chip_bargain_game_grounded_alphaevolve_5:001:Irene the Egalitarian,Irene the Egalitarian,4498,4eb71917b811772862056efcd2ea9778f3d72a04,chip2__cohort_07_m8ag8i__game_1,chip2__cohort_07_m8ag8i__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 07-m8ag8i,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""whale-green-1798"", ""swan-pink-1424"", ""turtle-yellow-7601""]",gpt-5-mini,3
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_12_m8agmu__game_1__p001__g006,concordia_7515c263835a,concordia_persona_generator,concordia_chip_bargain_game_grounded_alphaevolve_5,1,concordia_chip_bargain_game_grounded_alphaevolve_5:001:Irene the Egalitarian,Irene the Egalitarian,4498,4eb71917b811772862056efcd2ea9778f3d72a04,chip2__cohort_12_m8agmu__game_1,chip2__cohort_12_m8agmu__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 12-m8agmu,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""monkey-pink-6874"", ""buffalo-orange-6610"", ""goose-purple-9985""]",gpt-5-mini,3
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_14_m8agmu__game_1__p001__g007,concordia_7515c263835a,concordia_persona_generator,concordia_chip_bargain_game_grounded_alphaevolve_5,1,concordia_chip_bargain_game_grounded_alphaevolve_5:001:Irene the Egalitarian,Irene the Egalitarian,4498,4eb71917b811772862056efcd2ea9778f3d72a04,chip2__cohort_14_m8agmu__game_1,chip2__cohort_14_m8agmu__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 14-m8agmu,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""ram-pink-8623"", ""squid-yellow-4597"", ""otter-pink-5988""]",gpt-5-mini,3
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_15_m8agmu__game_1__p001__g008,concordia_7515c263835a,concordia_persona_generator,concordia_chip_bargain_game_grounded_alphaevolve_5,1,concordia_chip_bargain_game_grounded_alphaevolve_5:001:Irene the Egalitarian,Irene the Egalitarian,4498,4eb71917b811772862056efcd2ea9778f3d72a04,chip2__cohort_15_m8agmu__game_1,chip2__cohort_15_m8agmu__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 15-m8agmu,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""camel-pink-767"", ""butterfly-yellow-2139"", ""alligator-orange-9612""]",gpt-5-mini,3
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_04_m8aexq__game_2_alt_profile__p001__g009,concordia_7515c263835a,concordia_persona_generator,concordia_chip_bargain_game_grounded_alphaevolve_5,1,concordia_chip_bargain_game_grounded_alphaevolve_5:001:Irene the Egalitarian,Irene the Egalitarian,4498,4eb71917b811772862056efcd2ea9778f3d72a04,chip2__cohort_04_m8aexq__game_2_alt_profile,chip2__cohort_04_m8aexq__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 04-m8aexq,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p3,"[""iguana-orange-9224"", ""ram-red-5745"", ""dolphin-purple-6605""]",gpt-5-mini,3
concordia_chip_match__pid_concordia_7515c263835a__record_chip2__cohort_05_m7xjzy__game_2_alt_profile__p001__g010,concordia_7515c263835a,concordia_persona_generator,concordia_chip_bargain_game_grounded_alphaevolve_5,1,concordia_chip_bargain_game_grounded_alphaevolve_5:001:Irene the Egalitarian,Irene the Egalitarian,4498,4eb71917b811772862056efcd2ea9778f3d72a04,chip2__cohort_05_m7xjzy__game_2_alt_profile,chip2__cohort_05_m7xjzy__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,chip2,2-Chip Bargaining,Cohort 05-m7xjzy,Second negotiation game-negotiation2_alternate_profile,GAME_2_ALT_PROFILE,🟢 2p2 (n=20),"[""iguana-red-1137"", ""owl-yellow-7660"", ""whale-blue-4588""]",gpt-5-mini,3
