text,umap_x,umap_y,cluster_id,cluster_title,cluster_intro,cluster_size
"The player appears aware that the game has a finite horizon, but they do not exhibit a simple linear decay or a pure “end-spurt” of defection. In the final portion of the game, they continue to vary their contributions, sometimes contributing very little and sometimes at moderate-to-high levels. They do not switch into a pure defector mode in the last few rounds, nor do they escalate to full cooperation as a final gesture. Instead, their late-game behavior remains conditional and opportunistic: they adjust contributions up when the group as a whole still looks reasonably cooperative, and they reduce them when the environment seems more mixed or deteriorating, even very close to the final round. This implies that, even when the end is near, their primary reference remains the current cooperative climate and expected payoff, not a strict backward-induction logic or a moral norm about “finishing strong.” In short, their end-game strategy continues the same pattern as earlier: flexible conditional cooperation with intermittent free-riding, rather than a clear terminal collapse or a final cooperative surge.",-0.11477559,-1.0634463,1,End / End / Cooperation,"This cluster groups personas with related strategy patterns around end, game, end game, cooperation, final.",340
"The player shows clear awareness of the finite horizon. Their contribution pattern does not shift into sustained cooperation at the end; instead, they largely maintain their default of zero contribution through the final stretch and do not exhibit a last‑round “gift” or attempt to influence future reputation (which is meaningless here). There is no visible end-game escalation of cooperation. Their sporadic full contributions continue to appear interspersed with many zeroes across the later part of the game, but these cooperative spikes are not concentrated at the end and do not increase as the game approaches its conclusion. This supports the view that the player’s occasional cooperation is situationally motivated by local conditions (e.g., others’ high contributions) rather than shaped by long-run future interaction concerns. In the final rounds, they do not attempt to rebuild or amplify group cooperation even when others continue to contribute substantial amounts. This suggests they internalize the classic end-game logic of public goods and prioritize extracting value over sustaining norms once the horizon is short. Their type in new environments is therefore best modeled as horizon-aware, strategically free riding in late stages, and not prone to sentimental or reputational “last-round generosity” in the absence of explicit future benefits.",0.3461994,-1.7102839,5,End / Cooperation / Round,"This cluster groups personas with related strategy patterns around game, end, cooperation, round, final.",219
"Awareness of the game horizon does not meaningfully erode this player’s cooperation. Across the late portion of the game, including the final rounds, they continue to contribute the maximum amount. There is no visible “end-game unraveling” where they reduce contributions as the remaining number of rounds shrinks. Instead, their cooperative stance is maintained right through the final decision. They do not attempt to exploit the group in the final round by dropping their contribution, even though doing so would be individually profitable and cannot be punished or rewarded in future interactions. This suggests that their strategy is not based on backward induction about future payoffs, but on a more time-invariant rule or internal standard (“I contribute fully in this kind of game”). Their behavior is consistent with a player who either does not prioritize horizon-based optimization or who values maintaining a cooperative identity or principle more than capturing the one-shot gain from late defection. The absence of contribution decay near the end of the game also indicates that they either do not expect others to massively defect in the final rounds, or, if they do, they still choose to cooperate despite that expectation. In either case, the looming end does not shift them into a more self-interested mode. They remain a stable, high contributor from start to finish, with no systematic end-game adjustment beyond ordinary payoff fluctuations caused by others’ changing behavior.",-1.2723657,0.011256768,0,End / End / Cooperation,"This cluster groups personas with related strategy patterns around end, game, end game, cooperation, round.",350
"Despite full knowledge of the finite horizon, this player does not display a classic end-game decay in cooperation. They sustain maximal contributions through the final phase, including the last few rounds and the very last decision, with no observable reduction. There is no evidence that remaining-round information changes their strategy: they do not ramp up free-riding near the end, nor do they escalate contributions (they are already at ceiling most of the time). Awareness of the game’s approaching end therefore either does not factor into their decision rule, or is consciously overridden by a stable norm to keep contributing fully. In the final rounds, even when others’ contributions are mixed or relatively low, they continue to contribute the maximum. This suggests they do not attempt to “cash out” at the end by exploiting the group once future reciprocity is impossible. Instead, their behavior is time-invariant: they cooperate in early, middle, and late stages in essentially the same way. Overall, their horizon awareness appears behaviorally irrelevant; they act like a rule-following, norm-driven cooperator who does not strategically adjust for the end-game.",-0.9492972,0.74035156,0,End / End / Cooperation,"This cluster groups personas with related strategy patterns around end, game, end game, cooperation, round.",350
"The player shows clear horizon awareness: their behavior in the final stretch does not collapse into pure defection but becomes more jagged and exploratory. In late rounds, they alternate between high and low giving rather than steadily ramping down cooperation. This indicates they recognize the approaching end but do not interpret it as a strict signal to stop contributing altogether. There is no evidence of a classic end-game cascade where contributions monotonically decay to zero. Instead, the player continues to sometimes contribute very generously even when only a few rounds remain, suggesting that their cooperative inclination persists despite the finite horizon. At the same time, the presence of some very low late contributions shows that they are willing to take advantage of the remaining opportunities for private gain and may be probing how little they can contribute while still benefiting from others’ cooperation. They seem to treat the late game as a space for strategic experimentation rather than a simple “grab what you can” phase. This pattern is consistent with a player who values both payoff and a self-image (or implicit norm) of being at least somewhat cooperative, even when future interaction is limited.",-0.678598,-1.0379345,1,End / End / Cooperation,"This cluster groups personas with related strategy patterns around end, game, end game, cooperation, final.",340
"The player shows clear awareness of the finite horizon and uses the late game to experiment and occasionally exploit, rather than following a simple end-game collapse. Near the final stretch, they continue to alternate between mid-level contributions, free-riding, and full contributions, indicating that they do not adopt a straightforward “contribute nothing at the end” policy. They do not exhibit a smooth decay in cooperation as the game approaches its conclusion. Instead, their behavior remains flexible and context-sensitive: sometimes they reduce contributions sharply even with rounds remaining, and sometimes they sustain high contributions very late. This suggests they do not rigidly apply backward induction logic, but they understand that late-round moves have fewer future repercussions and are therefore more willing to shift to opportunistic strategies. In the very last part of the game, they continue to condition their decisions on what they see others doing, rather than purely on the fact that the game is ending. They are still prepared to fully cooperate in the final round when the group looks sufficiently cooperative, implying that they value the immediate gains from one more cooperative round more than the short-term benefit of a final free-ride in an already cooperative environment. Their end-game approach is thus characterized by: (1) sustained responsiveness to the observed cooperative climate, (2) willingness to occasionally free-ride when it seems low-risk to reputation or future payoffs (even late), and (3) no strong evidence of a strict “last-round defection” principle. This end-game pattern is consistent with a player who understands the horizon but remains primarily driven by short-run payoff calculus and conditional reciprocity rather than by a fully rationalized backward-induction strategy.",-0.5858815,-1.4307737,1,End / End / Cooperation,"This cluster groups personas with related strategy patterns around end, game, end game, cooperation, final.",340
"The player is aware of the finite horizon and shows a classic end-game shift toward non-cooperation. In the final stretch, they increasingly default to zero contributions, even while others commonly continue to contribute positively. This pattern indicates that as the number of remaining rounds shrinks, they become less willing to “invest” in the public fund and more inclined to secure private coins. They do not attempt any terminal “gift” or last-round cooperative gesture. Instead, the final decision is to free-ride entirely, which is consistent with standard backward-induction reasoning: with no future rounds, there is no strategic value in maintaining a cooperative reputation. This supports the interpretation that their earlier cooperative moves are at least partly strategic and conditional on ongoing interaction, rather than purely driven by unconditional altruism. The end-game response suggests the player treats cooperation as contingent on future benefits and continuation of the relationship. As continuation value approaches zero, their willingness to support the group decays, and they rely on others’ residual cooperation to maintain high payoffs for themselves.",0.7405895,-1.7166681,5,End / Cooperation / Round,"This cluster groups personas with related strategy patterns around game, end, cooperation, round, final.",219
"The player is clearly aware of the game horizon and behaves in line with a backward-induction style intuition. As the end of the game approaches, they increasingly favor defection over cooperation, even when others continue to contribute substantially. In the final stretch, they alternate between full contribution and full defection, but the last rounds are dominated by zero contributions despite continued high cooperation by some peers. There is no final-round “gift” or symbolic cooperative gesture; instead, they end on defection. This pattern suggests that as remaining rounds shrink, the player downgrades the value of sustaining group cooperation and focuses more narrowly on extracting last-period gains. They do not attempt to preserve a cooperative environment for future mutual benefit once the future is short or nonexistent. There is some residual variability near the end, indicating they are not following a perfectly mechanical “always defect at the end” rule. However, the overarching trend is a decay of cooperation as the terminal round approaches, consistent with strategic horizon awareness and a preference for late-game exploitation over sustained collective welfare.",0.8511693,-1.8656515,5,End / Cooperation / Round,"This cluster groups personas with related strategy patterns around game, end, cooperation, round, final.",219
"The player shows clear awareness of the finite horizon and behaves consistently with end-game defection. In the final portion of the game, they converge to a stable pattern of contributing nothing, even when others continue to contribute generously. There is no last-round “gift” or symbolic act of cooperation; they maintain defection through the final decision. They do not display a gradual decay from cooperation to defection driven by frustration; instead, their earlier behavior already alternates between cooperative and non-cooperative phases. As the game approaches its conclusion, this alternation disappears and their strategy simplifies to persistent zero contributions. This shift suggests that, once the remaining opportunities for reciprocal benefits or norm-building become small, they prioritize securing individual payoffs over sustaining cooperation. Their end-game conduct implies that they expect little or no future consequence—material or reputational—from their choices when rounds are nearly exhausted. They treat late rounds as chances to harvest benefits from others’ residual cooperation without feeling compelled to reciprocate. This aligns with a forward-looking, payoff-maximizing mindset that discounts long-term group outcomes as the horizon shortens. In new environments, this player is likely to maintain some conditional cooperation when many rounds remain and others are cooperative, but to transition toward persistent free-riding as the end approaches, especially if there is no punishment or reputational mechanism to discipline late defection.",0.7773508,-1.9366862,5,End / Cooperation / Round,"This cluster groups personas with related strategy patterns around game, end, cooperation, round, final.",219
"The player clearly exhibits horizon awareness and an end-game effect. For the majority of the game, they maintain full cooperation, even when others’ contributions vary and when free-riding is evident. This persistence implies that the eventual drop in contributions is not driven by ongoing disappointment or gradual erosion of trust, but is more tightly linked to the knowledge that the game is finite and approaching its conclusion. As the remaining number of rounds becomes small, they shift from their long-standing pattern of full contribution to low or zero contributions. This transition is abrupt rather than incremental, indicating a deliberate strategic pivot rather than a slow decay in cooperation. Once they start reducing contributions near the end, they do not revert back to a fully cooperative stance in the final round, instead moving to complete free-riding at the very end. This aligns with a classic end-game defection pattern: they take advantage of the group’s continued cooperation when reputational or future-round concerns are nearly irrelevant. The pattern suggests that earlier cooperation is likely sustained by a mix of intrinsic prosocial preference and forward-looking reasoning (“cooperate while many rounds remain, because mutual cooperation is valuable”), whereas the final-round choices reveal that, given a clear horizon and no punishment/reward mechanisms, they are willing to exploit the public good when future consequences are negligible. Their end-game behavior therefore shows that they are not a pure unconditional cooperator; they are a conditional cooperator whose condition is primarily tied to time horizon and future-interaction value, rather than directly to fine-grained observation of others’ current contributions.",0.1598202,-1.761407,1,End / End / Cooperation,"This cluster groups personas with related strategy patterns around end, game, end game, cooperation, final.",340
