split,factor,direction,eval_granularity,model,oracle_best_delta_r2,synthetic_best_delta_r2,oracle_best_delta_rmse,synthetic_best_delta_rmse,synthetic_beats_oracle_on_r2_gain,synthetic_beats_oracle_on_rmse_drop
all_or_nothing/false_to_true,all_or_nothing,false_to_true,game,ridge,0.16254082905210154,0.05846889424362001,-0.01964713651565997,-0.006914916753082645,False,False
all_or_nothing/false_to_true,all_or_nothing,false_to_true,game,linear,0.17571389043161645,0.009854056499115416,-0.020828924977964958,-0.0011302649071064375,False,False
all_or_nothing/false_to_true,all_or_nothing,false_to_true,config_treatment,ridge,1.3483897028619252,0.4711901328678829,-0.04637811693960012,-0.014881663605503498,False,False
all_or_nothing/false_to_true,all_or_nothing,false_to_true,config_treatment,linear,1.6195379380263324,0.26953440932469297,-0.052629348840953605,-0.007822775877398352,False,False
all_or_nothing/true_to_false,all_or_nothing,true_to_false,game,ridge,0.024108344890134692,0.028214235955702938,-0.003097079846787809,-0.0036282248174685505,True,True
all_or_nothing/true_to_false,all_or_nothing,true_to_false,game,linear,0.03422831939871762,0.026526059606552632,-0.004314927265480495,-0.0033378428778305103,False,False
all_or_nothing/true_to_false,all_or_nothing,true_to_false,config_treatment,ridge,0.1046803935767533,0.07991593843725342,-0.007102917853610363,-0.005390423485551604,False,False
all_or_nothing/true_to_false,all_or_nothing,true_to_false,config_treatment,linear,0.1172838273327137,0.10476172109371884,-0.007446900306649601,-0.0066342462979898376,False,False
default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,game,ridge,0.035279278283301574,0.009520750647795007,-0.00457222868675361,-0.0012266640083019587,False,False
default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,game,linear,0.024715463967390106,0.011884452561578662,-0.0031982089159524607,-0.0015333682911373714,False,False
default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,config_treatment,ridge,-0.036364486443857924,0.023203513209865356,0.0009144905010922688,-0.0005864883696652112,True,True
default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,config_treatment,linear,-0.1153926704299999,0.018650758727853933,0.0028294556276658445,-0.00046232524643460837,True,True
default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,game,ridge,0.38878237015744943,0.23245482909618098,-0.05007165361052476,-0.02871416096906501,False,False
default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,game,linear,0.3986945120978532,0.2599725235904431,-0.04877545734671018,-0.03075380573985559,False,False
default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,config_treatment,ridge,0.6059781347690512,0.4825808824748169,-0.04122055594041624,-0.0318814682193822,False,False
default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,config_treatment,linear,0.69789713212108,0.5516835268801739,-0.04533642217988865,-0.03472073265688841,False,False
mpcr/high_to_low,mpcr,high_to_low,game,ridge,0.04844702551471203,0.15372849374123665,-0.0053963574014667115,-0.017483023626300553,True,True
mpcr/high_to_low,mpcr,high_to_low,game,linear,0.09888807937060773,0.2715347499320111,-0.010730051009408936,-0.03045998356523022,True,True
mpcr/high_to_low,mpcr,high_to_low,config_treatment,ridge,0.029150794107686284,0.5862582022588128,-0.0012064924605813543,-0.025915155776607773,True,True
mpcr/high_to_low,mpcr,high_to_low,config_treatment,linear,0.07431491421894831,1.0139929989598564,-0.00301567003276923,-0.04618894650178662,True,True
mpcr/low_to_high,mpcr,low_to_high,game,ridge,0.16254032827926712,0.04005135146336514,-0.022956494600882477,-0.0054696916345207125,False,False
mpcr/low_to_high,mpcr,low_to_high,game,linear,0.1005801327575494,0.009432984449092574,-0.013779627179036025,-0.0012623676283282648,False,False
mpcr/low_to_high,mpcr,low_to_high,config_treatment,ridge,0.180762215118079,0.2784502961010096,-0.009308590151417856,-0.014580126792688525,True,True
mpcr/low_to_high,mpcr,low_to_high,config_treatment,linear,0.1855125773274311,0.20135568879904775,-0.009405963254451866,-0.010235456722253733,True,True
