sample_index,scenario_index,sample_within_scenario,custom_id,source_custom_id,response_id,extended_session_id,user_id,scenario_order,scenario_hash,global_count,left_action,right_action,option_a_screen_side,option_b_screen_side,option_a_action,option_b_action,gold_choice,gold_action,user_country3,user_country3_raw_full_file,review_age,review_education,review_gender,review_income,review_political,review_religious,scenario_type,scenario_type_strict,attribute_level,pedped,input_char_count,estimated_input_tokens_4_chars_per_token,estimated_input_tokens_3_5_chars_per_token,prompt,source_run_name,prompt_version,temperature_included
7,2,2,mm_individual_demo_002_02_ab_wvsw6covered168,mm_individual_demo_002_02_ab,CheQ7cN25L87xk2L5,888415234_8310678366330779.0,8310678366330780,7,3fe05ffd77c1035b31afc74d4707772e,25765,swerve,stay,left,right,swerve,stay,B,stay,USA,USA,34,college,male,under5000,0.5,0.5,Age,Age,Young,1,799,200,229,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 34
Gender: Male
Education: Attended college
Annual income: Under $5,000
Political views: 0.50 on a conservative (0) to progressive (1) scale
Religiosity: 0.50 on a not religious (0) to very religious (1) scale
Country: USA

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve through the other-lane crossing. The following pedestrians die: 1 elderly woman.
(B) Continue ahead through the crossing. The following pedestrians die: 1 woman.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
10,2,5,mm_individual_demo_002_05_ab_wvsw6covered168,mm_individual_demo_002_05_ab,nSLJc9oPN2jeb3A8r,715481522_9838808252105222.0,9838808252105220,4,3fe05ffd77c1035b31afc74d4707772e,25765,swerve,stay,left,right,swerve,stay,A,swerve,JPN,JPN,39,graduate,female,50000,0.5,0.53,Age,Age,Young,1,803,201,230,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 39
Gender: Female
Education: Graduate degree
Annual income: $50,001-$80,000
Political views: 0.50 on a conservative (0) to progressive (1) scale
Religiosity: 0.53 on a not religious (0) to very religious (1) scale
Country: JPN

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve through the other-lane crossing. The following pedestrians die: 1 elderly woman.
(B) Continue ahead through the crossing. The following pedestrians die: 1 woman.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
14,3,4,mm_individual_demo_003_04_ab_wvsw6covered168,mm_individual_demo_003_04_ab,pWScK5ChZ3TaG76zJ,-1216096028_5781482425930788.0,5781482425930790,3,a121064b5297f135808ea2f0c17843d0,25742,swerve,stay,left,right,swerve,stay,B,stay,JPN,JPN,48,vocational,male,80000,0.77,0,Fitness,Fitness,Fat,1,807,202,231,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 48
Gender: Male
Education: Vocational training
Annual income: $80,001-$100,000
Political views: 0.77 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: JPN

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve through the other-lane crossing. The following pedestrians die: 1 female athlete.
(B) Continue ahead through the crossing. The following pedestrians die: 1 woman.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
15,3,5,mm_individual_demo_003_05_ab_wvsw6covered168,mm_individual_demo_003_05_ab,uTQTNJ6sumq4bJSKs,257804197_9875114337704510.0,9875114337704510,5,a121064b5297f135808ea2f0c17843d0,25742,swerve,stay,left,right,swerve,stay,A,swerve,USA,USA,53,graduate,male,50000,0.18,0.73,Fitness,Fitness,Fat,1,802,201,230,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 53
Gender: Male
Education: Graduate degree
Annual income: $50,001-$80,000
Political views: 0.18 on a conservative (0) to progressive (1) scale
Religiosity: 0.73 on a not religious (0) to very religious (1) scale
Country: USA

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve through the other-lane crossing. The following pedestrians die: 1 female athlete.
(B) Continue ahead through the crossing. The following pedestrians die: 1 woman.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
17,4,2,mm_individual_demo_004_02_ab_wvsw6covered168,mm_individual_demo_004_02_ab,58wWqGbd5z2CeYcNN,666367340_5557769832472477.0,5557769832472480,7,acfec2d5b57f36619c3db73768def157,25541,stay,swerve,left,right,stay,swerve,B,swerve,NLD,NLD,24,college,male,under5000,0.78,0,Random,Fitness,Rand,1,796,199,228,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 24
Gender: Male
Education: Attended college
Annual income: Under $5,000
Political views: 0.78 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: NLD

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 male athlete.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 man.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
18,4,3,mm_individual_demo_004_03_ab_wvsw6covered168,mm_individual_demo_004_03_ab,d7djfwTnynr6qf46y,-464977203_2788858228879094.0,2788858228879090,12,acfec2d5b57f36619c3db73768def157,25541,swerve,stay,left,right,swerve,stay,B,stay,USA,USA,22,college,male,35000,1,0,Random,Fitness,Rand,1,799,200,229,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 22
Gender: Male
Education: Attended college
Annual income: $35,001-$50,000
Political views: 1.00 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: USA

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve through the other-lane crossing. The following pedestrians die: 1 man.
(B) Continue ahead through the crossing. The following pedestrians die: 1 male athlete.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
21,5,1,mm_individual_demo_005_01_ab_wvsw6covered168,mm_individual_demo_005_01_ab,F36SckpmDBHZvDkxR,948911392_3465809703827098.0,3465809703827100,11,c55e348b5da3928fc12a45b370e7611f,25516,stay,swerve,left,right,stay,swerve,A,stay,BRA,BRA,22,high,male,under5000,0.5,0.5,Fitness,Fitness,Fat,1,799,200,229,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 22
Gender: Male
Education: High school diploma
Annual income: Under $5,000
Political views: 0.50 on a conservative (0) to progressive (1) scale
Religiosity: 0.50 on a not religious (0) to very religious (1) scale
Country: BRA

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 man.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 male athlete.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
25,5,5,mm_individual_demo_005_05_ab_wvsw6covered168,mm_individual_demo_005_05_ab,zKhjibAE3uFDtC6YS,894955348_5747543530272617.0,5747543530272620,6,c55e348b5da3928fc12a45b370e7611f,25516,stay,swerve,left,right,stay,swerve,B,swerve,USA,USA,22,high,male,15000,0.5,0.5,Fitness,Fitness,Fat,1,802,201,230,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 22
Gender: Male
Education: High school diploma
Annual income: $15,001-$25,000
Political views: 0.50 on a conservative (0) to progressive (1) scale
Religiosity: 0.50 on a not religious (0) to very religious (1) scale
Country: USA

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 man.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 male athlete.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
26,6,1,mm_individual_demo_006_01_ab_wvsw6covered168,mm_individual_demo_006_01_ab,EXsr9NiY2DS3GXECN,-1230578222_230658173339529.0,230658173339529,7,315628bbd8130d1fd2fc5fbf1ee7604b,25476,stay,swerve,left,right,stay,swerve,A,stay,DEU,DEU,29,graduate,male,50000,0.7,0.27,Age,Age,Old,1,797,200,228,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 29
Gender: Male
Education: Graduate degree
Annual income: $50,001-$80,000
Political views: 0.70 on a conservative (0) to progressive (1) scale
Religiosity: 0.27 on a not religious (0) to very religious (1) scale
Country: DEU

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Continue ahead through the crossing. The following pedestrians die: 1 elderly man.
(B) Swerve through the other-lane crossing. The following pedestrians die: 1 man.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
32,7,2,mm_individual_demo_007_02_ab_wvsw6covered168,mm_individual_demo_007_02_ab,EPtJqdGwx3NbGXREj,1320428650_3355279977043515.0,3355279977043520,6,2ea9bc96836b52b20015d5aa83de37ad,25427,swerve,stay,left,right,swerve,stay,B,stay,NLD,NLD,30,graduate,male,25000,0.9,0,Random,Fitness,Rand,1,802,201,230,"A participant with the following profile answered a Moral Machine dilemma.

Participant profile:
Age: 30
Gender: Male
Education: Graduate degree
Annual income: $25,001-$35,000
Political views: 0.90 on a conservative (0) to progressive (1) scale
Religiosity: 0.00 on a not religious (0) to very religious (1) scale
Country: NLD

A self-driving car's brakes suddenly fail, and you must choose one to either stay on course or swerve.

(A) Swerve through the other-lane crossing. The following pedestrians die: 1 woman.
(B) Continue ahead through the crossing. The following pedestrians die: 1 female athlete.

Which option did this participant choose?
Answer with A or B only.
Answer:",mm_individual_demographic_complete_5_per_scenario_n_gt_10000_actual_order_seed0_gpt_5_mini_ab_no_logprobs,individual_demographic_ab_no_logprobs_v1,False
