game_id,treatment_name,config_id,created_at,num_rounds,num_players,avatars,valid_number_of_starting_players,has_complete_gold_trajectory,repeat_count
gucxYCpGb5Z3d39ya,VALIDATION_18_T,18,2024-07-08T17:45:29Z,23,4,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",True,True,1
HyMH2wFdBsGCcERZ7,VALIDATION_19_C,19,2024-07-08T17:45:35Z,29,4,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",True,True,1
Q6TuxJF8RKdyoTqAt,VALIDATION_5_T,5,2024-07-08T17:45:55Z,6,4,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",True,True,1
bZbAH4FHLEBMsmH25,VALIDATION_10_C,10,2024-07-08T17:45:59Z,6,3,"[""SLOTH"", ""GORILLA"", ""DUCK""]",True,True,1
5Cc83tYuWvA6YkhBj,VALIDATION_1_T,1,2024-07-08T17:46:18Z,16,3,"[""SLOTH"", ""GORILLA"", ""DUCK""]",True,False,1
nHcKpmNKxaNEPMFHn,VALIDATION_2_C,2,2024-07-08T17:46:19Z,10,4,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",True,True,1
PrfKWppTZdvPhe4oN,VALIDATION_19_T,19,2024-07-08T17:46:25Z,29,4,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",True,True,1
8v9GMEiWGwG2KBXJv,VALIDATION_18_C,18,2024-07-08T17:46:34Z,23,4,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",True,False,1
4BF53pRkes6rAZfB4,VALIDATION_2_T,2,2024-07-08T17:46:48Z,10,4,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",True,True,1
DYRPApJAy2LnezJW3,VALIDATION_1_C,1,2024-07-08T17:46:55Z,16,3,"[""SLOTH"", ""GORILLA"", ""DUCK""]",True,True,1
cpr2J9YgrWEKvGzbH,VALIDATION_10_T,10,2024-07-08T17:47:02Z,6,3,"[""SLOTH"", ""GORILLA"", ""DUCK""]",True,False,1
NDZjLyXkq2jq8TPHZ,VALIDATION_18_T,18,2024-07-08T17:47:03Z,23,4,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",True,False,1
WxHesP9kqtYXogDbi,VALIDATION_2_T,2,2024-07-08T17:47:12Z,10,4,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",True,True,1
65crAkEscRbHNJXbW,VALIDATION_10_C,10,2024-07-08T17:47:14Z,6,3,"[""SLOTH"", ""GORILLA"", ""DUCK""]",True,True,1
Fm7uYc98E2b6kcoDE,VALIDATION_1_T,1,2024-07-08T17:47:21Z,16,3,"[""SLOTH"", ""GORILLA"", ""DUCK""]",True,True,1
EZDNBZXqSWEGgM3rB,VALIDATION_1_C,1,2024-07-08T17:47:44Z,16,3,"[""SLOTH"", ""GORILLA"", ""DUCK""]",True,True,1
hoYh5A3kzJp7czidB,VALIDATION_18_C,18,2024-07-08T17:47:57Z,23,4,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",True,True,1
DzCRjHQttCBN587JL,VALIDATION_18_C,18,2024-07-08T17:48:26Z,23,4,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",True,True,1
KeCNqo8rknDTPRXCN,VALIDATION_1_T,1,2024-07-08T17:48:27Z,16,3,"[""SLOTH"", ""GORILLA"", ""DUCK""]",True,True,1
gjCPZyem7WSjeD3JL,VALIDATION_5_T,5,2024-07-08T17:49:17Z,6,4,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",True,True,1
3Ce6KgbmNCQEwYBfk,VALIDATION_19_C,19,2024-07-08T17:49:28Z,29,4,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",True,True,1
XcwKJ8eiRs6TmysXX,VALIDATION_10_T,10,2024-07-08T17:49:28Z,6,3,"[""SLOTH"", ""GORILLA"", ""DUCK""]",True,True,1
tJkMprsjP2TMEFy4u,VALIDATION_5_C,5,2024-07-08T17:49:35Z,6,4,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN""]",True,True,1
