custom_id,record_id,unit_id,treatment_name,chip_family,chip_family_display,cohort_name,stage_name,stage_code,experiment_name,data_source,round,turn_index,absolute_turn_index,sender_id,buy_color,buy_quantity,sell_color,sell_quantity,status,recipient_id,accepted_binary,num_acceptors,multiple_acceptors_binary,proposer_net_surplus,trade_ratio,group_total_welfare_before,group_total_welfare_after,group_surplus_before,group_surplus_after,group_surplus_ratio_before,group_surplus_ratio_after
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,0,0,0,buffalo-green-2230,GREEN,2,RED,1,DECLINED,,0,0,0,0.9,0.5,41.0,41.0,0.0,0.0,0.0,0.0
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,0,1,1,bear-green-5745,RED,1,GREEN,2,ACCEPTED,buffalo-green-2230,1,1,0,-0.4,2.0,41.0,41.5,0.0,0.5,0.0,0.02517985611510791
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,0,2,2,goose-green-3433,GREEN,1,BLUE,2,DECLINED,,0,0,0,0.3,2.0,41.5,41.5,0.5,0.5,0.02517985611510791,0.02517985611510791
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,1,0,3,buffalo-green-2230,BLUE,1,RED,2,ACCEPTED,bear-green-5745,1,1,0,0.49999999999999994,2.0,41.5,42.2,0.5,1.2000000000000028,0.02517985611510791,0.060431654676259126
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,1,1,4,bear-green-5745,RED,1,BLUE,1,DECLINED,,0,0,0,-0.4,1.0,42.2,42.2,1.2000000000000028,1.2000000000000028,0.060431654676259126,0.060431654676259126
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,1,2,5,goose-green-3433,RED,1,BLUE,1,ACCEPTED,bear-green-5745,1,1,0,0.0,1.0,42.2,42.599999999999994,1.2000000000000028,1.5999999999999943,0.060431654676259126,0.08057553956834503
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,2,0,6,buffalo-green-2230,GREEN,1,RED,1,DECLINED,,0,0,0,0.4,1.0,42.599999999999994,42.599999999999994,1.5999999999999943,1.5999999999999943,0.08057553956834503,0.08057553956834503
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,2,1,7,bear-green-5745,GREEN,1,RED,1,ACCEPTED,goose-green-3433,1,1,0,-0.09999999999999998,1.0,42.599999999999994,42.1,1.5999999999999943,1.1000000000000014,0.08057553956834503,0.05539568345323747
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,2,2,8,goose-green-3433,GREEN,1,BLUE,3,ACCEPTED,buffalo-green-2230,1,1,0,0.19999999999999996,3.0,42.1,43.900000000000006,1.1000000000000014,2.9000000000000057,0.05539568345323747,0.14604316546762616
chip_bargain__chip3_cohort_02_m8aiq8_game_1,chip3__cohort_02_m8aiq8__game_1,chip3__cohort_02_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 02-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,generated,0,0,0,otter-blue-7516,RED,1,BLUE,2,DECLINED,,0,0,0,0.19999999999999996,2.0,61.0,61.0,0.0,0.0,0.0,0.0
