treatment_name,metric_family,metric,distance_kind,score
CHIP2__GAME_1,distribution_distance,final_surplus_ratio,wasserstein_1d,0.1883753166155235
CHIP2__GAME_1,distribution_distance,final_total_surplus,wasserstein_1d,1.1390151515151496
CHIP2__GAME_1,distribution_distance,mean_player_final_surplus,wasserstein_1d,0.3796717171717165
CHIP2__GAME_1,distribution_distance,proposer_net_surplus,wasserstein_1d,0.8071548821548821
CHIP2__GAME_1,distribution_distance,trade_ratio,wasserstein_1d,0.46909152409560906
CHIP2__GAME_1,distribution_distance,acceptance_rate,wasserstein_1d,0.19318181818181818
CHIP2__GAME_1,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,0.5673972335865965
CHIP2__GAME_1,distribution_distance,accepted_trade_ratio,wasserstein_1d,0.3550531265171827
CHIP2__GAME_1,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,1.0282267441860464
CHIP2__GAME_1,distribution_distance,declined_trade_ratio,wasserstein_1d,0.430161738467997
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,final_surplus_ratio,wasserstein_1d,0.17077916725670267
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,final_total_surplus,wasserstein_1d,1.0000000000000004
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,mean_player_final_surplus,wasserstein_1d,0.33333333333333354
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,proposer_net_surplus,wasserstein_1d,0.7118518518518516
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,trade_ratio,wasserstein_1d,0.30279197397252955
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,acceptance_rate,wasserstein_1d,0.13518518518518519
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,0.4045542635658914
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,accepted_trade_ratio,wasserstein_1d,0.12422826688815063
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,0.9827472527472525
CHIP2__GAME_2_ALT_PROFILE,distribution_distance,declined_trade_ratio,wasserstein_1d,0.41969086469086475
CHIP3__GAME_1,distribution_distance,final_surplus_ratio,wasserstein_1d,0.3112948545237385
CHIP3__GAME_1,distribution_distance,final_total_surplus,wasserstein_1d,5.141847826086953
CHIP3__GAME_1,distribution_distance,mean_player_final_surplus,wasserstein_1d,1.7139492753623176
CHIP3__GAME_1,distribution_distance,proposer_net_surplus,wasserstein_1d,1.208917069243156
CHIP3__GAME_1,distribution_distance,trade_ratio,wasserstein_1d,0.40693549830023257
CHIP3__GAME_1,distribution_distance,acceptance_rate,wasserstein_1d,0.1111111111111111
CHIP3__GAME_1,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,0.9455797101449275
CHIP3__GAME_1,distribution_distance,accepted_trade_ratio,wasserstein_1d,0.3058839429491603
CHIP3__GAME_1,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,1.5906249999999997
CHIP3__GAME_1,distribution_distance,declined_trade_ratio,wasserstein_1d,0.542005981136416
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,final_surplus_ratio,wasserstein_1d,0.3026698157060753
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,final_total_surplus,wasserstein_1d,4.683333333333331
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,mean_player_final_surplus,wasserstein_1d,1.5611111111111104
