split,factor,direction,eval_granularity,model,oracle_best_delta_r2,synthetic_best_delta_r2,oracle_best_delta_r2_oos_train_mean,synthetic_best_delta_r2_oos_train_mean,oracle_best_delta_rmse,synthetic_best_delta_rmse,synthetic_beats_oracle_on_r2_gain,synthetic_beats_oracle_on_r2_oos_gain,synthetic_beats_oracle_on_rmse_drop
all_or_nothing/false_to_true,all_or_nothing,false_to_true,config_treatment,linear,0.4464613063043401,0.14217277528001082,0.44452182784515415,0.14155516064858675,-0.016233305558503844,-0.004890425094921519,False,False,False
all_or_nothing/false_to_true,all_or_nothing,false_to_true,config_treatment,ridge,0.37380198252517993,0.09064036861917835,0.37217814439436925,0.09024661659635536,-0.01371536912317868,-0.0031565893183247012,False,False,False
all_or_nothing/false_to_true,all_or_nothing,false_to_true,game,linear,0.25788839560058696,0.04980650261954267,0.25566382946933397,0.049376867704851835,-0.01815727522745858,-0.0033429967737860777,False,False,False
all_or_nothing/false_to_true,all_or_nothing,false_to_true,game,ridge,0.26890643326400065,0.03613484002965728,0.2665868246498869,0.03582313798078851,-0.01913411670236778,-0.0024352909730818995,False,False,False
all_or_nothing/true_to_false,all_or_nothing,true_to_false,config_treatment,linear,0.4883415631604887,0.14689241650259222,0.46260015260153886,0.13914943845927774,-0.017783406302813748,-0.0049514783394105505,False,False,False
all_or_nothing/true_to_false,all_or_nothing,true_to_false,config_treatment,ridge,0.40894292631090434,0.08372343310688679,0.3873867685814263,0.07931021205918154,-0.014982617826335143,-0.002849655661447223,False,False,False
all_or_nothing/true_to_false,all_or_nothing,true_to_false,game,linear,0.2947263536737238,0.03656388954165202,0.29020824436099446,0.03600337078318816,-0.02010002238421095,-0.0023386513416081833,False,False,False
all_or_nothing/true_to_false,all_or_nothing,true_to_false,game,ridge,0.27560257506650343,0.029013283665847434,0.27137763031521533,0.028568514524949462,-0.01887006049518969,-0.0018675609029729923,False,False,False
default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,config_treatment,linear,0.6857236998175857,-0.02296931537300262,0.6782671304354364,-0.022719546707015148,-0.019827538146535525,0.0006035993810537543,False,False,False
default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,config_treatment,ridge,0.744348040291579,-0.017641259727777747,0.7362539889872739,-0.01744942841556929,-0.021729209714548947,0.00046394630056241504,False,False,False
default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,game,linear,0.1599213095971388,0.08546528812262189,0.15892495511617288,0.08493281547715315,-0.009769127275190082,-0.0051398221603370375,False,False,False
default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,game,ridge,0.175080087964129,0.0951984252121767,0.17398929005476726,0.09460531240075709,-0.010637737474791076,-0.005688855168490353,False,False,False
default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,config_treatment,linear,0.41839635991119783,0.15217394921686345,0.4040636323718745,0.14696102682630763,-0.018143151080871014,-0.006136076933834278,False,False,False
default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,config_treatment,ridge,0.45215893516724215,0.1206737790505853,0.43666962540460896,0.11653993716764044,-0.020037934357468576,-0.004873447514227802,False,False,False
default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,game,linear,0.35529856410510274,0.020370812844011654,0.3517293607226376,0.020166174881881105,-0.025968938586899165,-0.0013698386786806516,False,False,False
default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,game,ridge,0.3855514741075522,0.025430858946790647,0.38167836071919625,0.025175389555855965,-0.028853230779791766,-0.001733094315855943,False,False,False
mpcr/high_to_low,mpcr,high_to_low,config_treatment,linear,0.1010458696803016,0.5349587133002711,0.10101479348164566,0.534794189175734,-0.00305562367186768,-0.017320472319680813,True,True,True
mpcr/high_to_low,mpcr,high_to_low,config_treatment,ridge,0.13120874982894337,0.39030074850521057,0.13116839717338236,0.3901807132812627,-0.0039381541302518225,-0.012175278376526016,True,True,True
mpcr/high_to_low,mpcr,high_to_low,game,linear,0.14930239246696875,0.15723637365057952,0.14926934807885228,0.157201573272159,-0.008638969049499956,-0.009113649350568909,True,True,True
mpcr/high_to_low,mpcr,high_to_low,game,ridge,0.12047053069016944,0.14272647273062078,0.1204438675208328,0.14269488375953032,-0.0069967478636698,-0.008329527866515612,True,True,True
mpcr/low_to_high,mpcr,low_to_high,config_treatment,linear,0.8689106817316248,0.19391880141398365,0.778216749886577,0.17367821866057098,-0.0274343294856369,-0.005455756357722261,False,False,False
mpcr/low_to_high,mpcr,low_to_high,config_treatment,ridge,0.512332149962601,-0.09186100667168984,0.45885666845725737,-0.08227286826637448,-0.018017192632915777,0.002860526102503022,False,False,False
mpcr/low_to_high,mpcr,low_to_high,game,linear,0.4206564300449146,0.0632355959185027,0.41919781459194716,0.06301632810088109,-0.031006781119391175,-0.004298017475705823,False,False,False
mpcr/low_to_high,mpcr,low_to_high,game,ridge,0.3404456201793755,0.0006926957026118785,0.33926513366586697,0.0006902937979129664,-0.026211501989089003,-4.908870492081885e-05,False,False,False
num_rounds/high_to_low,num_rounds,high_to_low,config_treatment,linear,-0.001014666988699231,0.01642063673081051,-0.0006049997519922412,0.009790878446170326,4.509698089182751e-05,-0.0007349021010748802,True,True,True
num_rounds/high_to_low,num_rounds,high_to_low,config_treatment,ridge,0.018968095130508345,0.07744608382939522,0.011309811965436123,0.04617757553108559,-0.0008502144594870198,-0.0035575676147957397,True,True,True
num_rounds/high_to_low,num_rounds,high_to_low,game,linear,0.03415126534338142,-0.0013014236336883478,0.031673421056447215,-0.001206998871291165,-0.0023056015519478945,8.705143052770148e-05,False,False,False
num_rounds/high_to_low,num_rounds,high_to_low,game,ridge,0.030189458290368232,0.008530283455593701,0.02799906282483322,0.007911368931816876,-0.002040852210562022,-0.0005733849713430994,False,False,False
num_rounds/low_to_high,num_rounds,low_to_high,config_treatment,linear,-1.8320005294289652,-0.2963606116927686,-1.6033237112763263,-0.2593678266913385,0.05385096036579426,0.010742387833325998,True,True,True
num_rounds/low_to_high,num_rounds,low_to_high,config_treatment,ridge,-1.5147454723773328,-0.08480545418919916,-1.3256695581676718,-0.07421973594597353,0.04581095436722342,0.003175770231361938,True,True,True
num_rounds/low_to_high,num_rounds,low_to_high,game,linear,-0.32081167886248374,-0.09045331698219483,-0.3048147160008159,-0.08594295016010944,0.021811625094746795,0.006464157187085762,True,True,True
num_rounds/low_to_high,num_rounds,low_to_high,game,ridge,-0.2691043032567524,-0.05391049899363809,-0.25568567847233936,-0.05122230430785524,0.01843309837631435,0.003872762947765701,True,True,True
player_count/high_to_low,player_count,high_to_low,config_treatment,linear,0.12476061484558176,0.18463881200280174,0.1185254132728637,0.17541105841718818,-0.0032556284809280717,-0.004868111811593329,True,True,True
player_count/high_to_low,player_count,high_to_low,config_treatment,ridge,0.12496082161538613,0.1701984883991181,0.11871561424422361,0.16169242353358415,-0.003319872031097404,-0.00455829474200066,True,True,True
player_count/high_to_low,player_count,high_to_low,game,linear,0.04838264585784269,0.03439113967704266,0.04780442857343692,0.03398013380832454,-0.0033467076130009044,-0.0023711970539826988,False,False,False
player_count/high_to_low,player_count,high_to_low,game,ridge,0.0445838144545736,0.03966938368588946,0.04405099671248225,0.03919529792844045,-0.0030950347373491782,-0.002750709925486816,False,False,False
player_count/low_to_high,player_count,low_to_high,config_treatment,linear,-0.07313387127694426,0.39442498147260974,-0.06449913066937829,0.3478561708149194,0.0032706395873605826,-0.020019499778397565,True,True,True
player_count/low_to_high,player_count,low_to_high,config_treatment,ridge,0.19019775695243113,0.34531444402262146,0.16774156440102117,0.30454399662089715,-0.009745101986581947,-0.01866685136401805,True,True,True
player_count/low_to_high,player_count,low_to_high,game,linear,-0.015437631485111014,0.2041987087357826,-0.015158903014429903,0.20051187414228244,0.0009415854566867943,-0.013125069934522796,True,True,True
player_count/low_to_high,player_count,low_to_high,game,ridge,0.1740990687477212,0.1705451916148153,0.17095568712043674,0.16746597570746002,-0.011349219219848758,-0.011107111832739283,False,False,False
reward_exists/false_to_true,reward_exists,false_to_true,config_treatment,linear,-0.03579953019324944,0.012941121006559309,-0.035692768014581544,0.012902527699171884,0.0012709530055900892,-0.0004643922377441795,True,True,True
reward_exists/false_to_true,reward_exists,false_to_true,config_treatment,ridge,-0.02132341454971054,0.026760321730299408,-0.021259823374583986,0.02668051648608638,0.0007679153215238849,-0.0009743053082364034,True,True,True
reward_exists/false_to_true,reward_exists,false_to_true,game,linear,0.17176716013959192,-0.010403866325384925,0.17093247196674588,-0.010353309605656724,-0.011824993512136922,0.0006814877321983381,False,False,False
reward_exists/false_to_true,reward_exists,false_to_true,game,ridge,0.17749585366566867,-0.013746347654978286,0.17663332738495485,-0.013679548426312582,-0.012300590834863095,0.0009036624467958221,False,False,False
reward_exists/true_to_false,reward_exists,true_to_false,config_treatment,linear,0.1575818123022743,-0.1260899733453017,0.14044558912159344,-0.11237832799408243,-0.008438546118969603,0.00610157499351012,False,False,False
reward_exists/true_to_false,reward_exists,true_to_false,config_treatment,ridge,0.22403721081866945,-0.16041699613220384,0.1996742999644544,-0.14297246108381378,-0.012010198601975955,0.007521242771054773,False,False,False
reward_exists/true_to_false,reward_exists,true_to_false,game,linear,0.2350400249220591,-0.059848719178362986,0.23219395532567233,-0.059124018693444746,-0.01878005302088734,0.00442139439112238,False,False,False
reward_exists/true_to_false,reward_exists,true_to_false,game,ridge,0.23627682518758175,-0.03203734961038962,0.23341577933498636,-0.03164941344204886,-0.018787873951463974,0.002371914114642465,False,False,False
show_n_rounds/false_to_true,show_n_rounds,false_to_true,config_treatment,linear,0.25756591931878425,-0.19870127527294423,0.25698905870967237,-0.19825625157187265,-0.0097218227451355,0.0067979329576835085,False,False,False
show_n_rounds/false_to_true,show_n_rounds,false_to_true,config_treatment,ridge,0.22066856702141702,-0.009009105674709916,0.2201743440111662,-0.00898892832282705,-0.008419998523997968,0.0003257537448498188,False,False,False
show_n_rounds/false_to_true,show_n_rounds,false_to_true,game,linear,0.1692710858368437,-0.09334572951615971,0.16911538732976672,-0.09325986848055634,-0.012282574551004594,0.006357714601169101,False,False,False
show_n_rounds/false_to_true,show_n_rounds,false_to_true,game,ridge,0.16150313626976753,-0.017428078568054506,0.16135458285864535,-0.01741204791638795,-0.011807377207670722,0.001218093420727262,False,False,False
show_n_rounds/true_to_false,show_n_rounds,true_to_false,config_treatment,linear,0.05890660934030423,0.12877204441128864,0.050381217294999336,0.11013521952226024,-0.0033224838977404664,-0.007529300171900476,True,True,True
show_n_rounds/true_to_false,show_n_rounds,true_to_false,config_treatment,ridge,0.11265914697631396,0.1026814919463569,0.09635429755077507,0.087820681174134,-0.0064716390406527186,-0.005868163725079152,False,False,False
