custom_id,player_id,player_mean_contribution_rate,player_mean_normalized_payoff,player_contribution_volatility,player_punish_round_rate,player_reward_round_rate,observed_rounds,game_id,treatment_name,chat_enabled,punishment_enabled,reward_enabled,num_rounds,twin_pid,seat_index,message_count,player_message_rate,behavioral_stability,communication_coordination,conditional_cooperation,cooperation_orientation,exploitation_caution,generosity_without_return,norm_enforcement,model_name
trajectory_completion_compact__VALIDATION_0_C__4HwmGmWXPq5jBJust__k0__rep1,2yunydh5Agi94fKzz,0.0,0.4967948717948718,0.0,0.0,0.0,6,4HwmGmWXPq5jBJust,VALIDATION_0_C,True,False,False,6,959,1,1,0.16666666666666666,0.45,0.52,0.44,0.47,0.47,0.4,0.42,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__4HwmGmWXPq5jBJust__k0__rep1,6HQffGKjktcwg8Quc,0.0,0.4967948717948718,0.0,0.0,0.0,6,4HwmGmWXPq5jBJust,VALIDATION_0_C,True,False,False,6,840,2,3,0.5,0.51,0.53,0.52,0.47,0.7,0.38,0.48,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__4HwmGmWXPq5jBJust__k0__rep1,AZhFuYKbaQre2fAw3,0.8333333333333334,0.3365384615384615,0.37267799624996495,0.0,0.0,6,4HwmGmWXPq5jBJust,VALIDATION_0_C,True,False,False,6,967,3,4,0.6666666666666666,0.76,0.78,0.51,0.66,0.74,0.51,0.36,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__4HwmGmWXPq5jBJust__k0__rep1,CnSNLi8nTZPtm7R2p,0.5,0.4006410256410256,0.5,0.0,0.0,6,4HwmGmWXPq5jBJust,VALIDATION_0_C,True,False,False,6,1246,4,2,0.3333333333333333,0.76,0.62,0.42,0.57,0.57,0.48,0.27,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__4HwmGmWXPq5jBJust__k0__rep1,JLnn422YuJYk597jB,0.16666666666666666,0.4647435897435897,0.37267799624996495,0.0,0.0,6,4HwmGmWXPq5jBJust,VALIDATION_0_C,True,False,False,6,807,5,2,0.3333333333333333,0.45,0.65,0.47,0.49,0.6,0.44,0.29,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__4HwmGmWXPq5jBJust__k0__rep1,Q3Ku7KoCnQPYmiDPc,1.0,0.30448717948717946,0.0,0.0,0.0,6,4HwmGmWXPq5jBJust,VALIDATION_0_C,True,False,False,6,365,6,8,1.3333333333333333,0.89,0.56,0.49,0.68,0.66,0.54,0.43,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__4HwmGmWXPq5jBJust__k0__rep1,aq723Gp2Hbx8jzyKC,0.5,0.4006410256410256,0.5,0.0,0.0,6,4HwmGmWXPq5jBJust,VALIDATION_0_C,True,False,False,6,1860,7,1,0.16666666666666666,0.47,0.59,0.4,0.66,0.41,0.6,0.1,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__4HwmGmWXPq5jBJust__k0__rep1,eanaR9rJpG7rDvW55,1.0,0.30448717948717946,0.0,0.0,0.0,6,4HwmGmWXPq5jBJust,VALIDATION_0_C,True,False,False,6,1083,8,3,0.5,1.0,0.53,0.4,0.73,0.54,0.6,0.44,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__4HwmGmWXPq5jBJust__k0__rep1,hYKgtEBJYL9a5uZvB,0.0,0.4967948717948718,0.0,0.0,0.0,6,4HwmGmWXPq5jBJust,VALIDATION_0_C,True,False,False,6,956,9,0,0.0,0.56,0.62,0.43,0.54,0.59,0.49,0.38,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__4HwmGmWXPq5jBJust__k0__rep1,zXxt9tNsDKoq9CSYR,0.16666666666666666,0.4647435897435897,0.372677996249965,0.0,0.0,6,4HwmGmWXPq5jBJust,VALIDATION_0_C,True,False,False,6,1170,10,0,0.0,0.59,0.65,0.39,0.55,0.57,0.48,0.26,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep1,4gT34YLZqdaAKRdDm,0.3333333333333333,0.2932692307692308,0.47140452079103173,0.0,0.0,6,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,6,582,1,6,1.0,0.72,0.65,0.45,0.57,0.51,0.55,0.37,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep1,BkZ3DgkibN5TXtofd,0.0,0.3573717948717949,0.0,0.0,0.0,6,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,6,159,2,2,0.3333333333333333,0.71,0.48,0.43,0.56,0.61,0.52,0.49,gpt-5-mini twin
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep1,CnvagBR5g5TnXgCzE,0.16666666666666666,0.32532051282051283,0.372677996249965,0.0,0.0,6,5mhtM66ewYHNxSp4q,VALIDATION_0_C,True,False,False,6,707,3,2,0.3333333333333333,0.29,0.45,0.4,0.63,0.41,0.63,0.23,gpt-5-mini twin
