custom_id,input_token_estimate
minority_game_bret_njzas__00okp6aa,569
minority_game_bret_njzas__01ccqf0z,573
minority_game_bret_njzas__01ubxp0s,568
minority_game_bret_njzas__02tv1qz6,558
minority_game_bret_njzas__0559yfs3,572
minority_game_bret_njzas__06k1m1d7,564
minority_game_bret_njzas__06mfopjs,576
minority_game_bret_njzas__09rqx4uq,568
minority_game_bret_njzas__09x7uvd0,570
minority_game_bret_njzas__0bbscwqf,570
minority_game_bret_njzas__0bhpk52r,575
minority_game_bret_njzas__0i1ucuab,560
minority_game_bret_njzas__0ki3gzxu,572
minority_game_bret_njzas__0kj460f8,596
minority_game_bret_njzas__0m4fqa3c,572
minority_game_bret_njzas__0m7xfyrf,572
minority_game_bret_njzas__0nelw9on,566
minority_game_bret_njzas__0qle7ojp,568
minority_game_bret_njzas__0qncdp9c,568
minority_game_bret_njzas__0qzrk6y4,570
minority_game_bret_njzas__0rkfpg4y,558
minority_game_bret_njzas__0uv2u7fc,574
minority_game_bret_njzas__0wflnbp0,559
minority_game_bret_njzas__0wupqta6,558
minority_game_bret_njzas__0xr34tdz,568
minority_game_bret_njzas__0yglyhdd,596
minority_game_bret_njzas__0zjur574,558
minority_game_bret_njzas__10sh2gpu,568
minority_game_bret_njzas__11ap908k,574
minority_game_bret_njzas__13sjb2ga,568
minority_game_bret_njzas__14u2q57s,568
minority_game_bret_njzas__17f6k3tr,596
minority_game_bret_njzas__18rzbjbi,568
minority_game_bret_njzas__1a26yhab,596
minority_game_bret_njzas__1b9tpbk9,569
minority_game_bret_njzas__1bk4p145,568
minority_game_bret_njzas__1bnswiop,572
minority_game_bret_njzas__1bv3xmsr,596
minority_game_bret_njzas__1c1v4m3l,564
minority_game_bret_njzas__1c83zx2v,568
minority_game_bret_njzas__1comz3i1,596
minority_game_bret_njzas__1dyjj6re,575
minority_game_bret_njzas__1il6d8ib,579
minority_game_bret_njzas__1kke2fei,564
minority_game_bret_njzas__1kn3wycc,564
minority_game_bret_njzas__1lc5i4uy,586
minority_game_bret_njzas__1lwf1w71,560
minority_game_bret_njzas__1oh7w126,572
minority_game_bret_njzas__1p9rr7u3,568
minority_game_bret_njzas__1pe997jd,568
minority_game_bret_njzas__1t8icpyc,582
minority_game_bret_njzas__1tug5ox6,568
minority_game_bret_njzas__1vejabcc,562
minority_game_bret_njzas__1w89t6bi,572
minority_game_bret_njzas__1wpe6w08,602
minority_game_bret_njzas__1wrtrf72,568
minority_game_bret_njzas__1xaldoqp,574
minority_game_bret_njzas__1xamkfqz,596
minority_game_bret_njzas__1z2cfppg,596
minority_game_bret_njzas__23946y1t,578
minority_game_bret_njzas__244g0nnj,564
minority_game_bret_njzas__24gfz160,558
minority_game_bret_njzas__25nh9s2p,570
minority_game_bret_njzas__26ilcv5v,575
minority_game_bret_njzas__27e3kjxi,568
