custom_id,entity_kind,entity_id,treatment_name,round_number,num_active_players,total_contribution,total_contribution_rate,total_round_payoff,round_normalized_efficiency,within_round_contribution_rate_var,message_count,has_chat
trajectory_completion_compact__VALIDATION_0_C__K3BKmGpJcMFNK3TJz__k0__rep1,generated,trajectory_completion_compact__VALIDATION_0_C__K3BKmGpJcMFNK3TJz__k0__rep1,VALIDATION_0_C,1,10,200,1.0,1240.0,1.0,0.0,4,1
trajectory_completion_compact__VALIDATION_0_C__tjEFcmYxtEBx3PZzY__k0__rep1,generated,trajectory_completion_compact__VALIDATION_0_C__tjEFcmYxtEBx3PZzY__k0__rep1,VALIDATION_0_C,1,10,180,0.9,1140.0,0.9038461538461539,0.09000000000000001,6,1
trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep1,generated,trajectory_completion_compact__VALIDATION_0_C__5mhtM66ewYHNxSp4q__k0__rep1,VALIDATION_0_C,1,10,160,0.8,1030.0,0.7980769230769231,0.16000000000000003,5,1
trajectory_completion_compact__VALIDATION_0_C__DLhhTyaSmN26NPemM__k0__rep1,generated,trajectory_completion_compact__VALIDATION_0_C__DLhhTyaSmN26NPemM__k0__rep1,VALIDATION_0_C,1,10,120,0.6,820.0,0.5961538461538461,0.24,3,1
trajectory_completion_compact__VALIDATION_0_C__eKvYkv4QEg8DiocsW__k0__rep1,generated,trajectory_completion_compact__VALIDATION_0_C__eKvYkv4QEg8DiocsW__k0__rep1,VALIDATION_0_C,1,10,160,0.8,1030.0,0.7980769230769231,0.16,5,1
trajectory_completion_compact__VALIDATION_0_C__4HwmGmWXPq5jBJust__k0__rep1,generated,trajectory_completion_compact__VALIDATION_0_C__4HwmGmWXPq5jBJust__k0__rep1,VALIDATION_0_C,1,10,160,0.8,1030.0,0.7980769230769231,0.16000000000000003,4,1
trajectory_completion_compact__VALIDATION_0_C__kkGkkWk4kCvb4t5fK__k0__rep1,generated,trajectory_completion_compact__VALIDATION_0_C__kkGkkWk4kCvb4t5fK__k0__rep1,VALIDATION_0_C,1,10,160,0.8,1030.0,0.7980769230769231,0.16000000000000003,3,1
trajectory_completion_compact__VALIDATION_0_C__F9zgaNoZPFFagrLwk__k0__rep1,generated,trajectory_completion_compact__VALIDATION_0_C__F9zgaNoZPFFagrLwk__k0__rep1,VALIDATION_0_C,1,10,160,0.8,1030.0,0.7980769230769231,0.16,3,1
trajectory_completion_compact__VALIDATION_0_C__AaPW26f94YzzFxPLk__k0__rep1,generated,trajectory_completion_compact__VALIDATION_0_C__AaPW26f94YzzFxPLk__k0__rep1,VALIDATION_0_C,1,10,160,0.8,1030.0,0.7980769230769231,0.16,5,1
trajectory_completion_compact__VALIDATION_0_C__pYDEzMS4KKQzGsFQW__k0__rep1,generated,trajectory_completion_compact__VALIDATION_0_C__pYDEzMS4KKQzGsFQW__k0__rep1,VALIDATION_0_C,1,10,160,0.8,1030.0,0.7980769230769231,0.16000000000000003,5,1
