custom_id,input_token_estimate
chip_bargain__chip2_cohort_01_m7xia7_game_1,2997
chip_bargain__chip2_cohort_01_m8aexq_game_1,3008
chip_bargain__chip2_cohort_02_m7xiz2_game_1,3020
chip_bargain__chip2_cohort_02_m8aexq_game_1,2996
chip_bargain__chip2_cohort_03_m8aexq_game_1,2958
chip_bargain__chip2_cohort_04_m7xjm0_game_1,2997
chip_bargain__chip2_cohort_04_m8aexq_game_1,3022
chip_bargain__chip2_cohort_05_m7xjzy_game_1,3014
chip_bargain__chip2_cohort_05_m8aexq_game_1,3031
chip_bargain__chip2_cohort_06_m7xk99_game_1,2984
chip_bargain__chip2_cohort_06_m8ag8i_game_1,3015
chip_bargain__chip2_cohort_07_m8ag8i_game_1,3027
chip_bargain__chip2_cohort_08_m8ag8i_game_1,3004
chip_bargain__chip2_cohort_09_m8ag8i_game_1,3011
chip_bargain__chip2_cohort_11_m8agmu_game_1,2985
chip_bargain__chip2_cohort_12_m8agmu_game_1,3031
chip_bargain__chip2_cohort_13_m8agmu_game_1,3000
chip_bargain__chip2_cohort_14_m8agmu_game_1,3016
chip_bargain__chip2_cohort_15_m8agmu_game_1,3056
chip_bargain__chip2_cohort_16_m8agzl_game_1,3015
chip_bargain__chip2_cohort_17_m8agzl_game_1,3031
chip_bargain__chip2_cohort_18_m8agzl_game_1,2989
chip_bargain__chip2_cohort_19_m8agzl_game_1,2971
chip_bargain__chip2_cohort_20_m8agzl_game_1,2986
chip_bargain__chip2_cohort_01_m7xia7_game_2_alt_profile,3000
chip_bargain__chip2_cohort_01_m8aexq_game_2_alt_profile,3011
chip_bargain__chip2_cohort_02_m7xiz2_game_2_alt_profile,3024
chip_bargain__chip2_cohort_02_m8aexq_game_2_alt_profile,2998
chip_bargain__chip2_cohort_03_m8aexq_game_2_alt_profile,2960
chip_bargain__chip2_cohort_04_m7xjm0_game_2_alt_profile,3000
chip_bargain__chip2_cohort_04_m8aexq_game_2_alt_profile,3026
chip_bargain__chip2_cohort_05_m7xjzy_game_2_alt_profile,3017
chip_bargain__chip2_cohort_05_m8aexq_game_2_alt_profile,3034
chip_bargain__chip2_cohort_06_m7xk99_game_2_alt_profile,2988
chip_bargain__chip2_cohort_06_m8ag8i_game_2_alt_profile,3018
chip_bargain__chip2_cohort_07_m8ag8i_game_2_alt_profile,3031
chip_bargain__chip2_cohort_08_m8ag8i_game_2_alt_profile,3007
chip_bargain__chip2_cohort_09_m8ag8i_game_2_alt_profile,3014
chip_bargain__chip2_cohort_11_m8agmu_game_2_alt_profile,2988
chip_bargain__chip2_cohort_12_m8agmu_game_2_alt_profile,3035
chip_bargain__chip2_cohort_13_m8agmu_game_2_alt_profile,3003
chip_bargain__chip2_cohort_14_m8agmu_game_2_alt_profile,3018
chip_bargain__chip2_cohort_15_m8agmu_game_2_alt_profile,3059
chip_bargain__chip2_cohort_16_m8agzl_game_2_alt_profile,3019
chip_bargain__chip2_cohort_17_m8agzl_game_2_alt_profile,3034
chip_bargain__chip2_cohort_18_m8agzl_game_2_alt_profile,2993
chip_bargain__chip2_cohort_19_m8agzl_game_2_alt_profile,2974
chip_bargain__chip2_cohort_20_m8agzl_game_2_alt_profile,2991
chip_bargain__chip3_cohort_01_m8aiq8_game_1,3013
chip_bargain__chip3_cohort_02_m8aiq8_game_1,3044
chip_bargain__chip3_cohort_03_m8aiq8_game_1,3018
chip_bargain__chip3_cohort_04_m8aiq8_game_1,3053
chip_bargain__chip3_cohort_05_m8aiq8_game_1,3023
chip_bargain__chip3_cohort_06_m8ak4g_game_1,3032
chip_bargain__chip3_cohort_07_m8ak4j_game_1,3060
chip_bargain__chip3_g11_m5wp7b_game_1,3048
