custom_id,input_token_estimate
chip_bargain__chip3_cohort_01_m8aiq8_game_1,3390
chip_bargain__chip3_cohort_02_m8aiq8_game_1,3466
chip_bargain__chip3_cohort_03_m8aiq8_game_1,3466
chip_bargain__chip3_cohort_04_m8aiq8_game_1,3564
chip_bargain__chip3_cohort_05_m8aiq8_game_1,3431
chip_bargain__chip3_cohort_06_m8ak4g_game_1,3484
chip_bargain__chip3_cohort_07_m8ak4j_game_1,3585
chip_bargain__chip3_g11_m5wp7b_game_1,3455
chip_bargain__chip3_g12_m5wp8p_game_1,3553
chip_bargain__chip3_g13_m5wp8q_game_1,3374
chip_bargain__chip3_g15_m5wp8s_game_1,3471
chip_bargain__chip3_g16_m5wp8t_game_1,3417
chip_bargain__chip3_g17_m5wp8w_game_1,3493
chip_bargain__chip3_g18_m5wq8i_game_1,3490
chip_bargain__chip3_g19_m5wq90_game_1,3538
chip_bargain__chip3_g1_m5wp46_game_1,3344
chip_bargain__chip3_g20_m5wq93_game_1,3391
chip_bargain__chip3_g2_m5wp6p_game_1,3491
chip_bargain__chip3_g3_m5wp6q_game_1,3539
chip_bargain__chip3_g5_m5wp6r_game_1,3561
chip_bargain__chip3_g6_m5wp77_game_1,3507
chip_bargain__chip3_g7_m5wp78_game_1,3522
chip_bargain__chip3_g8_m5wp79_game_1,3539
chip_bargain__chip3_g9_m5wp79_game_1,3532
chip_bargain__chip3_cohort_01_m8aiq8_game_2_alt_profile,3395
chip_bargain__chip3_cohort_02_m8aiq8_game_2_alt_profile,3471
chip_bargain__chip3_cohort_03_m8aiq8_game_2_alt_profile,3470
chip_bargain__chip3_cohort_04_m8aiq8_game_2_alt_profile,3569
chip_bargain__chip3_cohort_05_m8aiq8_game_2_alt_profile,3436
chip_bargain__chip3_cohort_06_m8ak4g_game_2_alt_profile,3488
chip_bargain__chip3_cohort_07_m8ak4j_game_2_alt_profile,3591
chip_bargain__chip3_g11_m5wp7b_game_2_alt_profile,3460
chip_bargain__chip3_g12_m5wp8p_game_2_alt_profile,3557
chip_bargain__chip3_g13_m5wp8q_game_2_alt_profile,3379
chip_bargain__chip3_g15_m5wp8s_game_2_alt_profile,3476
chip_bargain__chip3_g16_m5wp8t_game_2_alt_profile,3422
chip_bargain__chip3_g17_m5wp8w_game_2_alt_profile,3498
chip_bargain__chip3_g18_m5wq8i_game_2_alt_profile,3495
chip_bargain__chip3_g19_m5wq90_game_2_alt_profile,3543
chip_bargain__chip3_g1_m5wp46_game_2_alt_profile,3349
chip_bargain__chip3_g20_m5wq93_game_2_alt_profile,3395
chip_bargain__chip3_g2_m5wp6p_game_2_alt_profile,3496
chip_bargain__chip3_g3_m5wp6q_game_2_alt_profile,3543
chip_bargain__chip3_g5_m5wp6r_game_2_alt_profile,3566
chip_bargain__chip3_g6_m5wp77_game_2_alt_profile,3512
chip_bargain__chip3_g7_m5wp78_game_2_alt_profile,3527
chip_bargain__chip3_g8_m5wp79_game_2_alt_profile,3544
chip_bargain__chip3_g9_m5wp79_game_2_alt_profile,3537
