custom_id,record_id,unit_id,treatment_name,TreatmentCode,Treatment,PersonalizedTreatment,scenario,case,scenario_order,cell_name,data_source,UGProposer_delegated,UGResponder_delegated,TGSender_delegated,TGReceiver_delegated,PD_delegated,SH_delegated,C_delegated,UGProposer_decision,UGProposer_decision_nonnull,UGProposer_decision_state,UGResponder_decision,UGResponder_decision_nonnull,UGResponder_decision_state,TGSender_decision,TGSender_decision_nonnull,TGSender_decision_state,TGReceiver_decision,TGReceiver_decision_nonnull,TGReceiver_decision_state,PD_decision,PD_decision_nonnull,PD_decision_state,SH_decision,SH_decision_nonnull,SH_decision_state,C_decision,C_decision_nonnull,C_decision_state
multi_game_llm_fvk2c__1081,1081,1081,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__1081,1081,1081,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,B,1,B,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__1095,1095,1095,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__1095,1095,1095,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1,5,3.0,1,3,YES,1,YES,2.0,1,2,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__1124,1124,1124,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__1124,1124,1124,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1,5,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__1266,1266,1266,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__1266,1266,1266,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__1291,1291,1291,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__1291,1291,1291,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__1406,1406,1406,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__1406,1406,1406,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1,5,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__1421,1421,1421,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__1421,1421,1421,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__143,143,143,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__143,143,143,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__1505,1505,1505,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__1505,1505,1505,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__153,153,153,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
multi_game_llm_fvk2c__153,153,153,ODP,ODP,OpaqueDelegation,1,NoAISupport,Opaque,2,ODP__NoAISupport__Opaque,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1,4,3.0,1,3,YES,1,YES,3.0,1,3,A,1,A,X,1,X,Earth,1,Earth
multi_game_llm_fvk2c__1608,1608,1608,ODP,ODP,OpaqueDelegation,1,AISupport,AgainstHuman,1,ODP__AISupport__AgainstHuman,generated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL,,0,NULL
