custom_id,persona_pid,persona_source,source_record_id,num_backstory_statements,backstory_sha1,game_id,treatment_name,config_id,num_rounds,players,model,max_persona_chars,top_k,match_rank,player,probability,is_top1
argyle_pgg_match__pid_argyle_anes2016_300477__game_5mhtM66ewYHNxSp4q__p001__g001,argyle_anes2016_300477,argyle_anes2016_first_person_backstory,300477,10,156a315ea2bca037c00a7d9663d50cda8382be55,5mhtM66ewYHNxSp4q,VALIDATION_0_C,0,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK""]",gpt-5-mini,0,3,1,CHICKEN,0.6,True
argyle_pgg_match__pid_argyle_anes2016_300477__game_5mhtM66ewYHNxSp4q__p001__g001,argyle_anes2016_300477,argyle_anes2016_first_person_backstory,300477,10,156a315ea2bca037c00a7d9663d50cda8382be55,5mhtM66ewYHNxSp4q,VALIDATION_0_C,0,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK""]",gpt-5-mini,0,3,2,RABBIT,0.3,False
argyle_pgg_match__pid_argyle_anes2016_300477__game_5mhtM66ewYHNxSp4q__p001__g001,argyle_anes2016_300477,argyle_anes2016_first_person_backstory,300477,10,156a315ea2bca037c00a7d9663d50cda8382be55,5mhtM66ewYHNxSp4q,VALIDATION_0_C,0,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK""]",gpt-5-mini,0,3,3,CHICK,0.1,False
argyle_pgg_match__pid_argyle_anes2016_300477__game_2TquMDieEiixty8AN__p001__g002,argyle_anes2016_300477,argyle_anes2016_first_person_backstory,300477,10,156a315ea2bca037c00a7d9663d50cda8382be55,2TquMDieEiixty8AN,VALIDATION_0_T,0,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK""]",gpt-5-mini,0,3,1,RABBIT,0.5,True
argyle_pgg_match__pid_argyle_anes2016_300477__game_2TquMDieEiixty8AN__p001__g002,argyle_anes2016_300477,argyle_anes2016_first_person_backstory,300477,10,156a315ea2bca037c00a7d9663d50cda8382be55,2TquMDieEiixty8AN,VALIDATION_0_T,0,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK""]",gpt-5-mini,0,3,2,MOOSE,0.3,False
argyle_pgg_match__pid_argyle_anes2016_300477__game_2TquMDieEiixty8AN__p001__g002,argyle_anes2016_300477,argyle_anes2016_first_person_backstory,300477,10,156a315ea2bca037c00a7d9663d50cda8382be55,2TquMDieEiixty8AN,VALIDATION_0_T,0,6,"[""SLOTH"", ""GORILLA"", ""DUCK"", ""CHICKEN"", ""DOG"", ""PARROT"", ""MOOSE"", ""RABBIT"", ""OWL"", ""CHICK""]",gpt-5-mini,0,3,3,GORILLA,0.2,False
argyle_pgg_match__pid_argyle_anes2016_300477__game_65crAkEscRbHNJXbW__p001__g003,argyle_anes2016_300477,argyle_anes2016_first_person_backstory,300477,10,156a315ea2bca037c00a7d9663d50cda8382be55,65crAkEscRbHNJXbW,VALIDATION_10_C,10,6,"[""SLOTH"", ""GORILLA"", ""DUCK""]",gpt-5-mini,0,3,1,SLOTH,0.82,True
argyle_pgg_match__pid_argyle_anes2016_300477__game_65crAkEscRbHNJXbW__p001__g003,argyle_anes2016_300477,argyle_anes2016_first_person_backstory,300477,10,156a315ea2bca037c00a7d9663d50cda8382be55,65crAkEscRbHNJXbW,VALIDATION_10_C,10,6,"[""SLOTH"", ""GORILLA"", ""DUCK""]",gpt-5-mini,0,3,2,GORILLA,0.1,False
argyle_pgg_match__pid_argyle_anes2016_300477__game_65crAkEscRbHNJXbW__p001__g003,argyle_anes2016_300477,argyle_anes2016_first_person_backstory,300477,10,156a315ea2bca037c00a7d9663d50cda8382be55,65crAkEscRbHNJXbW,VALIDATION_10_C,10,6,"[""SLOTH"", ""GORILLA"", ""DUCK""]",gpt-5-mini,0,3,3,DUCK,0.08,False
argyle_pgg_match__pid_argyle_anes2016_300477__game_3EG5RaDj4z7hkT2JD__p001__g004,argyle_anes2016_300477,argyle_anes2016_first_person_backstory,300477,10,156a315ea2bca037c00a7d9663d50cda8382be55,3EG5RaDj4z7hkT2JD,VALIDATION_10_T,10,6,"[""SLOTH"", ""GORILLA"", ""DUCK""]",gpt-5-mini,0,3,1,SLOTH,0.7,True
