custom_id,record_id,unit_id,treatment_name,variant,model,chip_family,chip_family_display,cohort_name,stage_name,stage_code,experiment_name,players_json,chip_definitions_json,participant_chip_values_json,initial_chip_holdings_json,turn_order_json
chip_bargain__chip2_cohort_01_m7xia7_game_1,chip2__cohort_01_m7xia7__game_1,chip2__cohort_01_m7xia7__game_1,CHIP2__GAME_1,twin_sampled_unadjusted_seed_0,gpt-5-mini,chip2,2-Chip Bargaining,Cohort 01-m7xia7,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""dog-orange-384"", ""buffalo-red-6989"", ""cat-pink-8143""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""buffalo-red-6989"": {""GREEN"": 0.5, ""RED"": 0.1}, ""cat-pink-8143"": {""GREEN"": 0.5, ""RED"": 0.4}, ""dog-orange-384"": {""GREEN"": 0.5, ""RED"": 0.3}}","{""dog-orange-384"": {""RED"": 10, ""GREEN"": 10}, ""buffalo-red-6989"": {""RED"": 10, ""GREEN"": 10}, ""cat-pink-8143"": {""RED"": 10, ""GREEN"": 10}}","[""dog-orange-384"", ""buffalo-red-6989"", ""cat-pink-8143""]"
chip_bargain__chip2_cohort_01_m8aexq_game_1,chip2__cohort_01_m8aexq__game_1,chip2__cohort_01_m8aexq__game_1,CHIP2__GAME_1,twin_sampled_unadjusted_seed_0,gpt-5-mini,chip2,2-Chip Bargaining,Cohort 01-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""otter-yellow-8375"", ""badger-purple-4937"", ""goose-purple-9353""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""goose-purple-9353"": {""GREEN"": 0.5, ""RED"": 0.3}, ""otter-yellow-8375"": {""GREEN"": 0.5, ""RED"": 0.3}, ""badger-purple-4937"": {""GREEN"": 0.5, ""RED"": 0.8}}","{""otter-yellow-8375"": {""RED"": 10, ""GREEN"": 10}, ""badger-purple-4937"": {""RED"": 10, ""GREEN"": 10}, ""goose-purple-9353"": {""RED"": 10, ""GREEN"": 10}}","[""otter-yellow-8375"", ""badger-purple-4937"", ""goose-purple-9353""]"
chip_bargain__chip2_cohort_02_m7xiz2_game_1,chip2__cohort_02_m7xiz2__game_1,chip2__cohort_02_m7xiz2__game_1,CHIP2__GAME_1,twin_sampled_unadjusted_seed_0,gpt-5-mini,chip2,2-Chip Bargaining,Cohort 02-m7xiz2,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""otter-blue-1497"", ""peacock-pink-777"", ""badger-red-827""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""badger-red-827"": {""RED"": 0.2, ""GREEN"": 0.5}, ""peacock-pink-777"": {""GREEN"": 0.5, ""RED"": 0.8}, ""otter-blue-1497"": {""GREEN"": 0.5, ""RED"": 0.5}}","{""otter-blue-1497"": {""RED"": 10, ""GREEN"": 10}, ""peacock-pink-777"": {""RED"": 10, ""GREEN"": 10}, ""badger-red-827"": {""RED"": 10, ""GREEN"": 10}}","[""otter-blue-1497"", ""peacock-pink-777"", ""badger-red-827""]"
chip_bargain__chip2_cohort_02_m8aexq_game_1,chip2__cohort_02_m8aexq__game_1,chip2__cohort_02_m8aexq__game_1,CHIP2__GAME_1,twin_sampled_unadjusted_seed_0,gpt-5-mini,chip2,2-Chip Bargaining,Cohort 02-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""cat-orange-7489"", ""camel-green-9744"", ""buffalo-red-8335""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""camel-green-9744"": {""RED"": 0.1, ""GREEN"": 0.5}, ""buffalo-red-8335"": {""GREEN"": 0.5, ""RED"": 0.3}, ""cat-orange-7489"": {""RED"": 0.1, ""GREEN"": 0.5}}","{""cat-orange-7489"": {""RED"": 10, ""GREEN"": 10}, ""camel-green-9744"": {""RED"": 10, ""GREEN"": 10}, ""buffalo-red-8335"": {""RED"": 10, ""GREEN"": 10}}","[""cat-orange-7489"", ""camel-green-9744"", ""buffalo-red-8335""]"
chip_bargain__chip2_cohort_03_m8aexq_game_1,chip2__cohort_03_m8aexq__game_1,chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,twin_sampled_unadjusted_seed_0,gpt-5-mini,chip2,2-Chip Bargaining,Cohort 03-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""dog-purple-778"", ""peacock-purple-2249"", ""owl-orange-1045""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""peacock-purple-2249"": {""RED"": 0.8, ""GREEN"": 0.5}, ""owl-orange-1045"": {""RED"": 0.5, ""GREEN"": 0.5}, ""dog-purple-778"": {""GREEN"": 0.5, ""RED"": 0.9}}","{""dog-purple-778"": {""RED"": 10, ""GREEN"": 10}, ""peacock-purple-2249"": {""RED"": 10, ""GREEN"": 10}, ""owl-orange-1045"": {""RED"": 10, ""GREEN"": 10}}","[""dog-purple-778"", ""peacock-purple-2249"", ""owl-orange-1045""]"
chip_bargain__chip2_cohort_04_m7xjm0_game_1,chip2__cohort_04_m7xjm0__game_1,chip2__cohort_04_m7xjm0__game_1,CHIP2__GAME_1,twin_sampled_unadjusted_seed_0,gpt-5-mini,chip2,2-Chip Bargaining,Cohort 04-m7xjm0,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""ram-green-8863"", ""alligator-red-1535"", ""butterfly-green-7685""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""ram-green-8863"": {""GREEN"": 0.5, ""RED"": 0.3}, ""alligator-red-1535"": {""GREEN"": 0.5, ""RED"": 0.4}, ""butterfly-green-7685"": {""GREEN"": 0.5, ""RED"": 1.0}}","{""ram-green-8863"": {""RED"": 10, ""GREEN"": 10}, ""alligator-red-1535"": {""RED"": 10, ""GREEN"": 10}, ""butterfly-green-7685"": {""RED"": 10, ""GREEN"": 10}}","[""ram-green-8863"", ""alligator-red-1535"", ""butterfly-green-7685""]"
chip_bargain__chip2_cohort_04_m8aexq_game_1,chip2__cohort_04_m8aexq__game_1,chip2__cohort_04_m8aexq__game_1,CHIP2__GAME_1,twin_sampled_unadjusted_seed_0,gpt-5-mini,chip2,2-Chip Bargaining,Cohort 04-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""dolphin-purple-6605"", ""ram-red-5745"", ""iguana-orange-9224""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""ram-red-5745"": {""GREEN"": 0.5, ""RED"": 0.2}, ""iguana-orange-9224"": {""GREEN"": 0.5, ""RED"": 0.8}, ""dolphin-purple-6605"": {""RED"": 0.4, ""GREEN"": 0.5}}","{""dolphin-purple-6605"": {""RED"": 10, ""GREEN"": 10}, ""ram-red-5745"": {""RED"": 10, ""GREEN"": 10}, ""iguana-orange-9224"": {""RED"": 10, ""GREEN"": 10}}","[""dolphin-purple-6605"", ""ram-red-5745"", ""iguana-orange-9224""]"
chip_bargain__chip2_cohort_05_m7xjzy_game_1,chip2__cohort_05_m7xjzy__game_1,chip2__cohort_05_m7xjzy__game_1,CHIP2__GAME_1,twin_sampled_unadjusted_seed_0,gpt-5-mini,chip2,2-Chip Bargaining,Cohort 05-m7xjzy,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""owl-yellow-7660"", ""iguana-red-1137"", ""whale-blue-4588""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""whale-blue-4588"": {""RED"": 0.8, ""GREEN"": 0.5}, ""owl-yellow-7660"": {""GREEN"": 0.5, ""RED"": 0.3}, ""iguana-red-1137"": {""GREEN"": 0.5, ""RED"": 0.1}}","{""owl-yellow-7660"": {""RED"": 10, ""GREEN"": 10}, ""iguana-red-1137"": {""RED"": 10, ""GREEN"": 10}, ""whale-blue-4588"": {""RED"": 10, ""GREEN"": 10}}","[""owl-yellow-7660"", ""iguana-red-1137"", ""whale-blue-4588""]"
chip_bargain__chip2_cohort_05_m8aexq_game_1,chip2__cohort_05_m8aexq__game_1,chip2__cohort_05_m8aexq__game_1,CHIP2__GAME_1,twin_sampled_unadjusted_seed_0,gpt-5-mini,chip2,2-Chip Bargaining,Cohort 05-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,"[""duck-pink-5390"", ""gorilla-purple-6898"", ""kangaroo-purple-4743""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""gorilla-purple-6898"": {""GREEN"": 0.5, ""RED"": 0.2}, ""duck-pink-5390"": {""RED"": 0.2, ""GREEN"": 0.5}, ""kangaroo-purple-4743"": {""GREEN"": 0.5, ""RED"": 0.6}}","{""duck-pink-5390"": {""RED"": 10, ""GREEN"": 10}, ""gorilla-purple-6898"": {""RED"": 10, ""GREEN"": 10}, ""kangaroo-purple-4743"": {""RED"": 10, ""GREEN"": 10}}","[""duck-pink-5390"", ""gorilla-purple-6898"", ""kangaroo-purple-4743""]"
chip_bargain__chip2_cohort_06_m7xk99_game_1,chip2__cohort_06_m7xk99__game_1,chip2__cohort_06_m7xk99__game_1,CHIP2__GAME_1,twin_sampled_unadjusted_seed_0,gpt-5-mini,chip2,2-Chip Bargaining,Cohort 06-m7xk99,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),"[""duck-yellow-281"", ""dolphin-blue-4630"", ""swan-blue-7512""]","[{""id"": ""RED"", ""name"": ""red"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.1, ""upper_value"": 1.0}, {""id"": ""GREEN"", ""name"": ""green"", ""starting_quantity"": 10, ""can_buy"": true, ""can_sell"": true, ""lower_value"": 0.5, ""upper_value"": 0.5}]","{""swan-blue-7512"": {""GREEN"": 0.5, ""RED"": 0.8}, ""dolphin-blue-4630"": {""GREEN"": 0.5, ""RED"": 0.8}, ""duck-yellow-281"": {""RED"": 0.8, ""GREEN"": 0.5}}","{""duck-yellow-281"": {""RED"": 10, ""GREEN"": 10}, ""dolphin-blue-4630"": {""RED"": 10, ""GREEN"": 10}, ""swan-blue-7512"": {""RED"": 10, ""GREEN"": 10}}","[""duck-yellow-281"", ""dolphin-blue-4630"", ""swan-blue-7512""]"
