model_name,metric,metric_label,global_wd,noise_ceiling_mean,noise_ceiling_stderr,gap_to_noise_ceiling,ratio_to_noise_ceiling
gpt-5-mini baseline,player_mean_contribution_rate,Player mean contrib,0.28989164830186315,,,,
gpt-5-mini demo-only,player_mean_contribution_rate,Player mean contrib,0.24358467645542095,,,,
gpt-5-mini twin,player_mean_contribution_rate,Player mean contrib,0.14749753228123647,,,,
gpt-5-mini twin unadj,player_mean_contribution_rate,Player mean contrib,0.12582555475382354,,,,
gpt-5.1 baseline,player_mean_contribution_rate,Player mean contrib,0.12155580612289106,,,,
gpt-5.1 demo-only,player_mean_contribution_rate,Player mean contrib,0.1270914880837845,,,,
gpt-5.1 twin,player_mean_contribution_rate,Player mean contrib,0.0760246939893326,,,,
gpt-5.1 twin unadj,player_mean_contribution_rate,Player mean contrib,0.07313538927898117,,,,
gpt-5-mini baseline,player_mean_normalized_payoff,Player mean payoff,0.3465560104805352,,,,
gpt-5-mini demo-only,player_mean_normalized_payoff,Player mean payoff,0.30224064919807275,,,,
gpt-5-mini twin,player_mean_normalized_payoff,Player mean payoff,0.20758992077631272,,,,
gpt-5-mini twin unadj,player_mean_normalized_payoff,Player mean payoff,0.18157734559415759,,,,
gpt-5.1 baseline,player_mean_normalized_payoff,Player mean payoff,0.1707335451244687,,,,
gpt-5.1 demo-only,player_mean_normalized_payoff,Player mean payoff,0.17744782355954627,,,,
gpt-5.1 twin,player_mean_normalized_payoff,Player mean payoff,0.12248192087965391,,,,
gpt-5.1 twin unadj,player_mean_normalized_payoff,Player mean payoff,0.12156369020943161,,,,
