treatment_name,score,model_name,metric_family,metric,metric_label
VALIDATION_0_C,0.3691666666666667,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_0_T,0.14183006535947712,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_10_C,0.4138888888888889,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_10_T,0.2025,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_11_C,0.3408176892551893,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_11_T,0.2873737373737374,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_12_C,0.43139730639730645,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_12_T,0.08234126984126984,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_13_C,0.44560004456327984,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_13_T,0.43106630909939736,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_14_C,0.41265939733593243,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_14_T,0.4133688862307283,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_15_C,0.2604562104562105,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_15_T,0.2735958485958486,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_16_C,0.5305,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_16_T,0.13528846153846155,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_17_C,0.44181856155540367,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_17_T,0.0647626931567329,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_18_C,0.23731884057971014,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_18_T,0.18432971014492755,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_19_C,0.2765164576802508,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_19_T,0.3855258620689655,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_1_C,0.5683593749999998,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_1_T,0.20503472222222222,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_2_C,0.15791666666666665,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_2_T,0.1319318181818182,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_3_C,0.1092355175688509,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_3_T,0.3443386752136752,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_4_C,0.030357142857142867,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_4_T,0.06547619047619048,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_5_C,0.25,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_5_T,0.17847222222222223,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_6_C,0.4972021901709402,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_6_T,0.20395203388161134,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_7_C,0.6240256633318835,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_7_T,0.2193534828658184,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_8_C,0.2590277777777778,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_8_T,0.15454545454545454,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_9_C,0.24612794612794608,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_9_T,0.24739105339105338,gpt-5-mini baseline,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_0_C,0.12916666666666665,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_0_T,0.03914565826330532,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_10_C,0.18916666666666668,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_10_T,0.13055555555555554,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_11_C,0.15972794566544568,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_11_T,0.1078865578865579,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_12_C,0.24736952861952866,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_12_T,0.03224206349206348,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_13_C,0.3604346033868092,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_13_T,0.39095935722773956,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_14_C,0.18432525178687462,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_14_T,0.2974039739500266,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_15_C,0.05855810855810856,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_15_T,0.07090964590964592,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_16_C,0.2338333333333333,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_16_T,0.03471153846153847,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_17_C,0.3140673653831549,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_17_T,0.18612950699043415,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_18_C,0.11050724637681159,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_18_T,0.049003623188405794,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_19_C,0.1645336990595611,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_19_T,0.2917758620689655,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_1_C,0.41054687500000003,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_1_T,0.11453993055555556,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_2_C,0.06125,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_2_T,0.04352272727272728,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_3_C,0.10371557454890788,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_3_T,0.24398611111111113,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_4_C,0.0544642857142857,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_4_T,0.07142857142857142,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_5_C,0.023148148148148147,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
VALIDATION_5_T,0.026388888888888892,gpt-5-mini twin,player_within_config_wd,player_mean_contribution_rate,Player mean contrib
