code,statement,group_size_simbench,n_openpsych_us,tvd_openpsych_us_vs_simbench,openpsych_us_mean_response,simbench_mean_response
OPN6,I do not have a good imagination,8729,542200,0.06972713539738884,1.9030118037624495,1.7755756673158438
EXT5,I start conversations,8729,541167,0.06664431492543871,3.336803611454505,3.4664910069882002
EXT9,I don't mind being the center of attention,8729,542901,0.05394832355911873,2.9621035879469737,3.0313896208042164
AGR7,I am not really interested in others,8729,543140,0.05281823947951521,2.138816879625879,2.054301752778096
EXT3,I feel comfortable around people,8729,543071,0.05252565172559628,3.3511824420747933,3.4490777866880515
AGR5,I am not interested in other people's problems,8729,542999,0.050109216057680074,2.2360925158241542,2.1155917058082254
OPN3,I have a vivid imagination,8729,542434,0.04434249125194845,4.029585166121592,4.141940657578187
EXT7,I talk to a lot of different people at parties,8729,542174,0.043863560791792905,2.8285550395260564,2.9294306335204494
EXT1,I am the life of the party,8729,544421,0.035861740102410083,2.6862556734585916,2.6513919120174134
AGR2,I am interested in people,8729,541224,0.034708269492304614,3.905798708113461,3.9830450223393283
CSN1,I am always prepared,8729,539439,0.03358040847649528,3.3892766373955165,3.4157406346660557
EST6,I get upset easily,8729,540722,0.03339906692280899,2.8297350579410496,2.881773399014778
CSN9,I follow a schedule,8729,542601,0.031540610251083186,3.3518607595636576,3.3703746133577726
AGR4,I sympathize with others' feelings,8729,542288,0.030406566555979654,4.005185436520815,4.0638102875472555
EST2,I am relaxed most of the time,8729,541115,0.02733616819740972,3.20028644557996,3.236796883950052
AGR8,I take time out for others,8729,542063,0.026440130611473496,3.8102655964343626,3.8728376675449656
OPN5,I have excellent ideas,8729,542349,0.025713889120540102,3.8685219296062128,3.925993813724367
OPN8,I use difficult words,8729,542311,0.025477627993892762,3.200403458532097,3.2664680948562266
AGR1,I feel little concern for others,8729,543721,0.024766738848212642,2.0865002455303365,2.02485966319166
OPN1,I have a rich vocabulary,8729,541283,0.0242991732748329,3.6663427449227113,3.722075839156833
EST9,I get irritated easily,8729,543160,0.024262795320090305,3.1022203402312396,3.084316645663879
OPN7,I am quick to understand things,8729,542015,0.024099782016648395,4.003544182356577,4.0608317103906515
CSN7,I like order,8729,542586,0.02359562999169334,3.799843711411647,3.7826784282277464
CSN6,I often forget to put things back in their proper place,8729,543010,0.022721297682799707,2.8090845472459067,2.8545079619658607
EXT8,I don't like to draw attention to myself,8729,543181,0.022356841334939648,3.4929056796905638,3.4471302554702716
CSN4,I make a mess of things,8729,542953,0.021073449133793123,2.5752192178696864,2.5603161874212397
AGR10,I make people feel at ease,8729,542185,0.020248164376376686,3.6613425306860203,3.6834688967808455
EXT4,I keep in the background,8729,542917,0.01953055341715977,3.1379105830172938,3.0911902852560433
OPN10,I am full of ideas,8729,543267,0.018380113433468893,4.032269583832628,4.07652652079276
EST5,I am easily disturbed,8729,543299,0.017091341575822164,2.726969863739856,2.7722534081796315
CSN5,I get chores done right away,8729,542759,0.01704949164562286,2.645004504761782,2.67304387673273
CSN3,I pay attention to details,8729,543118,0.016321997520905088,4.035914847233935,4.037575896437163
EXT10,I am quiet around strangers,8729,543215,0.01616904891233608,3.578135728947102,3.5645549318364074
EST10,I often feel blue,8729,542960,0.015076550599293047,2.7110781641373216,2.705922786115248
EST4,I seldom feel blue,8729,541115,0.014517228482860245,2.6671169714386034,2.6749914079505097
EXT2,I don't talk a lot,8729,543000,0.014387906824840535,2.7456003683241255,2.709932409210677
EST8,I have frequent mood swings,8729,542683,0.01326876540695858,2.6150238721316126,2.621262458471761
EXT6,I have little to say,8729,543288,0.011769820889837669,2.3542540972743744,2.3425363730095086
OPN9,I spend time reflecting on things,8729,542489,0.010049099306029784,4.1744035362929015,4.191430862641769
EST7,I change my mood a lot,8729,543184,0.008085365794069932,3.018984358891278,3.029327528926567
