gameId,playerId,n_observed_rounds,min_contribution,max_contribution,expected_rounds,endowment,valid_number_of_starting_players,CONFIG_chat,CONFIG_punishmentExists,CONFIG_showRewardId,CONFIG_showNRounds,CONFIG_showPunishmentId,CONFIG_rewardExists,CONFIG_showOtherSummaries,CONFIG_allOrNothing,CONFIG_defaultContribProp,complete_round_coverage,always_full,always_zero
2CpmMrTnRYQhD69qN,DTZZoihgn3RAp6nBo,27,20.0,20.0,27.0,20.0,True,False,True,True,False,True,True,True,False,1.0,True,True,False
2CpmMrTnRYQhD69qN,F5KawmecqZFsCNyFk,27,8.0,20.0,27.0,20.0,True,False,True,True,False,True,True,True,False,1.0,True,False,False
2CpmMrTnRYQhD69qN,bQirT5AvqT5wycWYj,27,10.0,10.0,27.0,20.0,True,False,True,True,False,True,True,True,False,1.0,True,False,False
2CpmMrTnRYQhD69qN,be9dLqkhDp6wZjbBo,27,8.0,20.0,27.0,20.0,True,False,True,True,False,True,True,True,False,1.0,True,False,False
2CpmMrTnRYQhD69qN,dgD9YndT5WFPZRgzi,27,4.0,20.0,27.0,20.0,True,False,True,True,False,True,True,True,False,1.0,True,False,False
2CpmMrTnRYQhD69qN,hZRwsfYigrXwGJa4j,27,15.0,20.0,27.0,20.0,True,False,True,True,False,True,True,True,False,1.0,True,False,False
2HvMCoKkzNvhYKJgp,2tCNuFycZiP5mKtyF,21,0.0,20.0,21.0,20.0,True,False,False,True,True,True,False,False,False,1.0,True,False,False
2HvMCoKkzNvhYKJgp,3ec6gmS6weNqpvJAh,21,0.0,20.0,21.0,20.0,True,False,False,True,True,True,False,False,False,1.0,True,False,False
2HvMCoKkzNvhYKJgp,5jxF87MmgjFhTymm9,21,0.0,20.0,21.0,20.0,True,False,False,True,True,True,False,False,False,1.0,True,False,False
2HvMCoKkzNvhYKJgp,8DctDA748b28zuZ3u,21,0.0,20.0,21.0,20.0,True,False,False,True,True,True,False,False,False,1.0,True,False,False
2HvMCoKkzNvhYKJgp,A2pEcsP9CEJNQFgDu,21,1.0,20.0,21.0,20.0,True,False,False,True,True,True,False,False,False,1.0,True,False,False
2HvMCoKkzNvhYKJgp,K2hJHsZboiWpa4oqj,9,20.0,20.0,21.0,20.0,True,False,False,True,True,True,False,False,False,1.0,False,False,False
2HvMCoKkzNvhYKJgp,NsiTAiRip94MCD7B6,21,0.0,20.0,21.0,20.0,True,False,False,True,True,True,False,False,False,1.0,True,False,False
2HvMCoKkzNvhYKJgp,PCTGddKWraBR8mWTj,21,0.0,20.0,21.0,20.0,True,False,False,True,True,True,False,False,False,1.0,True,False,False
2HvMCoKkzNvhYKJgp,S9ALoeCJKATXnvC7C,21,0.0,20.0,21.0,20.0,True,False,False,True,True,True,False,False,False,1.0,True,False,False
2HvMCoKkzNvhYKJgp,WBLkAFy3kSHSJBTAm,21,0.0,20.0,21.0,20.0,True,False,False,True,True,True,False,False,False,1.0,True,False,False
2HvMCoKkzNvhYKJgp,X6DDHjThocMtNvpB6,21,0.0,20.0,21.0,20.0,True,False,False,True,True,True,False,False,False,1.0,True,False,False
2HvMCoKkzNvhYKJgp,YqdtGcdjtoSgCdsu8,21,0.0,20.0,21.0,20.0,True,False,False,True,True,True,False,False,False,1.0,True,False,False
2HvMCoKkzNvhYKJgp,bLMxfumFzRf3vRjX2,21,0.0,20.0,21.0,20.0,True,False,False,True,True,True,False,False,False,1.0,True,False,False
2HvMCoKkzNvhYKJgp,dieqovizTAnjXTSJZ,21,10.0,15.0,21.0,20.0,True,False,False,True,True,True,False,False,False,1.0,True,False,False
