treatment_name,experiment_code,role,visibility,schema_type,metric,generated_value,human_value,abs_error,generated_n,human_n
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,check_rate,0.92,0.8,0.12,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,act_rate,0.98,0.82,0.16000000000000003,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,mean_return_pct,48.44,38.38,10.059999999999995,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_checked_act,0.9,0.72,0.18000000000000005,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_checked_no_act,0.02,0.08,0.06,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_unchecked_act,0.08,0.1,0.020000000000000004,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_unchecked_no_act,0.0,0.1,0.1,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,check_rate,0.98,0.62,0.36,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,act_rate,0.88,0.9,0.020000000000000018,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,mean_return_pct,46.04,41.74,4.299999999999997,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_checked_act,0.86,0.6,0.26,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_checked_no_act,0.12,0.02,0.09999999999999999,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_unchecked_act,0.02,0.3,0.27999999999999997,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_unchecked_no_act,0.0,0.08,0.08,50,50
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,mean_send_if_act,7.48,5.76,1.7200000000000006,50,50
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,mean_send_if_no_act,4.78,3.26,1.5200000000000005,50,50
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,mean_action_premium,2.7,2.5,0.20000000000000018,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_send_if_act_without_check,6.98,7.0,0.019999999999999574,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_send_if_act_after_check,6.74,6.68,0.0600000000000005,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_send_if_no_act_without_check,4.26,3.58,0.6799999999999997,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_send_if_no_act_after_check,3.52,3.3,0.2200000000000002,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_action_premium_without_check,2.72,3.42,0.6999999999999997,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_action_premium_after_check,3.22,3.38,0.1599999999999997,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_process_premium_if_act,0.24,0.32,0.08000000000000002,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_process_premium_if_no_act,0.74,0.28,0.45999999999999996,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,check_rate,1.0,0.74,0.26,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,act_rate,0.74,0.3,0.44,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,mean_return_pct,46.7,44.02,2.6799999999999997,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,pattern_checked_act,0.74,0.26,0.48,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,pattern_checked_no_act,0.26,0.48,0.21999999999999997,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,pattern_unchecked_act,0.0,0.04,0.04,50,50
E2_ROLE_A_HIDDEN,E2,A,hidden,role_a_check,pattern_unchecked_no_act,0.0,0.22,0.22,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,check_rate,0.98,0.62,0.36,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,act_rate,0.74,0.38,0.36,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,mean_return_pct,49.8,41.64,8.159999999999997,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,pattern_checked_act,0.74,0.3,0.44,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,pattern_checked_no_act,0.24,0.32,0.08000000000000002,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,pattern_unchecked_act,0.0,0.08,0.08,50,50
E2_ROLE_A_OBSERVABLE,E2,A,observable,role_a_check,pattern_unchecked_no_act,0.02,0.3,0.27999999999999997,50,50
E2_ROLE_B_HIDDEN,E2,B,hidden,role_b_hidden_check,mean_send_if_act,6.78,5.04,1.7400000000000002,50,50
E2_ROLE_B_HIDDEN,E2,B,hidden,role_b_hidden_check,mean_send_if_no_act,5.7,5.52,0.1800000000000006,50,50
E2_ROLE_B_HIDDEN,E2,B,hidden,role_b_hidden_check,mean_action_premium,1.08,-0.48,1.56,50,50
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,mean_send_if_act_without_check,6.12,4.92,1.2000000000000002,50,50
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,mean_send_if_act_after_check,6.42,5.04,1.38,50,50
E2_ROLE_B_OBSERVABLE,E2,B,observable,role_b_observable_check,mean_send_if_no_act_without_check,5.26,5.74,0.4800000000000004,50,50
