treatment_name,metric_family,metric,distance_kind,score
CHIP3__GAME_1,distribution_distance,final_surplus_ratio,wasserstein_1d,0.424338162809803
CHIP3__GAME_1,distribution_distance,final_total_surplus,wasserstein_1d,6.423863636363637
CHIP3__GAME_1,distribution_distance,mean_player_final_surplus,wasserstein_1d,2.1412878787878795
CHIP3__GAME_1,distribution_distance,proposer_net_surplus,wasserstein_1d,1.4290824915824916
CHIP3__GAME_1,distribution_distance,trade_ratio,wasserstein_1d,0.4535026187803966
CHIP3__GAME_1,distribution_distance,acceptance_rate,wasserstein_1d,0.01010101010101011
CHIP3__GAME_1,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,1.0981481481481479
CHIP3__GAME_1,distribution_distance,accepted_trade_ratio,wasserstein_1d,0.33665343915343915
CHIP3__GAME_1,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,1.8368749999999998
CHIP3__GAME_1,distribution_distance,declined_trade_ratio,wasserstein_1d,0.5997354497354498
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,final_surplus_ratio,wasserstein_1d,0.38251286729416556
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,final_total_surplus,wasserstein_1d,5.430797101449274
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,mean_player_final_surplus,wasserstein_1d,1.810265700483091
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,proposer_net_surplus,wasserstein_1d,1.3105676328502414
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,trade_ratio,wasserstein_1d,0.45410800116416056
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,acceptance_rate,wasserstein_1d,0.005434782608695565
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,0.8414457070707069
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,accepted_trade_ratio,wasserstein_1d,0.2954913720538721
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,1.7224994224994223
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,declined_trade_ratio,wasserstein_1d,0.5952990702990703
