custom_id,record_id,unit_id,treatment_name,chip_family,chip_family_display,cohort_name,stage_name,stage_code,experiment_name,data_source,round,turn_index,absolute_turn_index,sender_id,buy_color,buy_quantity,sell_color,sell_quantity,status,recipient_id,accepted_binary,num_acceptors,multiple_acceptors_binary,proposer_net_surplus,trade_ratio,group_total_welfare_before,group_total_welfare_after,group_surplus_before,group_surplus_after,group_surplus_ratio_before,group_surplus_ratio_after
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,human_gold,0,0,0,buffalo-green-2230,BLUE,5,RED,5,DECLINED,,0,0,0,3.0,1.0,41.0,41.0,0.0,0.0,0.0,0.0
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,human_gold,0,1,1,bear-green-5745,BLUE,7,RED,7,DECLINED,,0,0,0,2.8,1.0,41.0,41.0,0.0,0.0,0.0,0.0
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,human_gold,0,2,2,goose-green-3433,GREEN,5,BLUE,5,ACCEPTED,bear-green-5745,1,2,1,2.0,1.0,41.0,45.5,0.0,4.5,0.0,0.22661870503597117
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,human_gold,1,0,3,buffalo-green-2230,BLUE,5,GREEN,5,ACCEPTED,goose-green-3433,1,1,0,1.0,1.0,45.5,48.5,4.5,7.5,0.22661870503597117,0.37769784172661863
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,human_gold,1,1,4,bear-green-5745,RED,5,GREEN,5,ACCEPTED,goose-green-3433,1,2,1,0.5,1.0,48.5,51.0,7.5,10.0,0.37769784172661863,0.5035971223021581
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,human_gold,1,2,5,goose-green-3433,GREEN,2,RED,2,DECLINED,,0,0,0,0.8,1.0,51.0,51.0,10.0,10.0,0.5035971223021581,0.5035971223021581
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,human_gold,2,0,6,buffalo-green-2230,BLUE,5,GREEN,5,DECLINED,,0,0,0,1.0,1.0,51.0,51.0,10.0,10.0,0.5035971223021581,0.5035971223021581
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,human_gold,2,1,7,bear-green-5745,BLUE,5,RED,5,DECLINED,,0,0,0,2.0,1.0,51.0,51.0,10.0,10.0,0.5035971223021581,0.5035971223021581
chip_bargain__chip3_cohort_01_m8aiq8_game_1,chip3__cohort_01_m8aiq8__game_1,chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 01-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,human_gold,2,2,8,goose-green-3433,GREEN,5,RED,5,DECLINED,,0,0,0,2.0,1.0,51.0,51.0,10.0,10.0,0.5035971223021581,0.5035971223021581
chip_bargain__chip3_cohort_02_m8aiq8_game_1,chip3__cohort_02_m8aiq8__game_1,chip3__cohort_02_m8aiq8__game_1,CHIP3__GAME_1,chip3,3-Chip Bargaining,Cohort 02-m8aiq8,First negotiation game-negotiation1,GAME_1,🔵 3p2,human_gold,0,0,0,otter-blue-7516,RED,2,GREEN,2,ACCEPTED,cat-orange-2462,1,1,0,1.0,1.0,61.0,61.0,0.0,0.0,0.0,0.0
